dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Orth,ses-11+,96,-0.0600477412607398,-0.0406636205509237,-0.039483689482535,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.11383273835920087,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Orth,ses-11+,96,-0.0554023955818529,-0.0429107448042931,-0.036334914935947,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.10502653835649552,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Orth,ses-11+,96,-0.0554023955818529,-0.0429107448042931,-0.036334914935947,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.10502653835649552,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Orth,ses-11+,96,-0.0585602687027311,-0.0428126856560476,-0.038695966720926,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.11101293080345852,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Orth,ses-11+,96,-0.0585602687027311,-0.0428126856560476,-0.038695966720926,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.11101293080345852,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Orth,ses-11+,96,-0.0573701635929301,-0.0402700681126387,-0.0378859245063745,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.10875684388429077,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Orth,ses-11+,96,-0.0573701635929301,-0.0402700681126387,-0.0378859245063745,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.10875684388429077,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Orth,ses-11+,96,-0.0602725899345021,-0.0441972178192153,-0.0398767812270311,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.11425898487094988,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Orth,ses-11+,96,-0.0602725899345021,-0.0441972178192153,-0.0398767812270311,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.11425898487094988,,134601216
ds006239,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Orth,ses-11+,96,-0.0653262949612016,-0.0482412661673574,-0.0431842932622189,BrainAlign/gpt2-babylm-3,0.5275085368785408,0.7608259153983431,96,3,-0.12383931328914781,,134601216
