family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
pico-decoder-tiny,11282784.0,21,336,8,0.005515758893902021,0.003943342280334144,0.01579131605012677,0.0434304013461065,0.0434304013461065,Orth/ses-11+,30000,0.020378455252219756,0.20384021915095824,,,,,False,3.839540394622379e-09,True,
beetle-humanscale-eng,193811712.0,18,288,8,0.0008290919926303542,0.005232896971515949,0.014254887696218027,0.0398449627128697,-0.0398449627128697,SemLocal/ses-11,4000,-0.00135880106290654,0.18407456075477854,,,,,False,1.3672334460075725e-08,True,
pico-decoder-large,569808384.0,21,336,8,-0.001325061401003119,0.00838773881258168,0.016861941808385936,0.0520851049783434,0.0520851049783434,SemLocal/ses-11+,2000,0.0010408968081588306,0.24978394499734183,,,,,False,3.798739730601604e-07,True,
pico-decoder-small,64595328.0,21,336,8,-0.0027559315668600503,0.011502268354256995,0.01793014195576245,0.0523409385907953,0.0523409385907953,Sem/ses-11,4000,0.0028194605799201316,0.2821950310896572,,,,,False,3.950278125449435e-06,True,
pythia-70m-full,95592496.0,21,336,8,-0.0035789103995827213,0.006723650465640079,0.01778485509424727,0.0518542180553456,0.0518542180553456,SemLocal/ses-11,8,-0.004886834630033912,0.2395545575134207,,,,,False,1.1523307737916e-07,True,
pico-decoder-medium,181095168.0,21,336,8,-0.003935882557525887,0.007332019197842153,0.01646905586583846,0.0350972320097667,-0.0350972320097667,Orth/ses-11+,24000,-0.007880117612707032,0.15873536194415563,,,,,False,2.2045728540911114e-07,True,
pythia-410m-full,505997504.0,21,336,8,-0.004884689604800396,0.008619516517314353,0.015858480828698483,0.0379622999571536,-0.0379622999571536,SemLocal/ses-11+,90000,-0.007512219109653647,0.18994685862939809,,,,,False,7.683335092133994e-07,True,
pythia-1b-full,1078891008.0,21,336,8,-0.007007137786425681,0.010625099497736826,0.01821865111963496,0.0482334070058872,-0.0482334070058872,Orth/ses-11+,4000,-0.024577083798604175,0.2179315131090436,,,,,False,4.366220139716945e-06,True,
beetle-fineweb3-eng,193804032.0,19,304,8,-0.0073784662058804405,0.005143243189498322,0.014776345990080835,0.0568897435388491,-0.0568897435388491,SemLocal/ses-11,8192,-0.023776962534941187,0.26281752674305464,,,,,False,3.266457753503594e-08,True,
pythia-1.4b-full,1515311488.0,21,336,8,-0.010245378515753759,0.007299462854144574,0.015576314508240444,0.048211803064972,-0.048211803064972,Orth/ses-11+,8000,-0.03541720538497256,0.18310372992647272,,,,,False,5.860846164078167e-07,True,
babylm-gpt2,134601216.0,9,144,8,-0.012175208620479692,0.012444785769524782,0.014223159298281041,0.0420399979592656,-0.0420399979592656,SemLocal/ses-11+,598,-0.03898287361200323,0.20161073962146692,,,,,False,2.870917409500936e-05,True,
pythia-160m-full,212654688.0,21,336,8,-0.014066228536740968,0.007678063596729266,0.019234484878672582,0.056836836786555,-0.056836836786555,Sem/ses-11+,0,-0.04772601388538024,0.24096013310486167,,,,,False,1.6414407393499643e-06,True,
babylm-gpt2-5,134601216.0,9,144,8,-0.030783617674172592,0.020033569856578563,0.019971456951030267,0.0643537831294292,-0.0643537831294292,Orth/ses-11+,1528,-0.08059982333413154,0.13947074536306742,,,,,False,0.015032998265800646,True,
babylm-gpt2-7,134601216.0,9,144,8,-0.03088198408650326,0.02012713427111413,0.019893692881289286,0.0622939418697273,-0.0622939418697273,Orth/ses-11+,382,-0.08066485007953618,0.121657917987389,,,,,False,0.0156191852863961,True,
babylm-gpt2-3,134601216.0,9,144,8,-0.031100438329945142,0.020510716020092846,0.020291174575183202,0.0653262949612016,-0.0653262949612016,Orth/ses-11+,1528,-0.08142279147643927,0.13178433887234905,,,,,False,0.01755220961573836,True,
