family,model_ref,step,task,session,layer,n_layers,n_stim,rsa,rsa_pearson,rsa_kendall
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,11,12,72,-0.0110424809497037,0.0069522159848719,-0.0074149616113729
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,11,12,72,0.0402546274480716,0.0109924970397881,0.0269182829090218
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,11,12,72,0.0375488956978289,0.0108563577518593,0.0251842868474163
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,0,12,72,0.0110563287400169,-0.0084467967781398,0.0076893629662296
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,0,12,72,-0.0280420930139547,-0.006172067602523,-0.0190904942593154
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,0,12,72,-0.0286127858200179,-0.0087725001758556,-0.0185955918157345
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,1,12,72,0.0044441971436535,-0.0017399699414865,0.0034673796201868
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,1,12,72,-0.0274296606539338,0.000507523143807,-0.0185717041977894
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,1,12,72,-0.0291392993602338,-0.0026221118219083,-0.0188252804498222
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,2,12,72,0.0085879432291331,0.0002607245622002,0.0063112311617038
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,2,12,72,-0.0196321330550883,0.0033913274928171,-0.0134860915875772
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,2,12,72,-0.0245702105264039,0.0008285755357129,-0.0158809784123309
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,3,12,72,0.0093320726023333,0.0011565441919926,0.0066211576919661
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,3,12,72,-0.0196341789637038,0.0045020375558098,-0.0137016926521074
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,3,12,72,-0.0230584378439973,0.0019176162514846,-0.0147453978054016
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,4,12,72,0.0111118988374291,0.0009364619784473,0.0075919749853764
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,4,12,72,-0.0205919595482402,0.0041896497334866,-0.0144348587721151
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,4,12,72,-0.0210874826391952,0.0017112397350872,-0.0133593034615608
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,5,12,72,0.0095429291039379,-0.0002062753741321,0.0065403072927672
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,5,12,72,-0.0230959159866131,0.0026409505583718,-0.0160194040958077
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,5,12,72,-0.0222392882284645,-1.7081867975636197e-05,-0.0140961445997139
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,6,12,72,0.0057665037409819,-0.0016182603901167,0.0041092827895837
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,6,12,72,-0.0280487459897056,0.0008788020145462,-0.0192969077784821
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,6,12,72,-0.0236908161961269,-0.0016818675505883,-0.0149836614818285
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,7,12,72,0.0016276385165199,-0.0026020087282449,0.0012397061210489
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,7,12,72,-0.03335970773272,-0.0002737041276866,-0.0228132876406077
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,7,12,72,-0.0265650770635818,-0.002662378392796,-0.016982258849903
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,8,12,72,2.527958316757036e-05,-0.0044503040176555,0.0001488382348887
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,8,12,72,-0.0374959075988908,-0.0023072512764204,-0.0256179389885737
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,8,12,72,-0.0274211974766365,-0.0044106283671825,-0.0174838988267504
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,9,12,72,-0.0016522849962486,-0.005552215069669,-0.0009457046694168
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,9,12,72,-0.0404162427307948,-0.0035190473481156,-0.027644711495763
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,9,12,72,-0.028488956248891,-0.0055600058804,-0.018203589880225
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,10,12,72,-0.0037516430642147,-0.0061127681597976,-0.0023562991342269
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,10,12,72,-0.0438382810780282,-0.0042539190299854,-0.0299287352731304
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,10,12,72,-0.0298953937416704,-0.0063291915285817,-0.0191352069800844
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,11,12,72,-0.0067086637018526,-0.0075804265067955,-0.0043824591383919
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-7,11,12,72,-0.0483413388760138,-0.0060291220577254,-0.0330329005999467
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-9,11,12,72,-0.0312746106610573,-0.0079271266195368,-0.0200539615164349
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,0,12,60,-0.0218361061924553,-0.0195900667908728,-0.0142089277672916
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,0,12,60,-0.0266413312398516,-0.0126597461268153,-0.0174512077109541
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,0,12,60,-0.0200562287462988,-0.0133063726691735,-0.0134373213504389
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,1,12,60,-0.0221305537875649,-0.0250115272500126,-0.0147365328172257
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,1,12,60,-0.0295669823672979,-0.020310365099968,-0.0199001638386141
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,1,12,60,-0.0328976084916119,-0.0209604821039193,-0.0218700596909103
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,2,12,60,-0.0199235720599517,-0.0261894289082883,-0.013521635958903
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,2,12,60,-0.0299241541276539,-0.021950157465928,-0.0199065513089523
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,2,12,60,-0.0344542736047456,-0.022007489524315,-0.0228754475221405
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,3,12,60,-0.0192595745010979,-0.0234349144631012,-0.0127666369649295
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,3,12,60,-0.0302733557965625,-0.0189357517239981,-0.0198643940047203
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,3,12,60,-0.0335815951177206,-0.0183700672548417,-0.0220744587417322
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,4,12,60,-0.0190703221585946,-0.0226955135980814,-0.012859894031867
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,4,12,60,-0.0291279002264437,-0.0174019716455008,-0.0191809346785345
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,4,12,60,-0.03479774061649,-0.0174070222476177,-0.0231846010865087
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,5,12,60,-0.0179777942280686,-0.0204055157362072,-0.0118928310226659
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,5,12,60,-0.0284245477712928,-0.0140307440890585,-0.0184872553998077
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,5,12,60,-0.0342593861500704,-0.0145030359963363,-0.0226748809535215
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,6,12,60,-0.0168282919376114,-0.0183710338336568,-0.0114086607710315
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,6,12,60,-0.0282150618270971,-0.0116328471148895,-0.018588177431151
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,6,12,60,-0.035035386973394,-0.0121809412959554,-0.0232970205644607
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,7,12,60,-0.0158044868401276,-0.0163058439607731,-0.0107047615397636
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,7,12,60,-0.0272781616718983,-0.0089181836579807,-0.0178382884134481
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,7,12,60,-0.0349461989883513,-0.009737028077045,-0.0232523082720934
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-5,8,12,60,-0.014231918332466,-0.0146805494795511,-0.0095473519144845
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-7,8,12,60,-0.0267751846301276,-0.0066644373567442,-0.017212316320306
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Gram,ses-9,8,12,60,-0.035473157717176,-0.0077458285698884,-0.0235026971093503
