family,model_ref,step,task,session,layer,n_layers,n_stim,rsa,rsa_pearson,rsa_kendall
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,0,12,72,-0.01915773664744515,-0.001216525463541224,-0.012799475697411255
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,0,12,72,0.020036574766528464,0.0020988408091116885,0.013448728903098959
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,0,12,72,0.02556625542286601,0.003568463505594469,0.017342410628152474
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,1,12,72,-0.016758749621570684,0.0025675202252711405,-0.010942366527934731
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,1,12,72,0.025815734827333847,0.006483070656765571,0.017361398221903718
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,1,12,72,0.027895940977311427,0.007009207500369305,0.018811192880264845
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,2,12,72,-0.011907108375821597,0.006658739740869743,-0.007936201684995819
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,2,12,72,0.030105911055053548,0.010589007839561772,0.020270787587013707
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,2,12,72,0.030693488535802813,0.01085243257364062,0.020556826499330837
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,3,12,72,-0.01031569401156476,0.008008184307419331,-0.006879633968192717
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,3,12,72,0.03389171799053356,0.01191493169468482,0.0228328877373832
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,3,12,72,0.034239492273175534,0.01198220135132345,0.022991526020659726
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,4,12,72,-0.007922554389415191,0.009202855274542258,-0.005237513360222216
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,4,12,72,0.03493765876788923,0.012914392256466171,0.023589328972311797
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,4,12,72,0.03425477945757271,0.012988697612655456,0.02304726379586499
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,5,12,72,-0.009016890570955857,0.007720228190432809,-0.005922904244339706
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,5,12,72,0.034259771704552786,0.01145300877024388,0.023184464473293333
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,5,12,72,0.034024521677147354,0.011627777671969639,0.022984175984368922
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,6,12,72,-0.01026496956283356,0.007164312639542087,-0.006777345963145693
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,6,12,72,0.036244305217500654,0.011081599172506857,0.024395382952203323
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,6,12,72,0.03495442846351713,0.011167253882760096,0.02364139172937166
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,7,12,72,-0.010016649290995472,0.0071786413430497496,-0.006649332831080853
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,7,12,72,0.03697820432900394,0.011164051103725155,0.02491539801977772
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,7,12,72,0.035141952839751155,0.01121085436313765,0.02378410493401811
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,8,12,72,-0.010226629077281812,0.0070554369389201465,-0.0068679964107322775
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,8,12,72,0.03806024853061165,0.010984814650448222,0.025556688686150388
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,8,12,72,0.035834312173410286,0.011009158378524946,0.024240419687072204
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,9,12,72,-0.010658836794021532,0.006820810462999635,-0.007120960159740788
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,9,12,72,0.03884631148493006,0.010846378435881304,0.02602035347549528
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,9,12,72,0.03624669247019503,0.010837854101573053,0.024449283218335886
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,10,12,72,-0.01060935843083279,0.0064025935067392094,-0.0071828229651883894
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,10,12,72,0.038396562994253876,0.010399041002896856,0.025704914418014937
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,10,12,72,0.03615607388138913,0.010392555331771646,0.02430166998949557
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-5,11,12,72,-0.011042480949703738,0.006952215984871935,-0.007414961611372955
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-7,11,12,72,0.04025462744807167,0.01099249703978815,0.026918282909021863
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Sem,ses-9,11,12,72,0.03754889569782894,0.010856357751859391,0.025184286847416307
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,Phon,ses-5,0,12,72,0.011056328740016974,-0.008446796778139858,0.007689362966229646
