family,step,task,session,layer,rsa_raw,rsa_partial_run,brain_run_rho,lm_run_rho
beetle-humanscale-eng,0,Sem,ses-5,0,0.007369793286086067,0.010856084805477584,0.510842619339668,0.012648436316205
beetle-humanscale-eng,0,Sem,ses-7,0,-0.006036543556900374,-0.0112608657051392,0.50990294848807,0.012648436316205
beetle-humanscale-eng,0,Sem,ses-9,0,-0.008012445735678431,-0.004462442164321092,0.6005780039375302,0.012648436316205
beetle-humanscale-eng,0,Sem,ses-5,1,0.015605245216717575,0.024483882093704407,0.510842619339668,0.008945963468655808
beetle-humanscale-eng,0,Sem,ses-7,1,-0.006180817123181495,-0.01176790251152745,0.50990294848807,0.008945963468655808
beetle-humanscale-eng,0,Sem,ses-9,1,-0.014262256042689367,-0.013888622969874505,0.6005780039375302,0.008945963468655808
beetle-humanscale-eng,0,Sem,ses-5,2,0.006102724784139485,0.011771632863344575,0.510842619339668,0.004498965860585411
beetle-humanscale-eng,0,Sem,ses-7,2,0.0004869212201688316,0.0013491915755950783,0.50990294848807,0.004498965860585411
beetle-humanscale-eng,0,Sem,ses-9,2,-0.010884412770923762,-0.0049311772905897095,0.6005780039375302,0.004498965860585411
beetle-humanscale-eng,0,Sem,ses-5,3,0.016186865345017606,0.009733269029857836,0.510842619339668,0.024898095837600918
beetle-humanscale-eng,0,Sem,ses-7,3,0.004399610420769061,-0.010474880361685023,0.50990294848807,0.024898095837600918
beetle-humanscale-eng,0,Sem,ses-9,3,-0.009504194096492962,-0.021923150433666334,0.6005780039375302,0.024898095837600918
beetle-humanscale-eng,0,Sem,ses-5,4,0.011888026163887101,0.0020754575148769156,0.510842619339668,0.028514661982013047
beetle-humanscale-eng,0,Sem,ses-7,4,0.004292522519124618,-0.012208954273694518,0.50990294848807,0.028514661982013047
beetle-humanscale-eng,0,Sem,ses-9,4,-0.006450245394234463,-0.02066978384235299,0.6005780039375302,0.028514661982013047
beetle-humanscale-eng,0,Sem,ses-5,5,0.003977847832841117,0.003193791981706142,0.510842619339668,0.01402082241323412
beetle-humanscale-eng,0,Sem,ses-7,5,-0.012513358455610777,-0.025764391647546098,0.50990294848807,0.01402082241323412
beetle-humanscale-eng,0,Sem,ses-9,5,-0.018947103636384823,-0.026950523516000236,0.6005780039375302,0.01402082241323412
beetle-humanscale-eng,0,Sem,ses-5,6,0.0023387710558948377,-0.003061981426706935,0.510842619339668,0.018181464344180973
beetle-humanscale-eng,0,Sem,ses-7,6,-0.01009146328964262,-0.025339607984865852,0.50990294848807,0.018181464344180973
beetle-humanscale-eng,0,Sem,ses-9,6,-0.017255346329480947,-0.028824276862299544,0.6005780039375302,0.018181464344180973
beetle-humanscale-eng,0,Sem,ses-5,7,0.003593206952448768,-0.00596984923561437,0.510842619339668,0.018842203554728997
beetle-humanscale-eng,0,Sem,ses-7,7,-0.010336219210678755,-0.029787255937501495,0.50990294848807,0.018842203554728997
beetle-humanscale-eng,0,Sem,ses-9,7,-0.014589781794575964,-0.029407277457916218,0.6005780039375302,0.018842203554728997
beetle-humanscale-eng,0,Sem,ses-5,8,0.0081876127376402,-0.0029525889135661493,0.510842619339668,0.022691035970585777
beetle-humanscale-eng,0,Sem,ses-7,8,-0.010136137684058969,-0.03316583866833468,0.50990294848807,0.022691035970585777
beetle-humanscale-eng,0,Sem,ses-9,8,-0.012261972554635363,-0.03129899197033328,0.6005780039375302,0.022691035970585777
beetle-humanscale-eng,0,Sem,ses-5,9,0.012090125572977025,0.000627945190819622,0.510842619339668,0.021390769081128514
beetle-humanscale-eng,0,Sem,ses-7,9,-0.000842886323464167,-0.01973549276077298,0.50990294848807,0.021390769081128514
beetle-humanscale-eng,0,Sem,ses-9,9,-0.003254751722468033,-0.015864279380915815,0.6005780039375302,0.021390769081128514
beetle-humanscale-eng,0,Sem,ses-5,10,0.011279162466382863,0.004354619833942861,0.510842619339668,0.010064871762601497
beetle-humanscale-eng,0,Sem,ses-7,10,-0.0038502778492294776,-0.019658057239600523,0.50990294848807,0.010064871762601497
beetle-humanscale-eng,0,Sem,ses-9,10,-0.006604942530753961,-0.011358751689037872,0.6005780039375302,0.010064871762601497
beetle-humanscale-eng,0,Sem,ses-5,11,0.011389812562971918,0.0028877917467392505,0.510842619339668,0.01202799901577066
beetle-humanscale-eng,0,Sem,ses-7,11,-0.005534643439933975,-0.023286052543324012,0.50990294848807,0.01202799901577066
beetle-humanscale-eng,0,Sem,ses-9,11,-0.008433333045526377,-0.012182327279689516,0.6005780039375302,0.01202799901577066
beetle-humanscale-eng,0,Sem,ses-5,12,0.016644041482848836,0.005718338294913242,0.510842619339668,0.013077969831890312
beetle-humanscale-eng,0,Sem,ses-7,12,0.0009756713259810046,-0.018710225936687766,0.50990294848807,0.013077969831890312
beetle-humanscale-eng,0,Sem,ses-9,12,-0.0024154649621423723,-0.006174439378550982,0.6005780039375302,0.013077969831890312
beetle-humanscale-eng,0,Sem,ses-5,13,0.013969877951634138,-0.00017027320580021487,0.510842619339668,0.018160252812542195
beetle-humanscale-eng,0,Sem,ses-7,13,0.0012574885905472174,-0.019753908812789447,0.50990294848807,0.018160252812542195
beetle-humanscale-eng,0,Sem,ses-9,13,-0.003202265938290143,-0.00925237702404957,0.6005780039375302,0.018160252812542195
beetle-humanscale-eng,0,Phon,ses-5,0,-0.023087691390861458,-0.007453627391843323,0.5617205991284476,-0.008807027936421793
beetle-humanscale-eng,0,Phon,ses-7,0,-0.025396645502507368,-0.013239193223424634,0.4875417518344673,-0.008807027936421793
beetle-humanscale-eng,0,Phon,ses-9,0,-0.012833242411846569,0.005103388612138488,0.6237897830098481,-0.008807027936421793
beetle-humanscale-eng,0,Phon,ses-5,1,-0.025570684272461258,-0.015399434858526587,0.5617205991284476,-0.014817315426270338
beetle-humanscale-eng,0,Phon,ses-7,1,-0.025228805541024774,-0.014096761653992578,0.4875417518344673,-0.014817315426270338
beetle-humanscale-eng,0,Phon,ses-9,1,-0.01463738240602166,-0.002355571652144614,0.6237897830098481,-0.014817315426270338
beetle-humanscale-eng,0,Phon,ses-5,2,-0.004897671674432226,0.004862952310592383,0.5617205991284476,-0.009399890245725717
beetle-humanscale-eng,0,Phon,ses-7,2,-0.006188591863368258,0.004432443409436498,0.4875417518344673,-0.009399890245725717
beetle-humanscale-eng,0,Phon,ses-9,2,0.0050144465617239144,0.013850970202814183,0.6237897830098481,-0.009399890245725717
beetle-humanscale-eng,0,Phon,ses-5,3,-0.0038825366612253906,0.012183000625798676,0.5617205991284476,-0.013996429151849522
beetle-humanscale-eng,0,Phon,ses-7,3,-0.003835203376089841,0.010915089183632194,0.4875417518344673,-0.013996429151849522
beetle-humanscale-eng,0,Phon,ses-9,3,0.004882449884374364,0.02099976655298795,0.6237897830098481,-0.013996429151849522
beetle-humanscale-eng,0,Phon,ses-5,4,-0.008711227368353102,0.014159710532460078,0.5617205991284476,-0.02521838996534651
beetle-humanscale-eng,0,Phon,ses-7,4,-0.013115738052855737,0.004699988898412628,0.4875417518344673,-0.02521838996534651
beetle-humanscale-eng,0,Phon,ses-9,4,0.0014400192825629432,0.028684115234584712,0.6237897830098481,-0.02521838996534651
beetle-humanscale-eng,0,Phon,ses-5,5,-0.00015064843643518053,0.013691348369511261,0.5617205991284476,-0.011422409787483469
beetle-humanscale-eng,0,Phon,ses-7,5,-0.005788498516182679,0.003701254929228575,0.4875417518344673,-0.011422409787483469
beetle-humanscale-eng,0,Phon,ses-9,5,0.011009762940094427,0.029502247285453125,0.6237897830098481,-0.011422409787483469
beetle-humanscale-eng,0,Phon,ses-5,6,-0.005821932989047947,0.009730030932133319,0.5617205991284476,-0.0055542395596147555
beetle-humanscale-eng,0,Phon,ses-7,6,-0.015896043064342665,-0.00731053667262269,0.4875417518344673,-0.0055542395596147555
beetle-humanscale-eng,0,Phon,ses-9,6,0.003130802860568299,0.020350402919496503,0.6237897830098481,-0.0055542395596147555
beetle-humanscale-eng,0,Phon,ses-5,7,-0.009417497730807443,0.0026717712481865333,0.5617205991284476,-0.002975977888920948
beetle-humanscale-eng,0,Phon,ses-7,7,-0.01775538809742036,-0.00908908160983947,0.4875417518344673,-0.002975977888920948
beetle-humanscale-eng,0,Phon,ses-9,7,-1.5066568329389964e-05,0.012221725572576036,0.6237897830098481,-0.002975977888920948
beetle-humanscale-eng,0,Phon,ses-5,8,-0.017556107831111903,-0.004035737632751003,0.5617205991284476,-0.006140738409427045
beetle-humanscale-eng,0,Phon,ses-7,8,-0.026767735558341953,-0.017986944422583452,0.4875417518344673,-0.006140738409427045
beetle-humanscale-eng,0,Phon,ses-9,8,-0.010894644469858888,0.004629568537024178,0.6237897830098481,-0.006140738409427045
beetle-humanscale-eng,0,Phon,ses-5,9,-0.021413844946737405,-0.007115443081268301,0.5617205991284476,-0.004774715771889561
beetle-humanscale-eng,0,Phon,ses-7,9,-0.030859135990370733,-0.0218275848708845,0.4875417518344673,-0.004774715771889561
beetle-humanscale-eng,0,Phon,ses-9,9,-0.014301361138977663,0.002139365749860666,0.6237897830098481,-0.004774715771889561
beetle-humanscale-eng,0,Phon,ses-5,10,-0.021778703680178906,-0.007789428042819538,0.5617205991284476,-0.0024647799764263303
