family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd,scale_trend_rho,scale_trend_p,scale_trend_n
pythia-70m-full,95592496.0,21,126,6,0.007053518369147681,0.009563830993634762,0.017643038792818675,0.0607426695666245,0.0607426695666245,Phon/ses-11+,4000,0.018086403190394253,0.2152941468357545,0.008568462436998249,,,,False,5.40389392521993e-05,True,0.8231953423394721,0.008169505684973767,0.9658246902230718,30
pythia-160m-full,212654688.0,21,126,6,0.006506500588179633,0.007158786400408847,0.016984668074255065,0.0531850593718009,0.0531850593718009,Phon/ses-11+,4000,0.04155957611319642,0.18850722339922227,0.008568462436998249,,,,False,1.239330866923646e-05,True,0.7593545091689783,0.008169505684973767,0.9658246902230718,30
pythia-410m-full,505997504.0,21,126,6,0.0071027338925930055,0.006781507203364141,0.013729067544190617,0.0453856501958278,0.0453856501958278,Phon/ses-11+,8000,0.04720443716716943,0.16086327629672753,0.008568462436998249,,,,False,1.0166933601060943e-05,True,0.8289391410439881,0.008169505684973767,0.9658246902230718,30
pythia-1b-full,1078891008.0,21,126,6,0.010697448274971263,0.011095069534457536,0.016595582960734212,0.059850918165021,0.059850918165021,Phon/ses-11+,8000,0.0610102003921837,0.21213345504252942,0.008568462436998249,,,,False,0.00016809032505970729,True,1.2484676630873872,0.008169505684973767,0.9658246902230718,30
pythia-1.4b-full,1515311488.0,21,126,6,0.006179893316852226,0.013344245120329045,0.018861620637096288,0.0599242193158628,0.0599242193158628,Phon/ses-9,18000,0.028457479011848395,0.2078438555514304,0.008568462436998249,,,,False,0.0002402381317789312,True,0.7212371370349615,0.008169505684973767,0.9658246902230718,30
