family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-10,10,5242880,13.69039932240369,0.08420015381553682,0.013565971553367348,0.48538237805098666,12.254265708918483,
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-20,20,10485760,31.0581348032881,0.21249095339274163,0.07499290403569232,0.28620441397535173,24.14119305621428,0.784535353751178
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-30,30,15728640,53.19431068282753,0.1998159861878189,0.06391878269631716,0.1961736259108562,41.05938673517473,0.9434886780917231
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-50,50,26214400,28.34308961631126,0.20528423577091337,0.0710921889602485,0.20600935303675974,40.023033375297196,0.656455866071774
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-70,70,36700160,19.66410183472028,0.1556428443909525,0.04494998670197492,0.23845670266772892,29.413994376114815,0.7786065994754038
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-100,100,52428800,17.48537548267298,0.1214749301666857,0.028656535934301498,0.21124292968458,34.0258457959902,0.8455625776826309
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-300,300,157286400,17.268508575664526,0.10176726119666363,0.01918188110428737,0.24452989233030142,27.936553739085255,0.7578070529505676
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-640,640,335544320,16.44852393081472,0.10665857347891909,0.021403987963382814,0.2660634180282058,25.462691633488138,0.9190501757181667
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1100,1100,576716800,16.15607677824323,0.11550102577890313,0.025121373783319075,0.2513827070366617,27.334149948766324,0.9600116034330481
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-1850,1850,969932800,16.392503732461343,0.131203441856689,0.0344290908890131,0.2367725127243582,29.36724476816943,0.9648073006560113
parc-rwkv-seed0,jmichaelov/parc-rwkv-seed0@checkpoint-4000,4000,2097152000,16.127302444508036,0.14536486549367134,0.04613387241485936,0.23143255007038654,30.42473406921728,0.9829677567216831
