arch,task,session,step,n_seeds,rsa_mean,rsa_sd,rsa_min,rsa_max,t_vs_zero,p_vs_zero,p_equivalence_tost,ceiling,frac_of_ceiling_mean
mamba,Gram,ses-5,10,6,0.0191058207684515,0.01184153254684047,-0.0036231769545162,0.0306238623704786,3.9521499277779464,0.010827441221572124,0.000694817761580024,0.8398150343230842,0.02275003421896508
mamba,Gram,ses-5,20,6,0.011158893368635917,0.008902841877615298,-0.0008995220926071,0.0245675969764745,3.070210077077819,0.027777163889245064,6.211206394794258e-05,0.8398150343230842,0.013287322699134954
mamba,Gram,ses-5,30,6,0.007753770080386683,0.006833235805400595,-0.0012167157184534,0.0178329973807061,2.779470930125883,0.0389264415362781,1.1376522615686798e-05,0.8398150343230842,0.009232711684706206
mamba,Gram,ses-5,40,6,0.012232015796390834,0.0072175962493322785,0.0034514207264175,0.0223018512430905,4.151270892936558,0.008899092959568351,2.572326639868199e-05,0.8398150343230842,0.014565130768646219
mamba,Gram,ses-5,50,6,0.014281775946789482,0.010720471890020343,-0.0036840638654485,0.0248299802639609,3.263201848694178,0.022366211474073323,0.00022442627122480158,0.8398150343230842,0.017005858865459602
mamba,Gram,ses-5,60,6,0.014736817025392084,0.009165585492020997,0.0022677983078444,0.0249712562482268,3.9383934803068357,0.010977543876443204,0.00011352027546187126,0.8398150343230842,0.01754769374576676
mamba,Gram,ses-5,80,6,0.006539655515862049,0.014950245284914543,-0.0101959445251122,0.0303723424712805,1.07147533717077,0.33292664695164725,0.00042365918164223224,0.8398150343230842,0.0077870188655686625
mamba,Gram,ses-5,100,6,-0.006371422675551766,0.013919331604919899,-0.0287718948737147,0.0140201947899655,-1.1212272926369453,0.31313347133391056,0.00029872045362189324,0.8398150343230842,-0.0075866975645266
mamba,Gram,ses-5,160,6,-0.0056715863947841005,0.007008454488392157,-0.0145037713783488,0.0053012220375885,-1.9822476870388326,0.10427804415413602,1.017193235266278e-05,0.8398150343230842,-0.0067533756398580865
mamba,Gram,ses-5,300,6,0.013410411742198864,0.011383800283864957,-0.0011505485948869,0.0251942543431142,2.885562394798324,0.03436423759957617,0.000265620169040222,0.8398150343230842,0.01596829205731957
mamba,Gram,ses-5,450,6,0.024259293872583885,0.0080386254127871,0.0108616646451369,0.0321889130672013,7.392170732763912,0.0007126064006550582,0.00027032980638506683,0.8398150343230842,0.028886472474427174
mamba,Gram,ses-5,650,6,0.028276432757520866,0.00630980539867069,0.0211006439852283,0.0359192036794469,10.97701555370273,0.00010914922649294143,0.00019231828746394558,0.8398150343230842,0.033669833953749714
mamba,Gram,ses-5,950,6,0.03127892865163708,0.010424605260659163,0.0205462714311374,0.0462256269158319,7.349670609262692,0.0007319194819100239,0.003514460920183049,0.8398150343230842,0.03724502107401402
mamba,Gram,ses-5,1280,6,0.02760887718653345,0.010611452945276819,0.0109419130570683,0.0423911711252481,6.373082161974379,0.001407061851804126,0.0017794559138171115,0.8398150343230842,0.03287494990940121
mamba,Gram,ses-5,1700,6,0.023844630551141114,0.007769783185420163,0.0167235100131252,0.0386204327858119,7.517221080901513,0.0006591856280414977,0.00021380775353561316,0.8398150343230842,0.02839271693958253
mamba,Gram,ses-5,2560,6,0.019481068600993166,0.0065016504167229715,0.0131630345016288,0.0284398365836946,7.339471466175791,0.000736646074395396,4.36113085735667e-05,0.8398150343230842,0.02319685621810222
mamba,Gram,ses-5,4000,6,0.0188747779233725,0.006983514240521127,0.0110741196269285,0.0276212932602992,6.620388149614662,0.0011835301908097084,5.6031775094953673e-05,0.8398150343230842,0.022474922634108507
mamba,Gram,ses-7,10,6,0.008810340628482667,0.009178650003907265,-0.0075030036213656,0.0196171314572936,2.351199685215956,0.06546250452089192,5.4211267214651624e-05,0.8473571253286221,0.010397434995387382
mamba,Gram,ses-7,20,6,0.0020818691811342,0.007865484581221095,-0.0068951689143538,0.0141721740249233,0.6483411355455166,0.5453578369424446,1.222791469360746e-05,0.8473571253286221,0.0024568970023433855
mamba,Gram,ses-7,30,6,0.0009633679423680168,0.005981331177915443,-0.0063086433277553,0.0078826249415031,0.39452085550277033,0.7094626735981373,2.8301664599312623e-06,0.8473571253286221,0.0011369090004340297
mamba,Gram,ses-7,40,6,0.007801826507422268,0.01268628249288802,-0.0076273050204256,0.0267966409040078,1.5063903878553995,0.1923185510163127,0.00022617353568393247,0.8473571253286221,0.009207247185649808
mamba,Gram,ses-7,50,6,0.010388070688262351,0.01466689350579539,-0.0046345648962234,0.0316437094725083,1.7348917538775914,0.14328519620913427,0.00059375625987784,0.8473571253286221,0.012259377277595499
mamba,Gram,ses-7,60,6,0.010104276210678382,0.010995248657202625,-0.003169115456345,0.0280642728040035,2.251001474176908,0.07418370743151813,0.0001500090036123002,0.8473571253286221,0.011924460075508
mamba,Gram,ses-7,80,6,0.004986753636241033,0.012895473240647042,-0.0130125354574258,0.0220004484826505,0.9472317652722473,0.38701672011409444,0.0001801975670397907,0.8473571253286221,0.005885067213315837
mamba,Gram,ses-7,100,6,-0.007609074220697516,0.006821512133441823,-0.0154464559632078,0.003508600668398,-2.7322899807363408,0.04116790735896548,1.109325915245458e-05,0.8473571253286221,-0.008979772510612412
mamba,Gram,ses-7,160,6,-0.00020709289700801686,0.005543160254885865,-0.0064333623829785,0.0082291172554043,-0.09151312675423187,0.9306381471280145,1.8000396026899126e-06,0.8473571253286221,-0.0002443986022159219
mamba,Gram,ses-7,300,6,0.015097722444299183,0.009361748764490455,0.0014108176332982,0.0272861598956262,3.9503000130671713,0.010847488432603374,0.00013187856849989865,0.8473571253286221,0.01781742549039637
