family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,ds003604,764,,Phon,ses-5,72,-0.0228667713471942,-0.0344741331996358,-0.014832985737867,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,ds003604,1146,,Phon,ses-5,72,-0.0069914870331774,-0.0178412679660891,-0.0038103813137577,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,ds003604,1337,,Phon,ses-5,72,-0.015376299634793,-0.0219488574756314,-0.0098257735147567,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,ds003604,1528,,Phon,ses-5,72,-0.0054129524792882,-0.0136201286785007,-0.0031360154840764,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,ds003604,1719,,Phon,ses-5,72,-0.0058731446615379,-0.0117057909009229,-0.0037050307935895,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,ds003604,1908,,Phon,ses-5,72,-0.0073752325141546,-0.0139238050426665,-0.0044755595980755,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,ds003604,191,,Phon,ses-7,72,-0.0451019181737088,-0.0033661504208765,-0.0307795019737909,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,ds003604,382,,Phon,ses-7,72,-0.0624690895420291,-0.0231273910527043,-0.0416146804724848,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,ds003604,573,,Phon,ses-7,72,-0.049767411917445,-0.0246594602005773,-0.0326978614456908,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,ds003604,764,,Phon,ses-7,72,-0.0626181031199815,-0.0341359300057227,-0.041935019554159,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,ds003604,1146,,Phon,ses-7,72,-0.0380846046882186,-0.0157012944124672,-0.0256314140551068,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,ds003604,1337,,Phon,ses-7,72,-0.0328432541414711,-0.018227397651985,-0.0217009821485993,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,ds003604,1528,,Phon,ses-7,72,-0.0221862160510901,-0.0105733166194511,-0.0148923985312177,,
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,ds003604,1719,,Phon,ses-7,72,-0.0187059393736769,-0.0085537106025079,-0.0126733000744191,,
