family,model_ref,step,layer,per,gini,hoyer,norm,condition_number
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,0,0.0566166154634828,0.3357905550771671,0.1596073272101293,23.641576253455582,288.80187213782244
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,1,0.0595367822522655,0.3406039637645917,0.1619635148746439,36.97993788367042,339.87317692889417
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,2,0.0565942974017195,0.3425485125548063,0.162044507373145,48.24936439828416,397.7307443500288
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,3,0.0552026405661012,0.3462067206670953,0.1627424811519275,59.639552677049366,460.8736239264797
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,4,0.0507290694567591,0.3570814273102656,0.1716679924592659,71.65175221107874,528.5213796404895
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,5,0.0491485270307872,0.3566749951207644,0.1703499119755417,82.1702907409461,589.70582628514
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,6,0.0470807835039516,0.3586933333029988,0.171810380910744,91.37572452711348,640.2998717566675
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,7,0.043863830982942,0.359857178285302,0.1720482168580506,100.20282671082076,692.366395474287
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,8,0.0409218436009307,0.3595912683384688,0.1717288698443803,109.2533408957171,768.3199946030163
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,9,0.0391723062109158,0.3573404486899754,0.1702149715452549,116.46670628446168,811.0064021122228
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,10,0.0359632218613046,0.357868090207974,0.1695450370781999,126.93723731233798,895.9331166875405
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,11,0.0332844197615338,0.3582053178191088,0.169250932594688,135.8349183650234,980.2650642351704
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,0,0.0616909523846135,0.3494591713840124,0.1690850481985337,30.16627993216625,327.98620016540013
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,1,0.052137873033969,0.3566954208734019,0.1731985784221811,41.89772339915882,392.23657134525337
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,2,0.0512392296224324,0.3554223908008979,0.1709000596877097,51.70268663920036,420.6540826185137
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,3,0.0501168176654156,0.3532787939166048,0.1679891783346735,62.29580980913224,472.9329464443681
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,4,0.0498911505396743,0.3608672795251343,0.1719262791459227,70.63504169572178,514.3841258992118
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,5,0.0483313966753755,0.3657496775101216,0.1738125090509639,78.30221852335204,556.246033201084
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,6,0.0477970839931657,0.3560038546673124,0.1682762395932077,82.72063556982204,593.7402851804331
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,7,0.0463900594454106,0.3505719021933032,0.1672084515625599,84.78862934617142,623.9105026179166
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,8,0.0464320951251192,0.3437837536430123,0.1651962645493302,84.97916048879618,645.7039026260793
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,9,0.04592714713813,0.3426793543016731,0.1657575929584555,87.78332418418823,662.2343147376171
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,10,0.0441043775993902,0.3422693189869685,0.1665171296186955,94.08237002926911,708.0005532181742
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,11,0.0428480844768449,0.3410927181188334,0.1650449956469655,101.31274452596914,736.8554949264205
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,0,0.0696356685158974,0.346438355859718,0.1688786857145262,30.894904185901385,305.3800570059412
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,1,0.0551345181432459,0.3453921197923164,0.1687006760876954,38.49414587637752,356.75052916796363
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,2,0.0516752257669551,0.3493750614739243,0.1737716620326961,45.36581637021381,363.975488721618
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,3,0.0509024887601057,0.3518924001929405,0.1734711080508704,53.47372832402016,382.9010344401235
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,4,0.0481023271692467,0.3526620172395753,0.1733903200124356,60.20534067527581,405.977536515551
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,5,0.046803943150834,0.352122555598656,0.1735185710928491,66.15808476966787,437.4030786611143
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,6,0.0472457850212107,0.3460372340751779,0.1701161759925135,68.72485383476057,441.54342858360815
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,7,0.0460308711744389,0.3438478737257103,0.1698742410672395,70.69302031924352,454.3272245347282
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,8,0.0471167013982025,0.3355928593439635,0.1624790866804821,71.0041006842048,447.7732469243577
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,9,0.0486435611109939,0.3215938446165232,0.1524630887103391,72.48530667692495,446.7628711126787
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,10,0.0500544133450106,0.3109183161109745,0.1421414027872383,79.28667858207312,463.8592348233086
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,11,0.0498019709497952,0.3064247931938439,0.1393232234094468,86.37984216124427,475.6897734714601
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,0,0.0809307255579337,0.3477553053464688,0.1723631236206077,34.5929892873896,270.92520435854584
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,1,0.0621819418515089,0.3529166948363982,0.1778235304870777,41.95467992703536,306.3820202139764
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,2,0.0589260594925392,0.3608571457975327,0.1874433903099457,50.19187303199231,307.72163675988816
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,3,0.0558016474876081,0.361522528062931,0.1866318590454719,58.095707628688494,327.61875267991445
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,4,0.0523432337148852,0.3633463272393916,0.1852124237379661,64.75646812438771,349.17969634600445
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,5,0.0518194616403986,0.3571615325349075,0.1798360599590427,69.12020639450738,372.25740765525774
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,6,0.0537617775903489,0.3444001820203972,0.1716289672085004,70.86088176674232,368.3924811671289
babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,7,0.0546407402748258,0.3432187729200497,0.1709065050411412,72.3098697395014,367.1836261112365
