file,n_stimuli,n_voxels,frac_voxels_near_constant,pattern_effective_rank,pc1_vs_global_signal,pc1_vs_mean_map,rdm_vs_amplitude_rsa,top2_variance_share
sub-5007_ses-7_run-01_patterns.npz,40,222852,0.0,6,0.501313320825516,0.940414383660729,0.3634912412615861,0.6204917464915798
sub-5007_ses-7_run-02_patterns.npz,40,183017,0.0,7,0.7287054409005629,0.9077280324039227,0.5170906946567327,0.5577014332326505
sub-5008_ses-5_run-01_patterns.npz,40,171099,0.0,4,0.9956848030018762,0.991705874630461,0.6147913306386611,0.8376346977889715
sub-5008_ses-5_run-02_patterns.npz,40,175820,0.0,5,0.8195121951219514,0.6897749626541861,0.7771309743972421,0.7089072695866714
sub-5008_ses-7_run-01_patterns.npz,40,186366,0.0,7,0.15440900562851784,0.3223118123474063,0.18548361544618935,0.6046834885479513
sub-5008_ses-7_run-02_patterns.npz,40,189707,0.0,5,0.6727954971857412,0.9289598484128915,0.4863254339542105,0.6619990260220158
sub-5007_ses-5_run-01_patterns.npz,48,200499,0.0,2,0.7518454190186714,0.9843857510763313,0.4938063694557646,0.9519719074121742
sub-5007_ses-5_run-02_patterns.npz,48,202231,0.0,3,0.749240121580547,0.6873757722727023,0.520747917782885,0.8917661693694381
sub-5007_ses-7_run-01_patterns.npz,48,210652,0.0,3,0.9937038645245331,0.686360397088215,0.4761664747639465,0.8952193524643882
sub-5007_ses-7_run-02_patterns.npz,48,221642,0.0,2,0.9420321320017369,0.6483121637041529,0.4932762366931503,0.926991790677191
sub-5008_ses-5_run-01_patterns.npz,48,175419,0.0,3,0.9475683890577508,0.7685539812422993,0.866446065910069,0.8197946636065743
sub-5008_ses-5_run-02_patterns.npz,48,179329,0.0,3,0.9852366478506296,0.5928508713942732,0.5385091545682561,0.8740155331798914
