dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Gram,ses-9,60,0.0012119916593631,0.046543885915359,0.0002714674893728,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,0.001415389714059212,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Gram,ses-9,60,0.0069749412415395,0.0337488762093368,0.0048640586625275,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,0.008145485171597844,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Gram,ses-9,60,-0.0036117833809429,0.0250420372620362,-0.0023984951119883,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.004217917678973943,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Gram,ses-9,60,-0.0043196045406387,0.0307301654155363,-0.0027842983204146,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.005044526328536239,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Gram,ses-9,60,-0.00782542768735,0.0301453291606197,-0.0049445407887887,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.009138701385626526,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Gram,ses-9,60,-0.0108878536341937,0.0261851803963193,-0.0071865428774915,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.012715067734144473,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Gram,ses-9,60,-0.0029169528427401,0.0339216215667953,-0.0023052380450508,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.003406479754307634,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Gram,ses-9,60,-0.0006644011488768,0.0335706676470286,-0.0004848089986682,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.0007759018346904446,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Gram,ses-9,60,-0.0010339056681681,0.0329848439195008,-0.0009319319223411,BrainAlign/gpt2-babylm-3,0.8562953703310558,0.8666432094643701,60,96,-0.0012074170946041404,0.0061329615387372,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-5,72,-0.0113025959170483,-0.0094683013193901,-0.0075705373795283,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.01320825655927793,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-5,72,-0.0150977643037173,-0.0081032267398771,-0.0100131994401722,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.017643304764546862,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-5,72,-0.0128959613321978,-0.0173250096251021,-0.0086932554229486,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.015070269441135523,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-5,72,-0.012112674403514,-0.016011902232024,-0.00810464001666,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.014154917358347245,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-5,72,-0.0138125923490685,-0.0128637835929757,-0.0093670087496057,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.01614144793233136,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-5,72,-0.0072267780218723,-0.0127120141824388,-0.0047830361162408,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.008445240271384328,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-5,72,-0.0117386036916592,-0.0144730264207683,-0.0076973255055446,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.013717776902318252,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-5,72,-0.008873069016097,-0.0126061179696426,-0.0056938281132763,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.010369102186163569,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-5,72,-0.0089467037607792,-0.0130195229795137,-0.0056717780044038,BrainAlign/gpt2-babylm-3,0.8557220149626009,0.8634857149064381,72,93,-0.010455152028746407,0.0089146943876321,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-7,72,-0.0071578502323821,-0.0094458518197607,-0.0048951241696755,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.008460555652305987,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-7,72,-0.0111706739760866,-0.0085455553436035,-0.0074958120105718,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.013203700242411237,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-7,72,-0.0073187001857497,-0.0168672709446155,-0.0047279108440597,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.008650679773090295,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-7,72,-0.0054722902967114,-0.0157288266707694,-0.0035990677703971,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.006468229300390498,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-7,72,-0.0115298886750122,-0.0128236726160439,-0.0078039010317613,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.01362829084611474,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-7,72,-0.0107263445921437,-0.01284023772567,-0.0071485227958313,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.012678504358345824,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-7,72,-0.0130022580341985,-0.0146752445674644,-0.0084739793402729,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.015368626631262924,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-7,72,-0.0107433880816538,-0.013000330831215,-0.0070364347423965,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.012698649707414088,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-7,72,-0.0110169929669933,-0.0133360074307351,-0.0070915600145775,BrainAlign/gpt2-babylm-3,0.8460260208123772,0.8625655350367195,72,104,-0.013022049790400635,0.0081448036195669,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,72,-0.012859555369299,-0.0093181156517927,-0.008639355156816,BrainAlign/gpt2-babylm-3,0.8734471064940128,0.8799092800838068,72,96,-0.014722763718248287,0.008728626502912,134601216
ds003604,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,72,-0.0149990131024062,-0.0083021328500169,-0.0099035613988344,BrainAlign/gpt2-babylm-3,0.8734471064940128,0.8799092800838068,72,96,-0.017172205381287175,0.008728626502912,134601216
