family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
beetle-fineweb3-eng,0.008110585016271791,0.008880516730951969,1.0280174672625018,0.0524168255468762,0.0462256269158319,0.0654010891444828,0.605,False,0.06241472634402849,2.3075897790324987e-09,True
babylm-gpt2,0.005858651343931895,0.0175210762209799,0.742584647603069,0.0521599626784183,0.0462256269158319,0.0664527430355686,0.5825,False,0.06210886986616139,1.4149263269441199e-06,True
beetle-humanscale-eng,0.004461436362421697,0.012235340268170653,0.5654875080463477,0.0510191987070663,0.0478219044438296,0.0654010891444828,0.565,False,0.06075051841408065,2.7720214934766457e-08,True
pythia-410m-full,0.001419924377637676,0.010916751284111677,0.17997555780191482,0.0434761401284252,0.0478219044438296,0.0654010891444828,0.3925,False,0.051768709003248856,4.272805303726385e-09,True
babylm-gpt2-7,0.0012517807064178262,0.014652102128356262,0.15866333054865742,0.0420292536655861,0.0462256269158319,0.0664527430355686,0.36,False,0.05004584574919277,8.797857195142325e-08,True
pythia-1b-full,0.0012476925592993337,0.013871235376862115,0.15814515748985616,0.0465856292164033,0.0478219044438296,0.0654010891444828,0.49,False,0.05547129702667528,5.0112640232327735e-08,True
pico-decoder-tiny,0.001065562312907402,0.01409490791123471,0.1350601304255822,0.0513703847837559,0.04953162863868525,0.0654010891444828,0.505,False,0.061168689156847436,5.685501867663794e-08,True
pico-decoder-medium,0.0007921286769012123,0.011666014208146554,0.10040238953666772,0.0563117827617582,0.04953162863868525,0.0654010891444828,0.7025,False,0.06656034374413933,7.507396763296603e-09,True
babylm-gpt2-3,0.0006355754331340543,0.015854826800066297,0.08055925012978656,0.0410207070842021,0.0462256269158319,0.0664527430355686,0.32,False,0.04884493061887848,1.727555875884071e-07,True
babylm-gpt2-5,0.00040375615840704547,0.015350825950395356,0.05117613372210772,0.0445559068237448,0.0462256269158319,0.0664527430355686,0.455,False,0.053054428657208046,1.1867535510536284e-07,True
pythia-70m-full,-0.0001434747243183898,0.012751585132345132,-0.018185435750203857,0.0555070937952573,0.0478219044438296,0.0654010891444828,0.7025,False,0.06609442737590147,1.6608958504885433e-08,True
pico-decoder-large,-0.0002950642175889716,0.012195481286188473,-0.037399419281969284,0.0521799214493712,0.04953162863868525,0.0654010891444828,0.5175,False,0.061579610166297684,1.0760832916235943e-08,True
pythia-160m-full,-0.0003603444702001328,0.012026018980941541,-0.04567369787185459,0.0422797478185594,0.0478219044438296,0.0654010891444828,0.345,False,0.05034411875305153,9.422524300719685e-09,True
pico-decoder-small,-0.001881227819631971,0.014074238460828338,-0.2384458155116896,0.0490557343268803,0.04953162863868525,0.0654010891444828,0.4975,False,0.05841254600356217,6.65587041881006e-08,True
pythia-1.4b-full,-0.0025037049466600293,0.01415178745820354,-0.31734485402400336,0.0481423704904005,0.0478219044438296,0.0654010891444828,0.5425,False,0.05625935718447602,8.046606470459214e-08,True
