family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
babylm-gpt2,Gram,ses-5,9,0.04483587086292399,0.006337421166503196,0.0339276805955664,0.0521599626784183,0.8398150343230842,0.0081285104156867,0.06210886986616139,5.515877887835152
babylm-gpt2,Gram,ses-7,9,0.035957430639611584,0.004832686596623478,0.0289605218139839,0.04490726602216,0.8473571253286221,0.0080555141424375,0.05299685891558894,4.463703992546316
babylm-gpt2,Gram,ses-9,9,0.008532723470697622,0.002534781071384317,0.0031746120711363,0.0125002985673511,0.8562953703310558,0.0061329615387372,0.014598115323826063,1.39128925182442
babylm-gpt2,Phon,ses-5,9,-0.009975426104793956,0.003499837762607984,-0.0158966998822122,-0.0053267419001232,0.8557220149626009,0.0089146943876321,-0.00622485083588273,-1.118986885140277
babylm-gpt2,Phon,ses-7,9,-0.005700753046438267,0.002635670741767339,-0.0099164701935062,-0.0016582502535081,0.8460260208123772,0.0081448036195669,-0.0019600463965822267,-0.6999251685753234
babylm-gpt2,Phon,ses-9,9,-0.010791226875412278,0.0032426995767571485,-0.0163720721746112,-0.0075881643877583,0.8734471064940128,0.008728626502912,-0.008687606074072344,-1.2363029706692301
babylm-gpt2,Plaus,ses-5,9,0.0016400899480615333,0.0038245216112683875,-0.0040756046164011,0.0080258723494204,0.8377735419584034,0.0058908227201663,0.009580002169391614,0.27841441271809875
babylm-gpt2,Plaus,ses-7,9,0.0033061312034772996,0.005995093673873181,-0.0029990579851798,0.0142792043678221,0.8460574663445363,0.0063089941228393,0.016877345731037188,0.5240345987181564
babylm-gpt2,Plaus,ses-9,9,0.010357537546124366,0.004916079342599828,0.0042607280057463,0.0178415106415679,0.8571028945001105,0.0059238995685712,0.020816066257685006,1.7484323335046894
babylm-gpt2,Sem,ses-5,9,-0.005871236647945545,0.0064383377108619315,-0.0150873357031451,0.0042551083336099,0.8591956418414916,0.0077235660279985,0.00495243239885393,-0.7601717427755361
babylm-gpt2,Sem,ses-7,9,-0.0028580461054756334,0.004760677565345708,-0.0112752337756904,0.0038158358723673,0.8546161144168992,0.0074296612798053,0.004464970655240719,-0.3846805389694065
babylm-gpt2,Sem,ses-9,9,0.0008707212363520222,0.005346964804925791,-0.0069148649888412,0.0078054712145238,0.8812943730411821,0.0084082983710845,0.008856826337820107,0.10355498793267928
babylm-gpt2-3,Gram,ses-5,9,0.03211086955280429,0.006141217938333877,0.0224554080497739,0.0410207070842021,0.8398150343230842,0.0081285104156867,0.04884493061887848,3.9504002468687918
babylm-gpt2-3,Gram,ses-7,9,0.019566187985034934,0.007483095679318599,0.0086046420827071,0.0334145889169711,0.8473571253286221,0.0080555141424375,0.03943389147050867,2.4289185816157532
babylm-gpt2-3,Gram,ses-9,9,-0.0025636662224453,0.0051535535087007065,-0.0108878536341937,0.0069749412415395,0.8562953703310558,0.0061329615387372,0.008145485171597844,-0.4180143974901184
babylm-gpt2-3,Phon,ses-5,9,-0.011334082532883732,0.00255305518247595,-0.0150977643037173,-0.0072267780218723,0.8557220149626009,0.0089146943876321,-0.008445240271384328,-1.2713932794609535
babylm-gpt2-3,Phon,ses-7,9,-0.009793154115659033,0.0025055273745118343,-0.0130022580341985,-0.0054722902967114,0.8460260208123772,0.0081448036195669,-0.006468229300390498,-1.2023806310237082
babylm-gpt2-3,Phon,ses-9,9,-0.01182228345400021,0.00288228382627805,-0.0149990131024062,-0.0068391397811584,0.8734471064940128,0.008728626502912,-0.007830056027789108,-1.3544265469551389
babylm-gpt2-3,Plaus,ses-5,9,0.0038227677898533996,0.004232608867481904,-0.0036879655963417,0.0120862541560778,0.8377735419584034,0.0058908227201663,0.014426636257603249,0.6489361455008242
babylm-gpt2-3,Plaus,ses-7,9,0.011740690688324356,0.004827666813659985,0.0036384679309396,0.0185572954006464,0.8460574663445363,0.0063089941228393,0.02193384744989579,1.8609449398314821
babylm-gpt2-3,Plaus,ses-9,9,0.016534431513688167,0.004439435957500855,0.008381304236433,0.0212464276264274,0.8571028945001105,0.0059238995685712,0.024788654621005556,2.791139742039237
babylm-gpt2-3,Sem,ses-5,9,-0.013951453435881389,0.0048299476785566425,-0.0229102945137911,-0.0087125079476129,0.8591956418414916,0.0077235660279985,-0.010140307426303523,-1.806348697649031
