family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-10,10,5242880,13.708895489901442,0.08695120504718801,0.014602053584390276,0.48090231861701077,12.702691032792496,
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-20,20,10485760,30.648419019581397,0.20611076534027428,0.0714206662073084,0.26942984879113646,25.91356008241235,0.7721274294226363
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-30,30,15728640,51.18790615668642,0.1891299590330494,0.057982584022789746,0.19935786309304757,40.99466352602829,0.9581357530509002
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-50,50,26214400,26.95844634585698,0.19745866203859774,0.06655853343674385,0.21460059512760654,38.28435244439257,0.5896667555155792
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-70,70,36700160,18.990194027156022,0.1266736240779885,0.02982049701752616,0.19162344494376363,40.17009754085709,0.8296147876929073
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-100,100,52428800,17.757285481696584,0.11804028964522045,0.02681158516580188,0.17593693262038315,39.08817151261245,0.8150757079057066
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-300,300,157286400,17.061809152926273,0.10040590101525387,0.01879531477099064,0.24922492908903812,27.72985536066272,0.7365924254555245
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-640,640,335544320,16.277769864602515,0.10256566920266802,0.01985054179510204,0.2656055399810487,25.878059339417504,0.9271839555089433
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1100,1100,576716800,15.953581692655908,0.11441097110804437,0.0250076952367649,0.25978108064520294,26.07175256366905,0.9589940338590718
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-1850,1850,969932800,15.978029377912955,0.131588521565611,0.03418920084034204,0.2530853602943976,25.275296616025074,0.9712448745087761
parc-rwkv-seed2,jmichaelov/parc-rwkv-seed2@checkpoint-4000,4000,2097152000,15.666614513824058,0.1422997237375936,0.04183089727650371,0.239722988053414,26.393372654334957,0.9825861203104701
