family,n_checkpoints,first_step,last_step,brain_rsa_mean,brain_rsa_min,brain_rsa_max,brain_trend_rho,brain_trend_p,brain_trend_n,interp_norm_mean,interp_gini_mean,interp_hoyer_mean,interp_per_mean,interp_condition_number_mean,interp_cka_to_prev_mean,loc_selectivity_mean,loc_overlap_mean,loc_gini_mean,loc_entropy_mean,loc_layer_com_mean,loc_n_active_layers_mean,behav_mp_accuracy_mean,causal_selectivity_mean
pico-decoder-tiny,21,0,126000,-0.01667397652976602,-0.03163055588673153,0.0034144443649535747,-0.016116383243883283,0.7990442350216163,252,9.216625840489147,0.20419895520045944,0.09331986500491951,0.22089041262422285,50.30759583008838,0.9353153485062065,0.5459264438776743,0.003023431594860152,0.41440846687796595,0.9596738247167347,0.6129246519103657,7.059523809523809,0.6310515873015874,
pico-decoder-small,126,0,125000,0.0012299187582892617,-0.020089957549539142,0.020009768820329347,0.1637701975355965,1.4924595379483773e-10,1512,65.31140352997897,0.24271169743864704,0.2817431412767775,0.18386995480814886,122.80431150018161,0.9607099457784146,0.5508709205758004,0.006639791344813339,0.41469428605458974,0.9661998627888214,0.5465223407245493,11.458333333333334,0.6818617724867724,-0.008932705026455023
pico-decoder-medium,21,0,125000,-0.01106260755330271,-0.030589308030310573,0.005662789250356966,-0.09581545678141007,0.12927846280126043,252,132.9873416184881,0.20639888647258836,0.30343643327806635,0.19118373578921583,99.3827591195281,0.8148506707468479,0.5444381634394327,0.0059939802565617695,0.4151983836068329,0.9686731292264674,0.533261371577378,11.988095238095237,0.6785714285714286,
pico-decoder-large,21,0,125000,-0.012434404857859991,-0.03156952054986247,0.0025624902418613163,0.005765503228667023,0.9274367694019865,252,392.8123591571442,0.22062455824634397,0.48371741586498584,0.10424685574834444,109.48234274142872,0.7775419197832897,0.5390676167749223,0.0067688776089551836,0.4122512168800337,0.9713073453999247,0.56851828998343,11.928571428571429,0.6873015873015872,-0.005704365079365087
beetle-humanscale-eng,18,0,9500,-0.015776182732798967,-0.020981898133277777,-0.0033733866387723175,-0.02546287230640173,0.7098071064645921,216,33.660474094982995,0.07695777651530944,0.011962431129729239,0.2995474394440352,33.194599578733424,0.91013846794835,0.5303100397189459,0.00458885522941927,0.41482628718889497,0.9693149984735228,0.4571780225690854,14.0,0.5096064814814815,0.007725694444444449
beetle-fineweb3-eng,19,0,65536,-0.015124062841533751,-0.03169895999634969,-0.0038124834255836744,-0.05179327886829104,0.4364007633299034,228,61.937290141858796,0.08959723447335993,0.05473414700850719,0.24133760177888808,34.49987860855039,0.8920759232130953,0.558244313848646,0.002946300093046583,0.41681717959566617,0.9690570470125028,0.524725219129989,13.986842105263158,0.5903508771929824,0.01362390350877192
babylm-gpt2-3,9,191,1908,-0.020893744169758796,-0.02995483137983825,-0.012376032571505408,0.17461402801716303,0.07069381631237985,108,59.04936614511756,0.3260340241258861,0.15731782329135366,0.06526608183360677,354.27098488347684,0.955112739658001,0.5191209605998464,0.007763927237140603,0.4138491457486582,0.9689435030136835,0.5133791524207446,12.0,0.6932870370370371,
babylm-gpt2-5,9,191,1908,-0.021590216664280747,-0.028338197223383613,-0.0153203246626373,0.14217584889935014,0.1421560021524125,108,59.19539957756925,0.32352618146636136,0.15536904394656847,0.06590141948460344,354.2234121060643,0.9570023728532185,0.5307269882824686,0.0059478542211238,0.4138557970114826,0.9689425768073556,0.5102924388548437,12.0,0.6872685185185186,
babylm-gpt2-7,9,191,1908,-0.023516843682940294,-0.029043345443687914,-0.018102669846247237,0.12066542515810541,0.21351757335629196,108,60.40149109355988,0.3276961636812348,0.15885872476681315,0.06478799724014005,358.37135347535906,0.9547638008989051,0.5194641633166207,0.006680199348577453,0.41445389816609385,0.9688411547784909,0.5155815210358027,12.0,0.7064814814814815,
babylm-gpt2,9,598,2990,-0.03230553581030593,-0.03904794039277075,-0.024802509579778573,-0.03301332413763228,0.7344705061967705,108,52.03345441804598,0.2932771045533728,0.1782533228982914,0.07212609145420937,209.4277982716228,0.9755758487043384,0.5301960334181786,0.004175319519471753,0.41428180421818217,0.9688708358541172,0.5062837033034171,12.0,0.7067129629629629,
