family,model_ref,phenomenon,lm_isolation,lm_onset_step
pico-decoder-tiny,,Gram,0.410195418013655,0.0
pico-decoder-tiny,,Phon,0.4209639633792692,0.0
pico-decoder-tiny,,Plaus,0.4138643155457853,0.0
pico-decoder-tiny,,Sem,0.4153324503608169,0.0
pico-decoder-small,,Gram,0.4198419701411454,0.0
pico-decoder-small,,Phon,0.3991090027289629,0.0
pico-decoder-small,,Plaus,0.4186928948668733,0.0
pico-decoder-small,,Sem,0.4126760266580012,0.0
pico-decoder-medium,,Gram,0.420065607417004,0.0
pico-decoder-medium,,Phon,0.4171381663860691,0.0
pico-decoder-medium,,Plaus,0.4156199706417238,0.0
pico-decoder-medium,,Sem,0.4170076340790503,0.0
pico-decoder-large,,Gram,0.4173921601112911,0.0
pico-decoder-large,,Phon,0.3966606315692613,0.0
pico-decoder-large,,Plaus,0.4171919137188139,0.0
pico-decoder-large,,Sem,0.4128980527213898,0.0
beetle-humanscale-eng,,Gram,0.4188737025239744,0.0
beetle-humanscale-eng,,Phon,0.4184422964695747,0.0
beetle-humanscale-eng,,Plaus,0.4165904828261414,0.0
beetle-humanscale-eng,,Sem,0.4146127188712729,0.0
beetle-fineweb3-eng,,Gram,0.4187446386103547,0.0
beetle-fineweb3-eng,,Phon,0.4137394854603253,0.0
beetle-fineweb3-eng,,Plaus,0.4165544959706118,0.0
beetle-fineweb3-eng,,Sem,0.4145260773975123,0.0
babylm-gpt2-3,,Gram,0.4213066311865737,191.0
babylm-gpt2-3,,Phon,0.409093460300954,191.0
babylm-gpt2-3,,Plaus,0.4145572905418141,191.0
babylm-gpt2-3,,Sem,0.4179675548380209,191.0
babylm-gpt2-5,,Gram,0.4157944854275797,191.0
babylm-gpt2-5,,Phon,0.4083077330395686,191.0
babylm-gpt2-5,,Plaus,0.4164271062142278,191.0
babylm-gpt2-5,,Sem,0.4239042409990834,191.0
babylm-gpt2-7,,Gram,0.4159190001470227,191.0
babylm-gpt2-7,,Phon,0.4128610130838643,191.0
babylm-gpt2-7,,Plaus,0.4159173801915795,191.0
babylm-gpt2-7,,Sem,0.4196344052922261,191.0
babylm-gpt2,,Gram,0.411184876985995,598.0
babylm-gpt2,,Phon,0.4093883930458241,598.0
babylm-gpt2,,Plaus,0.4218007965279509,598.0
babylm-gpt2,,Sem,0.4117270251914049,598.0
