acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,family,step,tokens,phenomenon
0.4,0.35,0.35,0.050000000000000044,0.050000000000000044,0.0,pico-decoder-small,0,,Gram
0.65,0.65,0.65,0.0,0.0,0.0,pico-decoder-small,1000,,Gram
0.85,0.75,0.8125,0.09999999999999998,0.03749999999999998,0.0625,pico-decoder-small,2000,,Gram
0.7,0.7,0.75,0.0,-0.050000000000000044,0.050000000000000044,pico-decoder-small,3000,,Gram
0.75,0.8,0.7000000000000001,-0.050000000000000044,0.04999999999999993,-0.09999999999999998,pico-decoder-small,4000,,Gram
0.8,0.75,0.725,0.050000000000000044,0.07500000000000007,-0.025000000000000022,pico-decoder-small,5000,,Gram
0.75,0.65,0.75,0.09999999999999998,0.0,0.09999999999999998,pico-decoder-small,7000,,Gram
0.75,0.75,0.75,0.0,0.0,0.0,pico-decoder-small,8000,,Gram
0.65,0.7,0.7,-0.04999999999999993,-0.04999999999999993,0.0,pico-decoder-small,10000,,Gram
0.65,0.55,0.6749999999999999,0.09999999999999998,-0.02499999999999991,0.12499999999999989,pico-decoder-small,13000,,Gram
0.7,0.8,0.75,-0.10000000000000009,-0.050000000000000044,-0.050000000000000044,pico-decoder-small,16000,,Gram
0.8,0.7,0.7375,0.10000000000000009,0.0625,0.03750000000000009,pico-decoder-small,20000,,Gram
0.65,0.6,0.675,0.050000000000000044,-0.025000000000000022,0.07500000000000007,pico-decoder-small,24000,,Gram
0.7,0.65,0.7124999999999999,0.04999999999999993,-0.012499999999999956,0.06249999999999989,pico-decoder-small,30000,,Gram
0.75,0.65,0.6874999999999999,0.09999999999999998,0.06250000000000011,0.03749999999999987,pico-decoder-small,37000,,Gram
0.65,0.7,0.675,-0.04999999999999993,-0.025000000000000022,-0.02499999999999991,pico-decoder-small,45000,,Gram
0.7,0.8,0.65,-0.10000000000000009,0.04999999999999993,-0.15000000000000002,pico-decoder-small,55000,,Gram
0.75,0.8,0.725,-0.050000000000000044,0.025000000000000022,-0.07500000000000007,pico-decoder-small,68000,,Gram
0.75,0.8,0.7375,-0.050000000000000044,0.012499999999999956,-0.0625,pico-decoder-small,83000,,Gram
0.75,0.7,0.7124999999999999,0.050000000000000044,0.03750000000000009,0.012499999999999956,pico-decoder-small,102000,,Gram
0.65,0.65,0.6749999999999999,0.0,-0.02499999999999991,0.02499999999999991,pico-decoder-small,125000,,Gram
0.5416666666666666,0.5416666666666666,0.5833333333333334,0.0,-0.04166666666666674,0.04166666666666674,pico-decoder-small,0,,Phon
0.5833333333333334,0.5833333333333334,0.5416666666666667,0.0,0.04166666666666663,-0.04166666666666663,pico-decoder-small,1000,,Phon
0.4583333333333333,0.5,0.48958333333333326,-0.041666666666666685,-0.031249999999999944,-0.01041666666666674,pico-decoder-small,2000,,Phon
0.4583333333333333,0.4166666666666667,0.46874999999999994,0.04166666666666663,-0.01041666666666663,0.05208333333333326,pico-decoder-small,3000,,Phon
0.4583333333333333,0.4583333333333333,0.5208333333333333,0.0,-0.062499999999999944,0.062499999999999944,pico-decoder-small,4000,,Phon
0.4583333333333333,0.5,0.5625,-0.041666666666666685,-0.10416666666666669,0.0625,pico-decoder-small,5000,,Phon
0.5,0.3333333333333333,0.5208333333333334,0.16666666666666669,-0.02083333333333337,0.18750000000000006,pico-decoder-small,7000,,Phon
0.4583333333333333,0.4166666666666667,0.43750000000000006,0.04166666666666663,0.02083333333333326,0.02083333333333337,pico-decoder-small,8000,,Phon
