family,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
pico-decoder-large,0,,Gram,ses-5,-0.015939290235873538,-0.016844790438071598,-0.015989519340566798
pico-decoder-large,0,,Gram,ses-7,-0.019365150621500776,-0.019797831586546844,-0.020103986538357575
pico-decoder-large,0,,Gram,ses-9,-0.02028807119734843,-0.020258900186566252,-0.021146503930369015
pico-decoder-large,1000,,Gram,ses-5,-0.00995942995149005,-0.009531626691065867,-0.009724334976018666
pico-decoder-large,1000,,Gram,ses-7,-0.020152250711464023,-0.021650454781846854,-0.017989709330840657
pico-decoder-large,1000,,Gram,ses-9,-0.022394908498702952,-0.019111676610823677,-0.02214025293224788
pico-decoder-large,2000,,Gram,ses-5,-0.026231236167946058,-0.026712415020428287,-0.02688593925415082
pico-decoder-large,2000,,Gram,ses-7,-0.02624370526024034,-0.025214511749043877,-0.02639446831507512
pico-decoder-large,2000,,Gram,ses-9,-0.05495354789740662,-0.056096302768604306,-0.05615061105395961
pico-decoder-large,3000,,Gram,ses-5,-0.0001922549224335953,-0.00011638649016264739,-0.0021094633415313863
pico-decoder-large,3000,,Gram,ses-7,-4.6276519293136855e-05,-0.003505092789430893,-0.0012698143157503644
pico-decoder-large,3000,,Gram,ses-9,-0.024844792991617053,-0.024165974049020857,-0.02207707215844992
pico-decoder-large,4000,,Gram,ses-5,-0.001984066947556306,-0.0034428100845850574,-0.00709894616964422
pico-decoder-large,4000,,Gram,ses-7,-0.0062151597598933675,-0.004047416071412409,-0.013628037292865063
pico-decoder-large,4000,,Gram,ses-9,-0.04730849898210648,-0.038453164738452214,-0.05241802441482679
pico-decoder-large,5000,,Gram,ses-5,0.0031539673053453537,0.005941882787816588,0.001107460761379287
pico-decoder-large,5000,,Gram,ses-7,-0.0008545710365264607,0.0015695161552352437,0.0005623783518942636
pico-decoder-large,5000,,Gram,ses-9,-0.034130931993615,-0.031105432910865292,-0.03492462369328466
pico-decoder-large,7000,,Gram,ses-5,-0.0036300931674584113,-0.00010451033977892391,-0.00555521108539959
pico-decoder-large,7000,,Gram,ses-7,-0.012368468537244388,-0.006321869827599597,-0.012779303704527397
pico-decoder-large,7000,,Gram,ses-9,-0.04714053411980081,-0.04502633914510361,-0.039286222154526824
pico-decoder-large,8000,,Gram,ses-5,0.005819589600774864,0.007227010802216809,-0.0013692424508689066
pico-decoder-large,8000,,Gram,ses-7,-0.009727228272859599,-0.00949364811248818,-0.01304516024663592
pico-decoder-large,8000,,Gram,ses-9,-0.03923945548434777,-0.036762180970404734,-0.03678650240884545
pico-decoder-large,10000,,Gram,ses-5,-0.0019588625883144644,-0.00045460358557491574,-0.004736392931264654
pico-decoder-large,10000,,Gram,ses-7,-0.006245166083002098,-0.00924990787083914,-0.007847533167701648
pico-decoder-large,10000,,Gram,ses-9,-0.03629716303101756,-0.04338424711641827,-0.03909296637211646
pico-decoder-large,13000,,Gram,ses-5,-0.0035450774160052474,-0.0008071529958544219,-0.00969311030876525
pico-decoder-large,13000,,Gram,ses-7,-0.007658419322578908,-0.007686454222036112,-0.015417717756739968
pico-decoder-large,13000,,Gram,ses-9,-0.0448674436972036,-0.036541593595547865,-0.03431074487402395
pico-decoder-large,16000,,Gram,ses-5,0.013973839283885013,0.014341363723438458,0.015342970287642994
pico-decoder-large,16000,,Gram,ses-7,-0.010338858673707645,-0.006001421513309916,-0.013207570065567853
pico-decoder-large,16000,,Gram,ses-9,-0.028198188950905125,-0.02874334493712357,-0.028368512596723586
pico-decoder-large,20000,,Gram,ses-5,0.0018126180105207264,0.009377892434613589,0.004185772790578473
pico-decoder-large,20000,,Gram,ses-7,-0.0032350986380778935,0.0013253669135092137,-0.0028514825341196823
pico-decoder-large,20000,,Gram,ses-9,-0.036508566298325495,-0.03464492823322717,-0.03464781287398182
pico-decoder-large,24000,,Gram,ses-5,0.009913766932312398,0.009190524954898952,0.006228498788859343
pico-decoder-large,24000,,Gram,ses-7,-0.0020451702606457405,-0.0019446146702885104,-0.003585137783334601
pico-decoder-large,24000,,Gram,ses-9,-0.03039044451172508,-0.02635513938703689,-0.033440204440311504
pico-decoder-large,30000,,Gram,ses-5,0.011251160395704545,0.010870909345289826,0.015998722924309868
pico-decoder-large,30000,,Gram,ses-7,-0.001619284323333799,0.00012150007313581404,0.0072400879845726475
pico-decoder-large,30000,,Gram,ses-9,-0.04937072065072389,-0.04456001846473046,-0.04036119770608737
pico-decoder-large,37000,,Gram,ses-5,0.01388406701301796,0.01161195040012786,0.009248206949884038
pico-decoder-large,37000,,Gram,ses-7,-0.009210375524773204,-0.010399546494655373,-0.012962665580313414
pico-decoder-large,37000,,Gram,ses-9,-0.04160411215169471,-0.039262365980723954,-0.045328986217947134
pico-decoder-large,45000,,Gram,ses-5,-0.008488271822706301,-0.010137254096074909,-0.008886700654320595
pico-decoder-large,45000,,Gram,ses-7,-0.016341196650153038,-0.01836817073541585,-0.01680700012937062
pico-decoder-large,45000,,Gram,ses-9,-0.04616032323687249,-0.04772116058359572,-0.04572512335071734
pico-decoder-large,55000,,Gram,ses-5,-0.010731373234367363,-0.008800866902713452,-0.041958944604732026
pico-decoder-large,55000,,Gram,ses-7,-0.006450109745919469,0.0007559024729794721,-0.049382689854035176
pico-decoder-large,55000,,Gram,ses-9,-0.05004548421689532,-0.04519818626210832,-0.026491316936480578
pico-decoder-large,68000,,Gram,ses-5,-0.009238098805124129,-0.0057472290474711194,-0.01142385580916524
