acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,family,step,tokens,phenomenon
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,0,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,1,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,2,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,4,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,6,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,8,,Gram
0.65,0.65,0.6,0.0,0.050000000000000044,-0.050000000000000044,beetle-fineweb3-eng,16,,Gram
0.65,0.6,0.625,0.050000000000000044,0.025000000000000022,0.025000000000000022,beetle-fineweb3-eng,32,,Gram
0.65,0.65,0.6375,0.0,0.012500000000000067,-0.012500000000000067,beetle-fineweb3-eng,64,,Gram
0.55,0.55,0.5875,0.0,-0.03749999999999998,0.03749999999999998,beetle-fineweb3-eng,128,,Gram
0.65,0.65,0.6000000000000001,0.0,0.04999999999999993,-0.04999999999999993,beetle-fineweb3-eng,256,,Gram
0.65,0.65,0.625,0.0,0.025000000000000022,-0.025000000000000022,beetle-fineweb3-eng,512,,Gram
0.75,0.8,0.7625,-0.050000000000000044,-0.012499999999999956,-0.03750000000000009,beetle-fineweb3-eng,1024,,Gram
0.75,0.75,0.7625,0.0,-0.012499999999999956,0.012499999999999956,beetle-fineweb3-eng,2048,,Gram
0.65,0.65,0.6375,0.0,0.012500000000000067,-0.012500000000000067,beetle-fineweb3-eng,4096,,Gram
0.8,0.8,0.7875000000000001,0.0,0.012499999999999956,-0.012499999999999956,beetle-fineweb3-eng,8192,,Gram
