dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Gram,ses-7,60,-0.03183097524320912,-0.015544400757919156,-0.020763749828336734,-0.07909324162435977,0.011470071576482686
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Gram,ses-7,60,-0.037575061049347803,-0.0249549309330485,-0.024900275619345092,-0.08366840709330536,0.008355126922354069
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Gram,ses-7,60,-0.03322483019342009,-0.04429151223774915,-0.022373392353559257,-0.08276850834411664,0.012477751423993391
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-7,60,-0.019347847105016035,-0.008183394270079632,-0.01248175578784656,-0.06362392080853921,0.027733892982875326
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-7,60,-0.020927007222384126,-0.0050792268297886155,-0.013460316243656444,-0.0679492721186564,0.0241230672213424
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-7,60,-0.02015101938318991,-0.009990188758822812,-0.012783244387808874,-0.06501833600108592,0.022801667870050075
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-7,60,-0.029996415135965397,-0.02910712210670193,-0.020588733141070476,-0.0775247468693389,0.015021131406753745
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-7,60,-0.028887040297506227,-0.023376373644306062,-0.019255029334457528,-0.07826070003481891,0.015474979147705846
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-7,60,-0.03184913138419298,-0.02545882211624862,-0.021436989201981393,-0.07698793393587694,0.01596271601739385
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.08389716610616697,0.008214372151689195
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.08461373018592552,0.005089165303217016
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.0867194385278916,0.007643809414873286
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.08345679792861173,0.007142092875777753
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.08558551784348503,0.014323184309480794
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Gram,ses-9,60,-0.038233745935243896,-0.035628287628557416,-0.025710206858226906,-0.08185901905184577,0.00913935986849574
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Gram,ses-9,60,-0.03819915405042542,-0.0356310181476773,-0.025668049553994883,-0.08621100188480914,0.0049778380201003685
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Gram,ses-9,60,-0.03812180326337807,-0.0356449289682402,-0.025610562320951224,-0.08242586322296892,0.008867461717492552
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Gram,ses-9,60,-0.037978627268172555,-0.035689618317413324,-0.02545343055063188,-0.08677736147419936,0.006635967525330388
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Gram,ses-9,60,-0.019065989787408737,-0.008352790480214286,-0.012513693139537483,-0.07004586035245727,0.028139585134954605
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-500,500,,Gram,ses-9,60,-0.026303973261003224,-0.020585367366917566,-0.017250641142335196,-0.07374860893817632,0.020211920329789763
ds003604,beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1000,1000,,Gram,ses-9,60,-0.06663928385904297,-0.04513828886861179,-0.044734648513475965,-0.11576083130438702,-0.01973727012916883
