acc_none,acc_localized_ablated,acc_random_ablated,drop_localized,drop_random,causal_selectivity,family,step,tokens,phenomenon
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,0,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,1,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,2,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,4,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,6,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,8,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,16,,Gram
0.45,0.4,0.42500000000000004,0.04999999999999999,0.024999999999999967,0.025000000000000022,beetle-humanscale-eng,32,,Gram
0.45,0.4,0.4,0.04999999999999999,0.04999999999999999,0.0,beetle-humanscale-eng,64,,Gram
0.5,0.45,0.4875,0.04999999999999999,0.012500000000000011,0.03749999999999998,beetle-humanscale-eng,256,,Gram
0.55,0.55,0.6000000000000001,0.0,-0.050000000000000044,0.050000000000000044,beetle-humanscale-eng,500,,Gram
0.7,0.65,0.675,0.04999999999999993,0.02499999999999991,0.025000000000000022,beetle-humanscale-eng,1000,,Gram
0.65,0.65,0.6625,0.0,-0.012499999999999956,0.012499999999999956,beetle-humanscale-eng,2000,,Gram
0.7,0.75,0.7124999999999999,-0.050000000000000044,-0.012499999999999956,-0.03750000000000009,beetle-humanscale-eng,2500,,Gram
0.75,0.75,0.75,0.0,0.0,0.0,beetle-humanscale-eng,4000,,Gram
0.8,0.8,0.8125,0.0,-0.012499999999999956,0.012499999999999956,beetle-humanscale-eng,5500,,Gram
0.7,0.7,0.7,0.0,0.0,0.0,beetle-humanscale-eng,7500,,Gram
0.75,0.75,0.75,0.0,0.0,0.0,beetle-humanscale-eng,9500,,Gram
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,0,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,1,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,2,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,4,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,6,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,8,,Phon
0.375,0.3333333333333333,0.4270833333333333,0.041666666666666685,-0.052083333333333315,0.09375,beetle-humanscale-eng,16,,Phon
