dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-7,60,-0.020152250711464023,-0.009244032725067557,-0.013009360837780608,-0.06651804153502443,0.02423706506629952
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-7,60,-0.02624370526024034,-0.0390582709315328,-0.018257306467633093,-0.07083623462703686,0.020948501229967068
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-7,60,-4.6276519293136855e-05,-0.022556973940122946,-0.0002216452207350062,-0.047082228946926236,0.04839517664663077
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-7,60,-0.0062151597598933675,-0.024201995370215355,-0.004060514893983961,-0.05237967619628187,0.04125775733765121
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-7,60,-0.0008545710365264607,-0.01741588338516544,-0.001059681329104828,-0.04720063069984516,0.04688851532964084
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-7,60,-0.012368468537244388,-0.01620143736644092,-0.008124223523137014,-0.058693715079827714,0.03294995445336589
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-7,60,-0.009727228272859599,-0.0054036253425918754,-0.00592948871493678,-0.057756243489346056,0.032304361675686205
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-7,60,-0.006245166083002098,-0.012017294051087141,-0.00401963508381958,-0.05341183921672207,0.04412595994817778
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-7,60,-0.007658419322578908,-0.02052236327628358,-0.004866613650662859,-0.053044024288275905,0.041198714417456164
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-7,60,-0.010338858673707645,-0.005524242385878703,-0.006789242222456429,-0.055468993700951444,0.03795931113097819
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-7,60,-0.0032350986380778935,0.00522857590758845,-0.0016371086476767171,-0.04849493627898285,0.042310078594576986
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-7,60,-0.0020451702606457405,0.0007674663649709854,-0.0008220674325243603,-0.05085521207722204,0.04468223592161972
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-7,60,-0.001619284323333799,-0.007461174431090072,-0.0011657133367186925,-0.046338073492679266,0.046076902683680025
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-7,60,-0.009210375524773204,-0.010100560392249963,-0.006144107718299783,-0.056580577522087915,0.037702319797754534
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-7,60,-0.016341196650153038,-0.01412969808852631,-0.010626834401637749,-0.06293588534616576,0.027186207771977427
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-7,60,-0.006450109745919469,-0.0037363209438130845,-0.003631276887257955,-0.052786226549012785,0.0391691017008346
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,Gram,ses-7,60,-0.01203009130423584,0.016674678120098985,-0.0072350876520617165,-0.05857410575196019,0.03208269973626845
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,Gram,ses-7,60,-0.013819025180668616,-0.002627411749878973,-0.008764248051023113,-0.059500524679013386,0.03141988106729114
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,Gram,ses-7,60,-0.01052435643878461,-0.007521585778623153,-0.006326789369971863,-0.05705745883347719,0.03426105314721907
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,Gram,ses-7,60,-0.01363731228931999,-0.0011277085764051543,-0.008182988250248314,-0.05697189994280659,0.03416297647444064
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Gram,ses-9,60,-0.02028807119734843,-0.03449070817040381,-0.013397719034342235,-0.06429364925293861,0.024638189102131808
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Gram,ses-9,60,-0.022394908498702952,-0.013203471240805727,-0.01486172723585415,-0.06735091464178598,0.02159261536090006
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Gram,ses-9,60,-0.05495354789740662,-0.0458496805409286,-0.036438602038241785,-0.10074103407927826,-0.011709292144665654
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Gram,ses-9,60,-0.024844792991617053,-0.026631622918336317,-0.016734533539009878,-0.0730373523887571,0.02182829575475833
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Gram,ses-9,60,-0.04730849898210648,-0.030540403043562807,-0.031472982597337065,-0.0912620259058336,-0.0009710009116181328
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Gram,ses-9,60,-0.034130931993615,-0.024974653430432456,-0.02308623404330066,-0.0782736886987013,0.013426930394128208
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Gram,ses-9,60,-0.04714053411980081,-0.022333569396328936,-0.030840623033856786,-0.09349492186717359,0.0004992634871786532
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Gram,ses-9,60,-0.03923945548434777,-0.010184791093156575,-0.025551797593839926,-0.08696512478375318,0.004901840891225973
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Gram,ses-9,60,-0.03629716303101756,-0.01188493015221374,-0.0240839569101251,-0.08883415006438006,0.014966527768343766
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Gram,ses-9,60,-0.0448674436972036,-0.021414127955524085,-0.029724093218742118,-0.09227848308056985,0.001205296116692824
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Gram,ses-9,60,-0.028198188950905125,-0.007362609040004391,-0.01855240759725722,-0.07466317188723176,0.020050124816354188
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Gram,ses-9,60,-0.036508566298325495,0.0015775440122648594,-0.024118449249951296,-0.08066255012923387,0.010446278386177319
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Gram,ses-9,60,-0.03039044451172508,-0.0024016096946986223,-0.01981329424201486,-0.07868516837235859,0.017658714107640073
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Gram,ses-9,60,-0.04937072065072389,-0.012699651842448926,-0.03237489340908874,-0.0928975033261883,-0.004384090329571542
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Gram,ses-9,60,-0.04160411215169471,-0.01385058885337186,-0.027414383944454557,-0.08556405611448833,0.0017937495560127912
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Gram,ses-9,60,-0.04616032323687249,-0.01773238378009936,-0.03022359339918815,-0.0912926268926688,-0.0008112246346552402
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Gram,ses-9,60,-0.05004548421689532,-0.007280592893537004,-0.03309029008696541,-0.10067972456770984,-0.004894062805418891
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,Gram,ses-9,60,-0.028052509182741516,0.013366533810655007,-0.018351841028638224,-0.07660025228655178,0.015930814348289864
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,Gram,ses-9,60,-0.04746702654633935,-0.006659699778457049,-0.030982424875364484,-0.093543133806224,-0.0013077608568355062
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1ca25b1c86203affda1776487d77204c79b5c4f7,102000,,Gram,ses-9,60,-0.04027871602389428,-0.012329797425520532,-0.02686633898943832,-0.08650127720359763,0.0037487001800130984
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,,Gram,ses-9,60,-0.0277893208792305,-0.00504823526219126,-0.01852302523370157,-0.07167061051705301,0.01975477922435143
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,Phon,ses-5,72,0.020035123874538718,0.013578765078119608,0.01330111567425864,-0.02114281130497431,0.05842576756548928
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,Phon,ses-5,72,0.04151805686282852,0.045672120426818535,0.02764838651390841,-0.00022901100301981142,0.08195806865659948
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,Phon,ses-5,72,0.017873963844209972,0.029427188238516234,0.012106122273978727,-0.021848745044002117,0.056525811014842976
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,Phon,ses-5,72,0.02608177552788673,0.05107367676188831,0.01778463781164919,-0.015129031089157521,0.06643174488584508
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,Phon,ses-5,72,-0.037448329983256784,0.012935224161847067,-0.024846797681063546,-0.07630263916030876,-0.002855745179480949
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,Phon,ses-5,72,-0.0389338572584075,-0.006748941642409911,-0.025828027525885908,-0.07599597487869954,-0.0003631533341310493
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,Phon,ses-5,72,-0.013995015966836387,0.014524029392180086,-0.009234095593346993,-0.053837442161073806,0.02547555052526511
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,Phon,ses-5,72,0.009027436306443494,0.03821729677286323,0.0063265437373097025,-0.030455475206590015,0.04702456344095436
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,Phon,ses-5,72,0.04974325266147504,0.04424292465251882,0.0332472766584285,0.01284763270358767,0.09123573272151611
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,Phon,ses-5,72,-0.047640304372418944,0.00227696543453706,-0.0321380336815413,-0.08778199102768078,-0.009370999722725091
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@609cb555fe8ab89fe8deccc19ae52176c053de3c,16000,,Phon,ses-5,72,-0.02415264539271674,0.002592126135226953,-0.016523494084752042,-0.06415461475109839,0.014152091700493237
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@2e9b09372c42b65faa9486c0d7b8191ff5b5c4de,20000,,Phon,ses-5,72,-0.032852168611571565,-0.0026358725045619574,-0.021699144639526654,-0.0750541213159609,0.0072207580454237055
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@020ad4d5ea0fe4c387769324ee38ad1d15bb3f85,24000,,Phon,ses-5,72,-0.03183782910972315,0.01634284694164184,-0.02111297924533502,-0.07226755974899259,0.003155700294702313
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@dab022094801d1fd4c0c4deb04d7c0815ea0d9b4,30000,,Phon,ses-5,72,-0.03478800561892596,0.01668633251421965,-0.023628529165862756,-0.07362884414062389,0.006624818364933387
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@22fe7c47349efbd4d073c95fe64e3b50251cb0fb,37000,,Phon,ses-5,72,-0.045885716759201264,-0.003551207938165533,-0.03078195198588793,-0.085149726852293,-0.00601506888638992
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@5a81c54569b9cadfac8813c3db918fae371226c7,45000,,Phon,ses-5,72,-0.04111565459243192,0.000148250362432132,-0.027173084167103075,-0.08281043785517825,-0.0015235541881784278
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@ea63999d87b948bca4d4e9938706f51ccc88c365,55000,,Phon,ses-5,72,-0.016222484419987297,0.02259080210427507,-0.010672252694247677,-0.05865721906997185,0.020097713232193566
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@6dc96c3465c47b8b192056175e156d703a132e5e,68000,,Phon,ses-5,72,-0.032926729656290836,0.015566709880468738,-0.021546018883468233,-0.07383279865309667,0.009291274450086167
ds003604,pico-decoder-large,pico-lm/pico-decoder-large@46310457a1f616890732dc9d54ca3b6f35263f47,83000,,Phon,ses-5,72,-0.027780307257171656,0.010349672343953176,-0.01815826465643174,-0.06862661645353832,0.007767383164533707
