task,params,mean,ci_lo,ci_hi,n
Gram,95592496.0,0.013639898819709067,0.008417269995885003,0.018862527643533133,11
Gram,134601216.0,0.025229351647192977,0.022862321798558485,0.02759638149582747,36
Gram,212654688.0,0.01416960913474999,0.008584872126861348,0.019754346142638633,11
Gram,505997504.0,0.01481196700250132,0.008581449365697255,0.021042484639305387,11
Gram,1078891008.0,0.014737055133341344,0.010743911641375314,0.018730198625307372,11
Gram,1515311488.0,0.01269978246942035,0.008370155229712677,0.017029409709128022,11
Phon,95592496.0,0.0012873916483349247,-0.007938385275811297,0.010513168572481146,11
Phon,134601216.0,0.004986664747334765,0.002342366933652608,0.007630962561016922,36
Phon,212654688.0,-0.00022360904873086572,-0.006894355309423739,0.006447137211962008,11
Phon,505997504.0,0.0028505880567269728,-0.0010965232514708614,0.0067976993649248064,11
Phon,1078891008.0,0.0014501970029335961,-0.0074797042364997506,0.010380098242366943,11
Phon,1515311488.0,-0.0008340289376883235,-0.00953456737650704,0.007866509501130393,11
Plaus,95592496.0,0.0012200706732296222,-0.006158839312987324,0.008598980659446568,11
Plaus,134601216.0,0.001639955858873064,-0.0001347279872956585,0.003414639705041787,36
Plaus,212654688.0,-0.009211720431391561,-0.011173543329696568,-0.007249897533086554,11
Plaus,505997504.0,-0.005158856238944009,-0.015675534445361853,0.005357821967473833,11
Plaus,1078891008.0,0.00023471748486000464,-0.004583058178607023,0.005052493148327032,11
Plaus,1515311488.0,-0.002868445512300766,-0.009207108605587842,0.0034702175809863097,11
Sem,95592496.0,-0.003969269943983713,-0.009609482189737074,0.0016709423017696474,11
Sem,134601216.0,0.00313419108838941,0.0015434960095752608,0.004724886167203559,36
Sem,212654688.0,0.0011649103291009278,-0.004481003297571128,0.006810823955772984,11
Sem,505997504.0,0.0024567870500898257,-0.0037661557139700387,0.00867972981414969,11
Sem,1078891008.0,0.0029182060490844735,-0.0020341680783928016,0.007870580176561748,11
Sem,1515311488.0,-0.011402917394960355,-0.01681914432070142,-0.005986690469219289,11
