mask,task,token_bin,mean,ci_lo,ci_hi,n,tokens
auditory,Gram,0.0,0.01715863003657955,0.011239044052187635,0.023078216020971466,14,2902570.9709944464
auditory,Gram,1.0,0.013239335299137239,0.008436816084854177,0.018041854513420302,23,6113480.780310711
auditory,Gram,2.0,0.0067021566645191774,0.0012948014787399174,0.012109511850298437,18,12876393.93651883
auditory,Gram,3.0,0.012358414312688608,0.007918518341834106,0.01679831028354311,32,27120641.540643267
auditory,Gram,4.0,0.003829184915302052,-0.009914424141435747,0.01757279397203985,9,57122296.91031942
auditory,Gram,5.0,0.019032115235666676,0.005439236965806572,0.03262499350552678,9,120312670.31131203
auditory,Gram,6.0,0.02191870120525961,0.01636923452289648,0.02746816788762274,9,253406102.70213875
auditory,Gram,7.0,0.01302427358086842,0.007998155403493018,0.01805039175824382,23,533731424.30078125
auditory,Gram,8.0,0.01995506298200738,0.00990587862500499,0.03000424733900977,9,1124160903.1846583
auditory,Gram,9.0,0.015451353144023874,0.00599772194297544,0.02490498434507231,9,2367740924.950251
auditory,Gram,11.0,0.010974360808704117,0.004920929173743657,0.017027792443664577,14,10503779302.537245
auditory,Gram,12.0,0.009775293922749005,0.006335890166597695,0.013214697678900315,14,22123370463.07825
auditory,Gram,13.0,0.009399843355735616,0.004832754888169844,0.013966931823301387,15,46596896845.34551
auditory,Gram,14.0,0.006468137584468814,0.003131889465587362,0.009804385703350266,15,98143761559.27098
auditory,Gram,15.0,0.008002738766464963,0.00550225352754267,0.010503224005387257,30,206713291766.44907
auditory,Phon,0.0,-0.006604001071275628,-0.01725735394688411,0.004049351804332852,14,2902570.9709944464
auditory,Phon,1.0,-0.00519901352869316,-0.01178445839685961,0.0013864313394732902,23,6113480.780310711
auditory,Phon,2.0,-0.002187661625298457,-0.00841541922970162,0.004040095979104706,18,12876393.93651883
auditory,Phon,3.0,-0.009193113546276513,-0.013125275261323002,-0.005260951831230024,32,27120641.540643267
auditory,Phon,4.0,-0.008564962508509001,-0.01623309469256935,-0.0008968303244486532,9,57122296.91031942
auditory,Phon,5.0,-0.008975608378140508,-0.015946588827390064,-0.002004627928890952,9,120312670.31131203
auditory,Phon,6.0,-0.017595286199934192,-0.026894387313146556,-0.00829618508672183,9,253406102.70213875
auditory,Phon,7.0,-0.017689424934630382,-0.02281334875945335,-0.012565501109807413,23,533731424.30078125
