mask,task,token_bin,mean,ci_lo,ci_hi,n,tokens
auditory,Phon,8.0,-0.010025266066474308,-0.015844460106700403,-0.004206072026248215,9,1124160903.1846583
auditory,Phon,9.0,-0.008356009336164798,-0.013194718061826968,-0.0035173006105026277,9,2367740924.950251
auditory,Phon,11.0,-0.009140503991719447,-0.01168188159273787,-0.006599126390701024,14,10503779302.537245
auditory,Phon,12.0,-0.004417528264420241,-0.00807222058720839,-0.0007628359416320934,14,22123370463.07825
auditory,Phon,13.0,-0.005176650792733731,-0.010083422940744765,-0.0002698786447226957,15,46596896845.34551
auditory,Phon,14.0,-0.004824418468591194,-0.010088849426822782,0.0004400124896403934,15,98143761559.27098
auditory,Phon,15.0,-0.005113017509407391,-0.008476797071958966,-0.0017492379468558171,30,206713291766.44907
auditory,Plaus,0.0,0.01657460688330675,0.009102885116035108,0.02404632865057839,14,2902570.9709944464
auditory,Plaus,1.0,0.017602984656939064,0.012698307294951184,0.022507662018926945,23,6113480.780310711
auditory,Plaus,2.0,0.016986227802242373,0.012266880071868633,0.021705575532616112,18,12876393.93651883
auditory,Plaus,3.0,0.007521789086872751,0.0018507034463639722,0.01319287472738153,32,27120641.540643267
auditory,Plaus,4.0,-0.009894659984369199,-0.0192557192690893,-0.0005336006996490977,9,57122296.91031942
auditory,Plaus,5.0,-0.009966969322495745,-0.014504051804462008,-0.00542988684052948,9,120312670.31131203
auditory,Plaus,6.0,-0.005506622068610575,-0.009871499538684894,-0.0011417445985362545,9,253406102.70213875
auditory,Plaus,7.0,-0.0003883653942855404,-0.004226781255141931,0.0034500504665708497,23,533731424.30078125
auditory,Plaus,8.0,-0.0056158197191875665,-0.01045819057575758,-0.0007734488626175533,9,1124160903.1846583
auditory,Plaus,9.0,-0.006784262087480137,-0.010104206151112979,-0.0034643180238472953,9,2367740924.950251
auditory,Plaus,11.0,-0.0070795111949602885,-0.010238260769681443,-0.0039207616202391335,14,10503779302.537245
auditory,Plaus,12.0,-0.011594401833962284,-0.016311237186099788,-0.00687756648182478,14,22123370463.07825
auditory,Plaus,13.0,-0.00731585975721338,-0.011448126472256024,-0.003183593042170736,15,46596896845.34551
auditory,Plaus,14.0,-0.008328109508488996,-0.01131832315755148,-0.005337895859426511,15,98143761559.27098
auditory,Plaus,15.0,-0.00884289614495778,-0.011315733867255052,-0.006370058422660507,30,206713291766.44907
auditory,Sem,0.0,0.003004255694384595,-0.004710761369017698,0.010719272757786887,14,2902570.9709944464
auditory,Sem,1.0,0.0016087878145023772,-0.002989936289430015,0.00620751191843477,23,6113480.780310711
auditory,Sem,2.0,-0.003726079054263674,-0.0090174278686388,0.001565269760111451,18,12876393.93651883
auditory,Sem,3.0,-0.005348895722202087,-0.009863954810555409,-0.0008338366338487653,32,27120641.540643267
auditory,Sem,4.0,-0.008075986090907195,-0.01756547688464659,0.0014135047028321999,9,57122296.91031942
auditory,Sem,5.0,-0.002772185014739496,-0.010528176417540247,0.004983806388061255,9,120312670.31131203
auditory,Sem,6.0,0.004511144392251933,-0.0028920928911609087,0.011914381675664776,9,253406102.70213875
auditory,Sem,7.0,0.0018390399709520746,-0.0023556473349330394,0.006033727276837189,23,533731424.30078125
auditory,Sem,8.0,-0.0025213970314818665,-0.011577031881191382,0.00653423781822765,9,1124160903.1846583
auditory,Sem,9.0,0.00043172256899167056,-0.004004155320569875,0.004867600458553216,9,2367740924.950251
auditory,Sem,11.0,-0.003723423798464426,-0.008167614746891368,0.0007207671499625166,14,10503779302.537245
auditory,Sem,12.0,-0.0004196541423395545,-0.007005654115859476,0.006166345831180367,14,22123370463.07825
auditory,Sem,13.0,-0.005761331424021407,-0.009881462567787748,-0.0016412002802550655,15,46596896845.34551
auditory,Sem,14.0,-0.006436003129935941,-0.010228840483902834,-0.0026431657759690484,15,98143761559.27098
auditory,Sem,15.0,-0.004833650536401089,-0.006927661443242698,-0.00273963962955948,30,206713291766.44907
motor,Gram,0.0,0.011578881059057786,0.006262307300760071,0.0168954548173555,14,2902570.9709944464
motor,Gram,1.0,0.008444125406298589,0.0039270048045462755,0.012961246008050903,23,6113480.780310711
motor,Gram,2.0,0.002803742495052717,-0.0024057549671164546,0.008013239957221889,18,12876393.93651883
motor,Gram,3.0,0.009870577344707027,0.005782590439225351,0.013958564250188703,32,27120641.540643267
motor,Gram,4.0,0.00252396925044209,-0.00954296245883748,0.01459090095972166,9,57122296.91031942
motor,Gram,5.0,0.01697705215040737,0.006043617515503776,0.027910486785310964,9,120312670.31131203
motor,Gram,6.0,0.01629941251941862,0.011873342731849292,0.020725482306987945,9,253406102.70213875
motor,Gram,7.0,0.008355955420910673,0.0033251056464035107,0.013386805195417835,23,533731424.30078125
motor,Gram,8.0,0.015616199410798321,0.00695874858486395,0.024273650236732693,9,1124160903.1846583
motor,Gram,9.0,0.011819661926783945,0.0037149797022123475,0.019924344151355543,9,2367740924.950251
motor,Gram,11.0,0.006317305442386644,0.0015244799135058235,0.011110130971267465,14,10503779302.537245
motor,Gram,12.0,0.005268424126652696,0.0020258584492774366,0.008510989804027955,14,22123370463.07825
motor,Gram,13.0,0.004172047459717327,-0.00039653497092433966,0.008740629890358993,15,46596896845.34551
motor,Gram,14.0,0.0026304952961657977,-0.0011651613695813803,0.006426151961912976,15,98143761559.27098
motor,Gram,15.0,0.004262732707240656,0.0018601262451635801,0.006665339169317731,30,206713291766.44907
motor,Phon,0.0,-0.006229439696556186,-0.01733522443331685,0.004876345040204478,14,2902570.9709944464
motor,Phon,1.0,-0.004000584764534736,-0.010954585699717741,0.00295341617064827,23,6113480.780310711
motor,Phon,2.0,-0.0010380679988909675,-0.007747008475494405,0.00567087247771247,18,12876393.93651883
motor,Phon,3.0,-0.0076288856808893095,-0.012169854385968036,-0.003087916975810584,32,27120641.540643267
motor,Phon,4.0,-0.008681381093798114,-0.017116583008490012,-0.0002461791791062134,9,57122296.91031942
motor,Phon,5.0,-0.009897703961057411,-0.016364443368602103,-0.00343096455351272,9,120312670.31131203
motor,Phon,6.0,-0.017645396043014863,-0.02724370730366791,-0.008047084782361817,9,253406102.70213875
motor,Phon,7.0,-0.019325761887681696,-0.024378224468466617,-0.014273299306896773,23,533731424.30078125
motor,Phon,8.0,-0.011384245127930424,-0.016711146493856927,-0.006057343762003922,9,1124160903.1846583
motor,Phon,9.0,-0.011029671963242008,-0.015967355195928973,-0.006091988730555044,9,2367740924.950251
motor,Phon,11.0,-0.008553094787612554,-0.01154853537913839,-0.0055576541960867185,14,10503779302.537245
motor,Phon,12.0,-0.006279672969123421,-0.010010519937880377,-0.0025488260003664652,14,22123370463.07825
motor,Phon,13.0,-0.007488345573953931,-0.012568973060397195,-0.002407718087510666,15,46596896845.34551
motor,Phon,14.0,-0.007174369976313151,-0.011515947640032479,-0.002832792312593823,15,98143761559.27098
motor,Phon,15.0,-0.006799776836347586,-0.010002669084334958,-0.0035968845883602154,30,206713291766.44907
motor,Plaus,0.0,0.014548794568481826,0.00823534647573573,0.020862242661227923,14,2902570.9709944464
motor,Plaus,1.0,0.01511253344701054,0.010962207117825026,0.019262859776196056,23,6113480.780310711
motor,Plaus,2.0,0.014860280346986804,0.011039243818219769,0.01868131687575384,18,12876393.93651883
motor,Plaus,3.0,0.007332431834407006,0.0023778746000725267,0.012286989068741485,32,27120641.540643267
motor,Plaus,4.0,-0.00981541599904269,-0.01857515364370676,-0.001055678354378621,9,57122296.91031942
motor,Plaus,5.0,-0.005863272059320996,-0.010095727919416719,-0.0016308161992252736,9,120312670.31131203
motor,Plaus,6.0,-0.002027816570920107,-0.006537919849011194,0.00248228670717098,9,253406102.70213875
motor,Plaus,7.0,-0.0006626968721202118,-0.0037440966645038392,0.0024187029202634154,23,533731424.30078125
motor,Plaus,8.0,-0.0006727168425841293,-0.00573635014132889,0.004390916456160631,9,1124160903.1846583
motor,Plaus,9.0,-0.0024704044267199418,-0.006267311852780889,0.0013265029993410051,9,2367740924.950251
motor,Plaus,11.0,-0.004991346153734405,-0.008387758804933095,-0.001594933502535716,14,10503779302.537245
motor,Plaus,12.0,-0.009776276079396459,-0.013952881636665184,-0.005599670522127733,14,22123370463.07825
motor,Plaus,13.0,-0.00558511901766084,-0.009881689966935937,-0.0012885480683857429,15,46596896845.34551
motor,Plaus,14.0,-0.007231453634681542,-0.00979699116581267,-0.004665916103550413,15,98143761559.27098
motor,Plaus,15.0,-0.006581023505248215,-0.009122806450055403,-0.0040392405604410256,30,206713291766.44907
motor,Sem,0.0,0.0019493405448924004,-0.0060361447440827115,0.009934825833867513,14,2902570.9709944464
motor,Sem,1.0,0.0005963165244679147,-0.004184373993506095,0.005377007042441925,23,6113480.780310711
motor,Sem,2.0,-0.004780970884755764,-0.009736525405921154,0.00017458363640962624,18,12876393.93651883
motor,Sem,3.0,-0.00587117041272209,-0.010355548978180213,-0.0013867918472639683,32,27120641.540643267
motor,Sem,4.0,-0.008761582287166909,-0.01671897997930666,-0.0008041845950271607,9,57122296.91031942
motor,Sem,5.0,-0.0016722020040531185,-0.009703335382878677,0.0063589313747724405,9,120312670.31131203
motor,Sem,6.0,0.003991172202284645,-0.0038072272719703254,0.011789571676539615,9,253406102.70213875
motor,Sem,7.0,0.0022687755858681984,-0.002083595157351138,0.006621146329087535,23,533731424.30078125
motor,Sem,8.0,-0.0020113341466230484,-0.01025213148247609,0.006229463189229992,9,1124160903.1846583
motor,Sem,9.0,0.0006640942074620778,-0.003932881441136702,0.005261069856060857,9,2367740924.950251
motor,Sem,11.0,-0.0024309505196347526,-0.006568382172325084,0.0017064811330555793,14,10503779302.537245
motor,Sem,12.0,0.0009023072269448265,-0.005682555423633484,0.007487169877523137,14,22123370463.07825
motor,Sem,13.0,-0.004558410185744975,-0.008706872694294831,-0.0004099476771951176,15,46596896845.34551
motor,Sem,14.0,-0.005619379508494271,-0.009483242275991774,-0.0017555167409967674,15,98143761559.27098
motor,Sem,15.0,-0.0039752133352484635,-0.006160696042304677,-0.0017897306281922502,30,206713291766.44907
phonology,Gram,0.0,0.009006899635248746,0.003984352487104748,0.014029446783392744,14,2902570.9709944464
phonology,Gram,1.0,0.006596199694535448,0.002600489353345772,0.010591910035725124,22,6113480.780310711
phonology,Gram,2.0,-0.00046150136425920853,-0.005427387311720424,0.004504384583202008,18,12876393.93651883
phonology,Gram,3.0,0.00563806961992697,0.0017344325596572734,0.009541706680196667,30,27120641.540643267
phonology,Gram,4.0,-0.002730795451828636,-0.013805188038626145,0.008343597134968872,9,57122296.91031942
phonology,Gram,5.0,0.008701669326059813,-0.004191883698879899,0.021595222350999525,8,120312670.31131203
phonology,Gram,6.0,0.009146787103411711,0.003387996208390141,0.014905577998433282,8,253406102.70213875
phonology,Gram,7.0,0.0036890618457621547,-0.0004658929789001652,0.007844016670424475,23,533731424.30078125
phonology,Gram,8.0,0.008667516527229352,0.00017737414918593541,0.01715765890527277,9,1124160903.1846583
phonology,Gram,9.0,0.004664876586820589,-0.003084999214738809,0.012414752388379986,9,2367740924.950251
phonology,Gram,11.0,0.0008245236485321954,-0.0042702279628810584,0.00591927525994545,14,10503779302.537245
phonology,Gram,12.0,-0.00010337103394590975,-0.0032229782367820784,0.0030162361688902592,14,22123370463.07825
phonology,Gram,13.0,-0.0007885671763652125,-0.004985927803806871,0.003408793451076446,15,46596896845.34551
phonology,Gram,14.0,-0.002856156195552052,-0.006032625147622374,0.00032031275651827045,15,98143761559.27098
phonology,Gram,15.0,-0.0020838436584606173,-0.004294892211927538,0.0001272048950063027,30,206713291766.44907
phonology,Phon,0.0,-0.006438635229850228,-0.01779879571235641,0.004921525252655952,14,2902570.9709944464
phonology,Phon,1.0,-0.005485327593546515,-0.012749741762362987,0.0017790865752699567,22,6113480.780310711
phonology,Phon,2.0,-0.00161486398385238,-0.007955637828868885,0.004725909861164124,18,12876393.93651883
phonology,Phon,3.0,-0.008400360349318632,-0.012712133559960825,-0.0040885871386764396,30,27120641.540643267
phonology,Phon,4.0,-0.009026510645178966,-0.016853748211732633,-0.001199273078625298,9,57122296.91031942
phonology,Phon,5.0,-0.009062181959765854,-0.016780425370879638,-0.001343938548652072,8,120312670.31131203
phonology,Phon,6.0,-0.01751436267791362,-0.028538607627635937,-0.0064901177281913025,8,253406102.70213875
phonology,Phon,7.0,-0.018364043103768147,-0.02376023616669143,-0.012967850040844865,23,533731424.30078125
phonology,Phon,8.0,-0.01071459530271894,-0.01689729322609438,-0.0045318973793435,9,1124160903.1846583
phonology,Phon,9.0,-0.0091847625242967,-0.014482163296174761,-0.0038873617524186393,9,2367740924.950251
phonology,Phon,11.0,-0.008892407672395023,-0.011689635096328754,-0.006095180248461292,14,10503779302.537245
phonology,Phon,12.0,-0.00523749296512735,-0.008710969607206591,-0.0017640163230481089,14,22123370463.07825
phonology,Phon,13.0,-0.005165183005046481,-0.01049059842045895,0.00016023241036598832,15,46596896845.34551
phonology,Phon,14.0,-0.0048344243454622885,-0.010186985020325473,0.0005181363294008961,15,98143761559.27098
phonology,Phon,15.0,-0.004983839024665152,-0.00854657936056842,-0.0014210986887618856,30,206713291766.44907
phonology,Plaus,0.0,0.017209860104298213,0.009890006412437782,0.024529713796158644,14,2902570.9709944464
phonology,Plaus,1.0,0.018316148050298332,0.013333654629361619,0.023298641471235046,22,6113480.780310711
phonology,Plaus,2.0,0.018248213208915644,0.013552451705888417,0.02294397471194287,18,12876393.93651883
phonology,Plaus,3.0,0.007880800286603491,0.0021774497581723814,0.013584150815034602,30,27120641.540643267
phonology,Plaus,4.0,-0.009252352734321102,-0.01849295755147261,-1.1747917169593197e-05,9,57122296.91031942
phonology,Plaus,5.0,-0.005936858831403471,-0.010537882606319288,-0.0013358350564876536,8,120312670.31131203
phonology,Plaus,6.0,-0.0014042763370933288,-0.006224021873408394,0.003415469199221736,8,253406102.70213875
phonology,Plaus,7.0,0.001070969586961652,-0.002550941329610065,0.004692880503533369,23,533731424.30078125
phonology,Plaus,8.0,-0.0018137804908492778,-0.006436074883949551,0.0028085139022509947,9,1124160903.1846583
phonology,Plaus,9.0,-0.0033210237594847036,-0.00682094766199135,0.000178900143021942,9,2367740924.950251
phonology,Plaus,11.0,-0.004309594137519824,-0.007549737996059222,-0.0010694502789804251,14,10503779302.537245
phonology,Plaus,12.0,-0.009369213986771794,-0.014244654745721317,-0.004493773227822271,14,22123370463.07825
phonology,Plaus,13.0,-0.005373036007132661,-0.009582930351563778,-0.001163141662701545,15,46596896845.34551
phonology,Plaus,14.0,-0.0065534313886492,-0.009294609460197814,-0.0038122533171005856,15,98143761559.27098
phonology,Plaus,15.0,-0.006584308754485101,-0.009171496120887976,-0.003997121388082225,30,206713291766.44907
phonology,Sem,0.0,0.0020439592072226146,-0.006165451127006089,0.01025336954145132,14,2902570.9709944464
phonology,Sem,1.0,0.0007880779840884395,-0.0043392350042254,0.00591539097240228,22,6113480.780310711
phonology,Sem,2.0,-0.004525708392973669,-0.009452564501510394,0.000401147715563056,18,12876393.93651883
phonology,Sem,3.0,-0.0070969626968718546,-0.0110314500718631,-0.0031624753218806078,30,27120641.540643267
phonology,Sem,4.0,-0.007649171557381724,-0.01652202151078938,0.0012236783960259314,9,57122296.91031942
phonology,Sem,5.0,-0.0029949722304794327,-0.011907050118925943,0.005917105657967077,8,120312670.31131203
phonology,Sem,6.0,0.0060309488076786995,-0.001505505110565803,0.013567402725923203,8,253406102.70213875
phonology,Sem,7.0,0.002174089914909367,-0.001948360519305825,0.006296540349124559,23,533731424.30078125
phonology,Sem,8.0,-0.0018141876201551,-0.010523605297806694,0.006895230057496493,9,1124160903.1846583
phonology,Sem,9.0,0.0008437486131690703,-0.004037305850746142,0.005724803077084282,9,2367740924.950251
phonology,Sem,11.0,-0.004007280931823645,-0.008303799811170045,0.0002892379475227542,14,10503779302.537245
phonology,Sem,12.0,-0.0006640809016018281,-0.00734125941841871,0.0060130976152150545,14,22123370463.07825
phonology,Sem,13.0,-0.005973976233243374,-0.0100726171723889,-0.0018753352940978482,15,46596896845.34551
phonology,Sem,14.0,-0.006830187048582489,-0.010790003693175261,-0.0028703704039897172,15,98143761559.27098
phonology,Sem,15.0,-0.005422128654500386,-0.007548397371791018,-0.003295859937209754,30,206713291766.44907
whole-brain,Gram,0.0,0.016850328839088925,0.010224993661535607,0.023475664016642243,14,2902570.9709944464
whole-brain,Gram,1.0,0.0134425547073017,0.008262954480108834,0.018622154934494567,23,6113480.780310711
whole-brain,Gram,2.0,0.007071093568967162,0.0011019454230353958,0.01304024171489893,18,12876393.93651883
whole-brain,Gram,3.0,0.014403981355706228,0.009808964179050278,0.018998998532362178,32,27120641.540643267
whole-brain,Gram,4.0,0.0060801111083694116,-0.007935651883664418,0.02009587410040324,9,57122296.91031942
whole-brain,Gram,5.0,0.0223371697582633,0.008688136538331911,0.03598620297819469,9,120312670.31131203
whole-brain,Gram,6.0,0.02286164603374987,0.01765832296391783,0.02806496910358191,9,253406102.70213875
whole-brain,Gram,7.0,0.01364882563678285,0.008076582318859282,0.01922106895470642,23,533731424.30078125
whole-brain,Gram,8.0,0.022279712180330053,0.012699157621552909,0.0318602667391072,9,1124160903.1846583
whole-brain,Gram,9.0,0.017776903617256548,0.009032761482579076,0.026521045751934022,9,2367740924.950251
whole-brain,Gram,11.0,0.013500613880493778,0.008290792043890816,0.01871043571709674,14,10503779302.537245
whole-brain,Gram,12.0,0.012880322859219792,0.009818452516271569,0.015942193202168015,14,22123370463.07825
whole-brain,Gram,13.0,0.01192683328374025,0.007427841187291327,0.016425825380189173,15,46596896845.34551
whole-brain,Gram,14.0,0.009538215559678284,0.005638420167117349,0.013438010952239218,15,98143761559.27098
whole-brain,Gram,15.0,0.01145323896619545,0.008784300956676587,0.014122176975714312,30,206713291766.44907
whole-brain,Phon,0.0,-0.006748120750406618,-0.018105356610495373,0.004609115109682136,14,2902570.9709944464
whole-brain,Phon,1.0,-0.004835682121236656,-0.011904596564452623,0.002233232321979312,23,6113480.780310711
whole-brain,Phon,2.0,-0.0016362953882837655,-0.008112149726299136,0.004839558949731605,18,12876393.93651883
whole-brain,Phon,3.0,-0.008973346684174547,-0.013157850818064917,-0.0047888425502841765,32,27120641.540643267
whole-brain,Phon,4.0,-0.00855813331138221,-0.016332361232398396,-0.0007839053903660248,9,57122296.91031942
whole-brain,Phon,5.0,-0.009818761442373323,-0.01588438153023034,-0.003753141354516306,9,120312670.31131203
whole-brain,Phon,6.0,-0.017985457200405158,-0.027275267659157318,-0.008695646741652999,9,253406102.70213875
whole-brain,Phon,7.0,-0.018818587179327072,-0.024076563744608988,-0.013560610614045156,23,533731424.30078125
whole-brain,Phon,8.0,-0.01100296214173031,-0.016487009154635794,-0.005518915128824825,9,1124160903.1846583
whole-brain,Phon,9.0,-0.009518482001089758,-0.014645188570442419,-0.004391775431737099,9,2367740924.950251
whole-brain,Phon,11.0,-0.009032899933341885,-0.012027325731728992,-0.006038474134954779,14,10503779302.537245
whole-brain,Phon,12.0,-0.005048534019823433,-0.008209052671056656,-0.0018880153685902111,14,22123370463.07825
whole-brain,Phon,13.0,-0.005931253720123936,-0.011163424278886183,-0.0006990831613616902,15,46596896845.34551
whole-brain,Phon,14.0,-0.005587362360121507,-0.01089260680353795,-0.00028211791670506355,15,98143761559.27098
whole-brain,Phon,15.0,-0.005815770710381541,-0.009210031103755425,-0.0024215103170076575,30,206713291766.44907
whole-brain,Plaus,0.0,0.015248418053794994,0.008483300436043405,0.022013535671546583,14,2902570.9709944464
whole-brain,Plaus,1.0,0.014936358004599384,0.01064141267862537,0.019231303330573397,23,6113480.780310711
whole-brain,Plaus,2.0,0.012657979197660133,0.009467637358232271,0.015848321037087994,18,12876393.93651883
whole-brain,Plaus,3.0,0.005836466985345158,0.0008738880946221493,0.010799045876068166,32,27120641.540643267
whole-brain,Plaus,4.0,-0.011670469631014193,-0.021080598059157102,-0.002260341202871285,9,57122296.91031942
whole-brain,Plaus,5.0,-0.011709899466576792,-0.015586219269029587,-0.007833579664123997,9,120312670.31131203
whole-brain,Plaus,6.0,-0.005209360684415555,-0.00858830715933505,-0.0018304142094960596,9,253406102.70213875
whole-brain,Plaus,7.0,-0.0016231244580187784,-0.0046847362767912576,0.0014384873607537008,23,533731424.30078125
whole-brain,Plaus,8.0,-0.0033212891326485183,-0.007764066199423379,0.0011214879341263418,9,1124160903.1846583
whole-brain,Plaus,9.0,-0.003955771280694522,-0.007310922693914451,-0.0006006198674745919,9,2367740924.950251
whole-brain,Plaus,11.0,-0.007098249354698204,-0.010386533315311476,-0.0038099653940849316,14,10503779302.537245
whole-brain,Plaus,12.0,-0.010732640578143313,-0.015222968914943322,-0.006242312241343304,14,22123370463.07825
whole-brain,Plaus,13.0,-0.006302776184381618,-0.01035209341944823,-0.002253458949315006,15,46596896845.34551
whole-brain,Plaus,14.0,-0.0070706265330375525,-0.010012480997065339,-0.004128772069009766,15,98143761559.27098
whole-brain,Plaus,15.0,-0.007645173226317044,-0.009971327259611125,-0.005319019193022963,30,206713291766.44907
whole-brain,Sem,0.0,0.0010587417962705052,-0.0069448705849824545,0.009062354177523465,14,2902570.9709944464
whole-brain,Sem,1.0,0.0002444541739119358,-0.00453221786899824,0.005021126216822112,23,6113480.780310711
whole-brain,Sem,2.0,-0.004374069659477068,-0.009536441791869427,0.0007883024729152905,18,12876393.93651883
whole-brain,Sem,3.0,-0.006093579749587874,-0.010482868840928972,-0.0017042906582467763,32,27120641.540643267
whole-brain,Sem,4.0,-0.009076262935327489,-0.017699413007271528,-0.0004531128633834501,9,57122296.91031942
whole-brain,Sem,5.0,-0.0023492767350207703,-0.010560352699951321,0.00586179922990978,9,120312670.31131203
whole-brain,Sem,6.0,0.0039865062616130514,-0.003957335780709873,0.011930348303935976,9,253406102.70213875
whole-brain,Sem,7.0,0.0016355092912986235,-0.002485106734504202,0.005756125317101449,23,533731424.30078125
whole-brain,Sem,8.0,-0.0028035540964265627,-0.011105732257864345,0.005498624065011219,9,1124160903.1846583
whole-brain,Sem,9.0,0.0006552842299038037,-0.003810511532899545,0.005121079992707152,9,2367740924.950251
whole-brain,Sem,11.0,-0.0036057793478256883,-0.0076981318986422635,0.0004865732029908868,14,10503779302.537245
whole-brain,Sem,12.0,0.0005222655259875571,-0.005855332016412145,0.006899863068387259,14,22123370463.07825
whole-brain,Sem,13.0,-0.005076699066331977,-0.009121741045526582,-0.0010316570871373712,15,46596896845.34551
whole-brain,Sem,14.0,-0.005510696847313622,-0.009500751764540514,-0.0015206419300867295,15,98143761559.27098
whole-brain,Sem,15.0,-0.00402328276581901,-0.00603893830061515,-0.00200762723102287,30,206713291766.44907
