task,dataset,session,token_bin,mean,ci_lo,ci_hi,n,tokens
Phon,ds003604,ses-5,12.0,-0.006421799575253665,-0.00962560032419045,-0.003217998826316879,14,22123370463.07825
Phon,ds003604,ses-5,13.0,-0.005983671203547434,-0.01144221740388483,-0.0005251250032100403,15,46596896845.34551
Phon,ds003604,ses-5,14.0,-0.006203831331456286,-0.011949522010765904,-0.0004581406521466675,15,98143761559.27098
Phon,ds003604,ses-5,15.0,-0.006600182445655392,-0.010118102790182826,-0.003082262101127959,30,206713291766.44907
Phon,ds003604,ses-7,0.0,-0.005857510230119253,-0.01702314418331732,0.0053081237230788135,14,2902570.9709944464
Phon,ds003604,ses-7,1.0,-0.004153311874451135,-0.010998275643215639,0.0026916518943133705,23,6113480.780310711
Phon,ds003604,ses-7,2.0,-0.0009412458773584894,-0.007486229944973909,0.0056037381902569305,18,12876393.93651883
Phon,ds003604,ses-7,3.0,-0.008312809751112316,-0.012490166822532865,-0.004135452679691766,32,27120641.540643267
Phon,ds003604,ses-7,4.0,-0.010408323775729046,-0.016517161746872774,-0.004299485804585316,9,57122296.91031942
Phon,ds003604,ses-7,5.0,-0.011669743691905389,-0.017909405707797102,-0.005430081676013674,9,120312670.31131203
Phon,ds003604,ses-7,6.0,-0.017296695194180634,-0.02631360833780199,-0.008279782050559277,9,253406102.70213875
Phon,ds003604,ses-7,7.0,-0.018621545901050716,-0.023918230994462327,-0.013324860807639106,23,533731424.30078125
Phon,ds003604,ses-7,8.0,-0.010021731604904365,-0.016135886325701017,-0.0039075768841077135,9,1124160903.1846583
Phon,ds003604,ses-7,9.0,-0.009993199791169723,-0.015120538023916066,-0.00486586155842338,9,2367740924.950251
Phon,ds003604,ses-7,11.0,-0.007120175701428685,-0.010410440038239774,-0.003829911364617597,14,10503779302.537245
Phon,ds003604,ses-7,12.0,-0.004415169910480213,-0.008281661501683402,-0.0005486783192770244,14,22123370463.07825
Phon,ds003604,ses-7,13.0,-0.006388328740261273,-0.011796816746224716,-0.00097984073429783,15,46596896845.34551
Phon,ds003604,ses-7,14.0,-0.005314580421421288,-0.01040047179129972,-0.00022868905154285572,15,98143761559.27098
Phon,ds003604,ses-7,15.0,-0.0049386776619989945,-0.00850601055969521,-0.001371344764302779,30,206713291766.44907
Phon,ds003604,ses-9,0.0,-0.007063120988258421,-0.018496329879237505,0.004370087902720663,14,2902570.9709944464
