family,model_ref,accuracy,alignment,tokens,task
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-20,0.4583333333333333,-0.0089383306504107,10485760.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-30,0.4166666666666667,-0.0141604837666259,15728640.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-300,0.5833333333333334,-0.0071216993792686,157286400.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-4000,0.6666666666666666,-0.0057890278989294,2097152000.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-50,0.5,-0.01807402884259,26214400.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-640,0.6666666666666666,-0.0072875015764856,335544320.0,Sem
parc-mamba-seed2,jmichaelov/parc-mamba-seed2@checkpoint-70,0.6666666666666666,-0.0220256561803046,36700160.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-10,0.5,0.0012203723924248,5242880.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-100,0.5416666666666666,-0.0180376544989323,52428800.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1100,0.8333333333333334,0.0257569196855456,576716800.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-1850,0.7916666666666666,0.0168463080906524,969932800.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-20,0.5,0.0095354535488419,10485760.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-30,0.625,0.0145809075671458,15728640.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-300,0.625,0.0034452380071473,157286400.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-4000,0.7083333333333334,0.0076481020126014,2097152000.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-50,0.5,-0.0081598177480363,26214400.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-640,0.7916666666666666,0.0163721385271093,335544320.0,Sem
parc-pythia-seed0,jmichaelov/parc-pythia-seed0@checkpoint-70,0.5833333333333334,-0.006628325199002,36700160.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-10,0.5,0.0066992924295357,5242880.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-100,0.5416666666666666,-0.0276915053374841,52428800.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1100,0.7916666666666666,0.0062931315416369,576716800.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-1850,0.7916666666666666,-0.0066826154357734,969932800.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-20,0.5833333333333334,0.0005119753964745,10485760.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-30,0.625,-0.0169009820700303,15728640.0,Sem
parc-pythia-seed1,jmichaelov/parc-pythia-seed1@checkpoint-300,0.7083333333333334,0.0133751164356092,157286400.0,Sem
