family,step,layer,per,gini,hoyer,norm,condition_number
parc-pythia-seed0,10,0,0.36674859018842537,0.08671199471109237,0.013236407516131971,8.182444647904266,21.917234327160457
parc-pythia-seed0,10,1,0.301678972332701,0.1258118084885068,0.029716296301404967,13.42611615331255,26.81177572769196
parc-pythia-seed0,10,2,0.27006088711407417,0.16959975376686875,0.05131632253263053,18.77623253984854,31.166050308943746
parc-pythia-seed0,10,3,0.2539383539709602,0.20976001876260467,0.07570488219682477,24.64700234904437,33.753184192826716
parc-pythia-seed0,10,4,0.24207268601064014,0.2401475253121701,0.09485326586378286,30.433174253302035,36.8234132001315
parc-pythia-seed0,10,5,0.23329334880405284,0.2653650749601956,0.10991078849807061,36.13102314740872,37.39632660119678
parc-pythia-seed0,10,6,0.22747044064212088,0.2804371880242926,0.11866182910522441,41.551421696396,39.28912276238077
parc-pythia-seed0,10,7,0.22193933728140391,0.29280887736224254,0.12787730013434748,46.57254657332487,40.330660911695006
parc-pythia-seed0,10,8,0.21777241971201552,0.2954548720375856,0.1277395383682109,51.01632619296635,40.74014054077647
parc-pythia-seed0,10,9,0.2158235754037732,0.30742273934621017,0.1362221985357766,55.88842832958351,41.26952427953522
parc-pythia-seed0,10,10,0.21303638630258173,0.3078265317690622,0.1339359096172208,60.1482903712427,41.974990285453586
parc-pythia-seed0,10,11,0.21059896103221895,0.3178051702504076,0.1406742861172409,65.21310886037666,42.633650431329
parc-pythia-seed0,20,0,0.36601793825062107,0.098748562806525,0.017503634011864135,8.482666970830998,22.006071802995578
parc-pythia-seed0,20,1,0.299380152099606,0.17405422128504608,0.05422771480950386,15.409848405672978,26.790458784276495
parc-pythia-seed0,20,2,0.2690468592823382,0.23888233136449077,0.09388962537179603,23.26786417048458,31.334905282699165
parc-pythia-seed0,20,3,0.2496432684840154,0.28762730218021204,0.12288196068689196,32.75017010165835,35.08361764941323
parc-pythia-seed0,20,4,0.22960192970489127,0.31223527650148836,0.1377995185801082,43.56188308197924,39.28062451055529
parc-pythia-seed0,20,5,0.21345603678767092,0.3315178348212835,0.14791958999891022,55.38079617255291,42.35306796603817
parc-pythia-seed0,20,6,0.20110981158729405,0.3315119694796702,0.14656302513471461,67.58444648692297,45.5130203768226
parc-pythia-seed0,20,7,0.18988646439782694,0.32981952244212104,0.14547999888624882,80.2577266327935,47.85518742156989
parc-pythia-seed0,20,8,0.1775713150311309,0.32231188701426267,0.13951555201462126,93.75212465285617,50.25677168451032
parc-pythia-seed0,20,9,0.1697515740009727,0.3225563836093837,0.13952640943143507,108.10272776178257,52.10686721638515
parc-pythia-seed0,20,10,0.16105807505497688,0.32023299925321985,0.13741407479426904,123.14095787405213,54.12169091797442
parc-pythia-seed0,20,11,0.15391931481764937,0.3241699601105406,0.13942966640141674,139.1879114934619,56.22321256362459
