family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,7.105118723480949,0.12885805830250438,0.030824745077979027,0.23789212888995093,37.945422035997105,
pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,7.105118723480949,0.12885805830250438,0.030824745077979027,0.23789212888995093,37.945422035997105,1.0
pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,7.140976177260209,0.13015306862588227,0.03140339590860072,0.23809709644984944,37.951618792101975,0.9999472689106108
pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,9.892427317235528,0.24914422181388396,0.10153224737102255,0.24903376576690647,37.74978939732383,0.9930425908566437
pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,8.616105118804931,0.13013620555478514,0.030680476784940874,0.13558533077292403,70.38533470847698,0.6961353078161716
pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,60.68274903247029,0.39260679399187276,0.4521750859863844,0.058789132408351395,157.65006601028546,0.4262777121994074
pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,187.42427740185417,0.4560414936008894,0.6898872741948477,0.053611310679653405,344.6210183580254,0.8797054484470106
pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,236.41903828249974,0.4443146817596877,0.7611774383801603,0.05003002681836274,430.12339235516856,0.9377292137776619
pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,310.1916985606465,0.4896469222103073,0.7923300734248869,0.04876785759347387,600.6087148517129,0.9508715033140808
pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,274.8095768830089,0.5060533613161599,0.795663833027012,0.044756395257705694,775.5091187243842,0.944196529298635
pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,220.26303183715314,0.523233892714808,0.7810905363283903,0.04206251714115299,970.0465043175809,0.9735683508330073
