family,model_ref,step,tokens,norm,gini,hoyer,per,condition_number,cka_to_prev
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step0,0,0,9.716893797214668,0.11360488562605038,0.02470839393409117,0.25598510169007654,39.68521562052992,
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step1,1,2097152,9.716893797214668,0.11360488562605038,0.02470839393409117,0.25598510169007654,39.68521562052992,1.0
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step4,4,8388608,9.716252125161033,0.11354212168705496,0.02469603202441389,0.25599922000901904,39.68479497188394,0.9999997537561737
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step16,16,33554432,10.228519246466453,0.13057120065162095,0.033939259473372986,0.2568659360514384,39.837096562668904,0.9992677802785247
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step256,256,536870912,11.91394284538463,0.13694945925361343,0.03300137573565212,0.16160488506543416,78.6595822937195,0.7158842372959983
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step5000,5000,10485760000,31.26439838884245,0.27409364727213475,0.31604637709171995,0.09705992025958632,92.71658545455098,0.6739046674923661
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step14000,14000,29360128000,54.95987709368788,0.3461687079893785,0.529933095871009,0.05324733208404197,212.06029985419025,0.8075472108845986
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step28000,28000,58720256000,63.88955406208922,0.36129872403566626,0.5857925980994096,0.04159603712008105,301.86398618928473,0.8814007761196067
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step51000,51000,106954752000,67.77764543107007,0.37593679611974523,0.6197280970197008,0.034337028145156205,423.9619390242445,0.8436660382142936
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step86000,86000,180355072000,43.833004169944786,0.399973933700786,0.5722629489890941,0.03401805486844702,361.44240644364004,0.8727455098844814
polypythia-70m-seed1,EleutherAI/pythia-70m-seed1@step143000,143000,299892736000,28.069137894384795,0.4074145543939576,0.5419160097224158,0.036869822205643894,345.4141796457424,0.8881664810968974
