family,step,layer,per,gini,hoyer,norm,condition_number
parc-mamba-seed2,20,0,0.5168354106393646,0.0495559372751783,0.004099372062361767,1.6105635191748424,10.921338584695542
parc-mamba-seed2,20,1,0.5199919378620002,0.06364193040964583,0.0072309572493316834,1.7611768974900164,10.82783419288021
parc-mamba-seed2,20,2,0.5190871698177276,0.09138444632638383,0.015423805214449172,1.9920376215988411,10.337053062556375
parc-mamba-seed2,20,3,0.516317611990221,0.12675658675626078,0.028001389096357243,2.2933813164749934,10.369024623011532
parc-mamba-seed2,20,4,0.5050363798725075,0.1697005724915616,0.047303792621884104,2.7399164939843614,11.012943511714292
parc-mamba-seed2,20,5,0.4953957075820664,0.2123268331335435,0.06984853691856681,3.3044237207701865,11.611613709536297
parc-mamba-seed2,20,6,0.45331679888893517,0.2541365353925902,0.09471964173020458,4.212560649057567,13.481177250665702
parc-mamba-seed2,20,7,0.3880434715536612,0.2781956554329457,0.10856614329781908,5.137256055647934,16.359734555262754
parc-mamba-seed2,20,8,0.28183124888372246,0.30357979316796896,0.12499116800339408,6.2092689902169695,19.870543807271808
parc-mamba-seed2,20,9,0.1581593825814352,0.3231178184280414,0.13817983887221494,7.734417196359257,25.994173541673874
parc-mamba-seed2,20,10,0.07673367390833051,0.33693720835272295,0.1469546447884455,9.426476115345292,34.248409971011036
parc-mamba-seed2,20,11,0.05596280285975413,0.3389532068187864,0.14729348761585673,11.023453121355757,37.92426466626983
parc-mamba-seed2,20,12,0.041959319530116154,0.34249521904826263,0.1502468590690353,12.594106388316556,42.30576271543225
parc-mamba-seed2,20,13,0.0344326340214485,0.34429058948059205,0.15124091241668589,14.00221761855574,46.114255551007204
parc-mamba-seed2,20,14,0.02788099448770839,0.3521772294177781,0.15671178407040298,15.681060759852729,51.13623152953438
parc-mamba-seed2,20,15,0.022679025765112062,0.3501787761160087,0.1552939508928945,17.463930522249736,56.73547204046741
parc-mamba-seed2,20,16,0.01656535322463985,0.35457396835874583,0.15781494511116048,19.84405762753324,68.63561321869496
parc-mamba-seed2,20,17,0.014882007959450815,0.3556162419152809,0.15855145451128988,21.473924353708995,73.90977760032072
parc-mamba-seed2,20,18,0.012389110334292703,0.35752320610276095,0.16018946201401255,23.595367588772923,84.43480263608635
parc-mamba-seed2,20,19,0.011453779526107839,0.36098332793989324,0.1622567867448977,25.437638227147854,89.68951288867783
parc-mamba-seed2,20,20,0.010391712741566654,0.365067675773425,0.16509273933926388,27.869530388579122,98.27460323595113
parc-mamba-seed2,20,21,0.009761190448894978,0.3616302073891091,0.1623311297755806,29.671972516167433,105.23473551674054
parc-mamba-seed2,20,22,0.009134224162385102,0.36039702847280536,0.16164359306145737,31.85252643969658,113.28675637135774
