dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,n_stim_ceil,ceiling_lower,ceiling_upper,ceiling_n,n_subjects,frac_of_ceiling,params,cell
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-11+,96,0.0614245518536738,0.0213542495059497,0.0410370079618876,96,0.3027469867681776,0.4039104611117662,20,20,0.20289071250346882,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-11+,96,0.0617662325339943,0.0214337078185099,0.0413186948507482,96,0.3027469867681776,0.4039104611117662,20,20,0.20401931392727798,134601216.0,ds002236/Phon/ses-11+
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Phon,ses-9,96,0.0533251314503083,0.0321337768643508,0.0354484863177905,96,0.2555744517777938,0.4415161758890461,9,9,0.20864813004341767,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Phon,ses-9,96,0.037005518153118,0.0306292182393585,0.0246006549604984,96,0.2555744517777938,0.4415161758890461,9,9,0.1447934951858647,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-03,573,,Phon,ses-9,96,0.0430880842098014,0.0288574324467134,0.028602186536752,96,0.2555744517777938,0.4415161758890461,9,9,0.1685930808423051,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-04,764,,Phon,ses-9,96,0.0311349362343367,0.012976558693495,0.0208473310936916,96,0.2555744517777938,0.4415161758890461,9,9,0.1218233513473663,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-05,1146,,Phon,ses-9,96,0.0602941717279134,0.0291551614596885,0.0401311460269449,96,0.2555744517777938,0.4415161758890461,9,9,0.23591627139764132,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-06,1337,,Phon,ses-9,96,0.0551273540831888,0.0273063521293856,0.0367607162235485,96,0.2555744517777938,0.4415161758890461,9,9,0.21569978415181587,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-07,1528,,Phon,ses-9,96,0.0563194655037325,0.028172282805614,0.0375384337131488,96,0.2555744517777938,0.4415161758890461,9,9,0.2203642230746084,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-08,1719,,Phon,ses-9,96,0.0549487000403598,0.0269230750226995,0.0365910114175546,96,0.2555744517777938,0.4415161758890461,9,9,0.2150007548021048,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,,Phon,ses-9,96,0.053896647283264,0.0267478719837451,0.0359064199212662,96,0.2555744517777938,0.4415161758890461,9,9,0.21088433099770007,134601216.0,ds002236/Phon/ses-9
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-01,191,,Sem,ses-11,48,0.0356090174975917,0.0166602906635562,0.0234476769431176,48,0.3901861494567716,0.5424473076996204,8,8,0.09126161332781185,134601216.0,ds002236/Sem/ses-11
ds002236,babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-02,382,,Sem,ses-11,48,0.0132204355503087,-0.0046279514837915,0.008876260957667,48,0.3901861494567716,0.5424473076996204,8,8,0.03388238041948586,134601216.0,ds002236/Sem/ses-11
