variant,dataset,task,session,best_family_rsa,init_mean,init_sd,init_n,z_vs_untrained,beats_untrained_2sd,below_untrained_2sd
roi-motor,ds003604,Phon,ses-7,0.004783,-0.005771,0.021626,14,0.488017,False,False
roi-motor,ds003604,Phon,ses-9,0.002581,-0.005153,0.01598,14,0.483911,False,False
roi-motor,ds003604,Plaus,ses-5,0.019329,0.017002,0.008031,14,0.289764,False,False
roi-motor,ds003604,Plaus,ses-7,0.010763,0.016823,0.01397,14,-0.43382,False,False
roi-motor,ds003604,Plaus,ses-9,0.008241,0.009821,0.011434,14,-0.138151,False,False
roi-motor,ds003604,Sem,ses-5,0.008356,0.000105,0.01355,14,0.608904,False,False
roi-motor,ds003604,Sem,ses-7,0.008239,0.005619,0.015399,14,0.170175,False,False
roi-motor,ds003604,Sem,ses-9,0.008319,0.000124,0.014246,14,0.575259,False,False
roi-phonology,ds003604,Gram,ses-5,0.031931,0.017572,0.011073,14,1.296808,False,False
roi-phonology,ds003604,Gram,ses-7,0.016877,0.008372,0.008023,14,1.060126,False,False
roi-phonology,ds003604,Gram,ses-9,0.006805,0.001077,0.008099,14,0.707258,False,False
roi-phonology,ds003604,Phon,ses-5,0.006446,-0.007281,0.022316,15,0.615109,False,False
roi-phonology,ds003604,Phon,ses-7,0.007679,-0.004762,0.019948,15,0.623655,False,False
roi-phonology,ds003604,Phon,ses-9,0.005859,-0.004938,0.016267,15,0.663751,False,False
roi-phonology,ds003604,Plaus,ses-5,0.012005,0.015714,0.010813,14,-0.343022,False,False
roi-phonology,ds003604,Plaus,ses-7,0.013894,0.019381,0.016211,14,-0.338469,False,False
roi-phonology,ds003604,Plaus,ses-9,0.010697,0.016535,0.01175,14,-0.496851,False,False
roi-phonology,ds003604,Sem,ses-5,0.007613,-0.001092,0.013249,14,0.656976,False,False
roi-phonology,ds003604,Sem,ses-7,0.005604,0.003638,0.016493,14,0.119199,False,False
roi-phonology,ds003604,Sem,ses-9,0.007774,0.003586,0.014883,14,0.281431,False,False
