dataset,n_families,scale_trend_rho,scale_trend_p,best_family,best_rsa_mean
ds002236,9,-0.4526019054848144,0.22121659513781886,babylm-gpt2,0.032458565486281156
ds003604,9,-0.48741743667595394,0.18321931998978305,babylm-gpt2,0.0033433272443380672
ds006239,9,0.026111648393354673,0.9468360014120911,babylm-gpt2,0.0011761927600453517
