dataset,family_fp32,model_ref,step_fp32,tokens_fp32,task,session,n_stim_fp32,rsa_fp32,rsa_pearson_fp32,rsa_kendall_fp32,family_bf16,step_bf16,tokens_bf16,n_stim_bf16,rsa_bf16,rsa_pearson_bf16,rsa_kendall_bf16,delta,abs_delta
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Phon,ses-9,96,0.0306495482474906,0.018812862785228,0.020468092802746,pythia-410m-full,28000,58720256000,96,0.0269696313755016,0.016092697012228,0.0180206493421533,-0.003679916871989,0.003679916871989
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Phon,ses-9,96,0.0483836317533153,0.0218237619393688,0.0323864882649703,pythia-410m-full,51000,106954752000,96,0.0486392329323633,0.022670552784246,0.032538683844949,0.0002556011790479998,0.0002556011790479998
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Phon,ses-9,96,0.0204130844355161,0.01108157709953,0.013618522067397,pythia-410m-full,86000,180355072000,96,0.0237446704278156,0.015177086063146,0.0157733113217349,0.003331585992299501,0.003331585992299501
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Phon,ses-9,96,0.041979846652252,0.0238950046422819,0.027920673585697,pythia-410m-full,143000,299892736000,96,0.03865957651578,0.0210387318485531,0.0255738600724227,-0.0033202701364719936,0.0033202701364719936
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-11,48,-0.0189748249393862,-0.0136171254136322,-0.0126677868187052,pythia-410m-full,0,0,48,-0.0186361573419591,-0.0136065808156814,-0.0124412392153901,0.0003386675974270982,0.0003386675974270982
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-11,48,-0.0189748249393862,-0.0136171254136322,-0.0126677868187052,pythia-410m-full,1,2097152,48,-0.0186361573419591,-0.0136065808156814,-0.0124412392153901,0.0003386675974270982,0.0003386675974270982
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-11,48,-0.0176165342694803,-0.0123132657098934,-0.0116042716809202,pythia-410m-full,4,8388608,48,-0.0175695124315321,-0.0124232589793674,-0.0117175454825778,4.70218379481982e-05,4.70218379481982e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-11,48,0.023012733303021,0.0088781458908981,0.0151818359166053,pythia-410m-full,16,33554432,48,0.0229201277060946,0.008927480524459,0.0150402436645333,-9.260559692639975e-05,9.260559692639975e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-11,48,0.0186577285265086,0.0006765284988046,0.0122744750073942,pythia-410m-full,256,536870912,48,0.0186769168476486,0.0006093780951031,0.0122933539743371,1.9188321139999853e-05,1.9188321139999853e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-11,48,0.0251034158539277,0.0066730678595765,0.016320866922162,pythia-410m-full,5000,10485760000,48,0.0255274735706586,0.0065887667827267,0.016701592755511,0.00042405771673089884,0.00042405771673089884
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-11,48,0.0134435384528353,0.0045157377676032,0.0091153945389441,pythia-410m-full,14000,29360128000,48,0.0151583222106564,0.0040897300365416,0.010345673884725,0.0017147837578211002,0.0017147837578211002
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-11,48,-0.0020938262584223,0.0084688735609088,-0.0009911457645037,pythia-410m-full,28000,58720256000,48,-0.0028661248308396,0.0080549909333935,-0.0018847501998024,-0.0007722985724173,0.0007722985724173
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-11,48,-0.0087357444778478,0.0103064248698736,-0.0065635875071582,pythia-410m-full,51000,106954752000,48,-0.0024294588403488,0.0171785633548729,-0.0018627247383689,0.006306285637499,0.006306285637499
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-11,48,-0.0048198052770842,0.0091686360599198,-0.0030678321282259,pythia-410m-full,86000,180355072000,48,-0.0025173739587743,0.0111802466358629,-0.001979145034517,0.0023024313183099003,0.0023024313183099003
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-11,48,-0.0059120931421676,0.0006813122592958,-0.0040023409919009,pythia-410m-full,143000,299892736000,48,0.0040729740799141,0.0062163141861217,0.0024448262191092,0.0099850672220817,0.0099850672220817
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-11+,48,0.0288188266476233,-0.0191886748050447,0.0193666735889545,pythia-410m-full,0,0,48,0.0286481049354853,-0.0194089384524439,0.0193352086440496,-0.00017072171213800003,0.00017072171213800003
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-11+,48,0.0288188266476233,-0.0191886748050447,0.0193666735889545,pythia-410m-full,1,2097152,48,0.0286481049354853,-0.0194089384524439,0.0193352086440496,-0.00017072171213800003,0.00017072171213800003
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-11+,48,0.0297263297259902,-0.0187934711703955,0.0199896794980712,pythia-410m-full,4,8388608,48,0.0298190690977046,-0.0190614616885902,0.0201658831895385,9.273937171440025e-05,9.273937171440025e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-11+,48,0.0379083636348556,0.0018580821826257,0.0248321345189324,pythia-410m-full,16,33554432,48,0.0380223397541497,0.0018937169663811,0.0249296758481375,0.00011397611929410412,0.00011397611929410412
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-11+,48,0.003492717576457,0.0029959229403555,0.0021836671763987,pythia-410m-full,256,536870912,48,0.0035791110066701,0.0029915788739225,0.0022403040772275,8.63934302131001e-05,8.63934302131001e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-11+,48,-0.0122415552616709,-0.0080651709950529,-0.0081305417634213,pythia-410m-full,5000,10485760000,48,-0.0128168620979756,-0.0084631347064834,-0.0084105797730748,-0.0005753068363047002,0.0005753068363047002
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-11+,48,0.0030666114332863,-0.0117275841880883,0.0021396162535319,pythia-410m-full,14000,29360128000,48,0.0065135195058105,-0.0112377631305609,0.0045215125828314,0.0034469080725242,0.0034469080725242
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-11+,48,-0.0072630680033599,-0.0045391920043899,-0.0048959454271995,pythia-410m-full,28000,58720256000,48,-0.0065018560164901,-0.0063198697484335,-0.0040652708817106,0.0007612119868697998,0.0007612119868697998
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-11+,48,-0.0269752762955206,-0.0099301021784218,-0.0186052219222564,pythia-410m-full,51000,106954752000,48,-0.0269365317725739,-0.0007857858824665,-0.0189135783823242,3.874452294670011e-05,3.874452294670011e-05
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-11+,48,-0.0117119157935869,-0.013896082304605,-0.0079165801380681,pythia-410m-full,86000,180355072000,48,-0.0112360287074675,-0.0140413500121348,-0.007960631060935,0.0004758870861193993,0.0004758870861193993
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-11+,48,-0.0091285908643759,-0.0188215657353203,-0.0065100971008199,pythia-410m-full,143000,299892736000,48,-0.0100264537970895,-0.0150943094691225,-0.0070229757027695,-0.0008978629327136001,0.0008978629327136001
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Sem,ses-9,48,0.0191432557582814,-0.0218976731023726,0.0134953148697036,pythia-410m-full,0,0,48,0.018914952360875,-0.0221071973079384,0.0133568691121221,-0.00022830339740640207,0.00022830339740640207
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Sem,ses-9,48,0.0191432557582814,-0.0218976731023726,0.0134953148697036,pythia-410m-full,1,2097152,48,0.018914952360875,-0.0221071973079384,0.0133568691121221,-0.00022830339740640207,0.00022830339740640207
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Sem,ses-9,48,0.0189496167527906,-0.0207734178382484,0.0131051495528831,pythia-410m-full,4,8388608,48,0.0184336724786182,-0.0208637995540326,0.0129352388503967,-0.0005159442741724009,0.0005159442741724009
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Sem,ses-9,48,0.0297034625981829,-0.0035495624564018,0.0201249787611621,pythia-410m-full,16,33554432,48,0.029484974925839,-0.0035440349914956,0.0198638197184516,-0.00021848767234389915,0.00021848767234389915
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Sem,ses-9,48,-0.0238329065276595,-0.0220810196766141,-0.0156947145185548,pythia-410m-full,256,536870912,48,-0.0239653602895327,-0.0221630111992358,-0.0157576444083646,-0.00013245376187320107,0.00013245376187320107
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Sem,ses-9,48,-0.0032205276876939,-0.0036449769663903,-0.0021962531543607,pythia-410m-full,5000,10485760000,48,-0.0036576535290182,-0.0039147245731484,-0.0021427627480224,-0.00043712584132430017,0.00043712584132430017
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Sem,ses-9,48,0.0022355940899034,-0.0058333321572159,0.0015103173554343,pythia-410m-full,14000,29360128000,48,0.0043711413603033,-0.0063902854398048,0.0030174882163781,0.0021355472703998997,0.0021355472703998997
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Sem,ses-9,48,-0.0118195459713797,-0.0110629268565798,-0.007683739545772,pythia-410m-full,28000,58720256000,48,-0.0124480533686489,-0.0129471102760025,-0.0082815734989648,-0.0006285073972692005,0.0006285073972692005
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Sem,ses-9,48,-0.0062562204231259,0.003109277620172,-0.0041691051998967,pythia-410m-full,51000,106954752000,48,-0.0004453947954015,0.0133143714567143,-0.0005128786019495,0.0058108256277244,0.0058108256277244
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Sem,ses-9,48,-0.0103483159367861,-0.0038106583439806,-0.0072306443391417,pythia-410m-full,86000,180355072000,48,-0.0039912042408079,-0.0010042399945673,-0.0030269276998495,0.006357111695978201,0.006357111695978201
ds002236,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Sem,ses-9,48,0.0059267163986703,-0.002994157343462,0.0039803155304675,pythia-410m-full,143000,299892736000,48,0.0112808850660365,-0.0007341966207921,0.0079354591050111,0.0053541686673662,0.0053541686673662
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-5,60,0.0429416268002948,0.0246562707131542,0.0286241708265067,pythia-410m-full,0,0,60,0.0427518226322908,0.0245589786539627,0.0284874789612695,-0.00018980416800400135,0.00018980416800400135
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-5,60,0.0429416268002948,0.0246562707131542,0.0286241708265067,pythia-410m-full,1,2097152,60,0.0427518226322908,0.0245589786539627,0.0284874789612695,-0.00018980416800400135,0.00018980416800400135
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-5,60,0.0431863278675215,0.0243275039079857,0.028781302596826,pythia-410m-full,4,8388608,60,0.0431836336606652,0.0243178730315065,0.0287506427392027,-2.6942068563004518e-06,2.6942068563004518e-06
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-5,60,0.0317067041404511,0.0214456062637538,0.0211878778587921,pythia-410m-full,16,33554432,60,0.0319653458346406,0.021481688404104,0.0213092397952177,0.00025864169418950145,0.00025864169418950145
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-5,60,0.0128548843219293,0.0240248713193011,0.0088357877188107,pythia-410m-full,256,536870912,60,0.0129237499803953,0.0241435854058508,0.0088025728730522,6.886565846600003e-05,6.886565846600003e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-5,60,0.0144217181724268,0.0063697669850585,0.0095626818432961,pythia-410m-full,5000,10485760000,60,0.0144541784959975,0.0062246530249371,0.00966871385091,3.246032357069953e-05,3.246032357069953e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-5,60,0.0243409178808942,0.0125445862003975,0.016181378607723,pythia-410m-full,14000,29360128000,60,0.0244891165701669,0.012386046857705,0.0163193479670278,0.0001481986892727001,0.0001481986892727001
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Gram,ses-5,60,0.0257531453742461,0.0152600431537009,0.0169069952381408,pythia-410m-full,28000,58720256000,60,0.0251108680999042,0.0146950039214844,0.0164522073500621,-0.0006422772743419,0.0006422772743419
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Gram,ses-5,60,0.0260466710961663,0.0139099612180382,0.0165556843695407,pythia-410m-full,51000,106954752000,60,0.0258812770914874,0.0135898027688403,0.0165761242746229,-0.00016539400467890236,0.00016539400467890236
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Gram,ses-5,60,0.0198351739427825,0.0204477698306702,0.0129429311462634,pythia-410m-full,86000,180355072000,60,0.0200186267074745,0.0214749731553483,0.0130387432013362,0.0001834527646920013,0.0001834527646920013
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Gram,ses-5,60,0.0211146993053344,0.0192205276193908,0.0138499519342857,pythia-410m-full,143000,299892736000,60,0.0202071000022121,0.0200144489562714,0.0132827445682549,-0.0009075993031223001,0.0009075993031223001
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-7,60,0.0287194130225657,0.0274355138561031,0.018989310568389,pythia-410m-full,0,0,60,0.0286192512841344,0.0273323041003562,0.0189062734539926,-0.00010016173843130013,0.00010016173843130013
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-7,60,0.0287194130225657,0.0274355138561031,0.018989310568389,pythia-410m-full,1,2097152,60,0.0286192512841344,0.0273323041003562,0.0189062734539926,-0.00010016173843130013,0.00010016173843130013
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-7,60,0.0298645548095566,0.0271236992635177,0.0197008747640628,pythia-410m-full,4,8388608,60,0.0299047190499213,0.0271145757160415,0.0197289796335508,4.016424036469915e-05,4.016424036469915e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-7,60,0.0175005106144149,0.02406567712374,0.0112847438464707,pythia-410m-full,16,33554432,60,0.0177465815072963,0.0240969595484767,0.0114188807235726,0.0002460708928813983,0.0002460708928813983
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-7,60,0.002815432098762,0.0264781106695197,0.0021314988518522,pythia-410m-full,256,536870912,60,0.002965957111224,0.0266088777015291,0.0022592482586158,0.00015052501246200006,0.00015052501246200006
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-7,60,0.0079896271521214,0.0081635069253749,0.0051221124641902,pythia-410m-full,5000,10485760000,60,0.0080672592619731,0.0080078139348644,0.0051949296260455,7.763210985170001e-05,7.763210985170001e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-7,60,0.0197379401255373,0.0133228234567959,0.012803684292891,pythia-410m-full,14000,29360128000,60,0.0198101838216762,0.0131822759612193,0.0128956638657609,7.224369613889961e-05,7.224369613889961e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step28000,28000,58720256000,Gram,ses-7,60,0.0206140485867529,0.0174257245655279,0.0132303673114817,pythia-410m-full,28000,58720256000,60,0.0200775724910573,0.016838181841106,0.0128828889250845,-0.0005364760956955983,0.0005364760956955983
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step51000,51000,106954752000,Gram,ses-7,60,0.0212670269477653,0.0153702749662789,0.0138525069224209,pythia-410m-full,51000,106954752000,60,0.0209224346448038,0.0149854028522847,0.0136072280614346,-0.00034459230296150084,0.00034459230296150084
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step86000,86000,180355072000,Gram,ses-7,60,0.016209953069892,0.0224636921242552,0.0104620376669125,pythia-410m-full,86000,180355072000,60,0.0163980909412861,0.0236206184693968,0.0106421643304493,0.00018813787139410065,0.00018813787139410065
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step143000,143000,299892736000,Gram,ses-7,60,0.0183641261790989,0.0211681368722824,0.012276079242957,pythia-410m-full,143000,299892736000,60,0.0175969177754198,0.0221232140111364,0.0116041173633799,-0.000767208403679099,0.000767208403679099
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step0,0,0,Gram,ses-9,60,0.0090976386569906,0.0267647953710979,0.0059856984539128,pythia-410m-full,0,0,60,0.0090651718413552,0.0266619227127966,0.005917991268328,-3.2466815635401325e-05,3.2466815635401325e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step1,1,2097152,Gram,ses-9,60,0.0090976386569906,0.0267647953710979,0.0059856984539128,pythia-410m-full,1,2097152,60,0.0090651718413552,0.0266619227127966,0.005917991268328,-3.2466815635401325e-05,3.2466815635401325e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step4,4,8388608,Gram,ses-9,60,0.0102597485371227,0.0264554197652425,0.0068633368783793,pythia-410m-full,4,8388608,60,0.0102855003938221,0.0264459179975093,0.0068096821275386,2.575185669939986e-05,2.575185669939986e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step16,16,33554432,Gram,ses-9,60,0.0036625102105976,0.0235646452637316,0.0022873531281039,pythia-410m-full,16,33554432,60,0.0038977739797516,0.0235975371259986,0.0023550603136886,0.00023526376915399992,0.00023526376915399992
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step256,256,536870912,Gram,ses-9,60,-0.0102147866609342,0.025494379545479,-0.0065030835513057,pythia-410m-full,256,536870912,60,-0.010154812967105,0.0256202146562032,-0.0064443188241944,5.9973693829200314e-05,5.9973693829200314e-05
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step5000,5000,10485760000,Gram,ses-9,60,-0.0169028922532415,0.0075375472940873,-0.0111646594041128,pythia-410m-full,5000,10485760000,60,-0.016800798043547,0.0073914633997094,-0.0110943972303928,0.00010209420969449837,0.00010209420969449837
ds003604,pythia-410m-full,EleutherAI/pythia-410m@step14000,14000,29360128000,Gram,ses-9,60,-0.0056553511836151,0.0124933794301876,-0.0040758448227956,pythia-410m-full,14000,29360128000,60,-0.0056078985185979,0.0123628701782524,-0.0040170800956843,4.745266501720007e-05,4.745266501720007e-05
