dataset,task,session,family,params,rsa_mean,null_mean,null_sd,null_n,null_min,null_max,z_vs_null,exceeds_null_range,cell
ds002236,Phon,ses-11,babylm-gpt2,134601216.0,0.05030482553227269,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,2.654849406609784,True,ds002236/Phon/ses-11
ds002236,Phon,ses-11,babylm-gpt2-3,134601216.0,0.04618331608987733,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,2.2896115523798266,True,ds002236/Phon/ses-11
ds002236,Phon,ses-11,babylm-gpt2-5,134601216.0,0.046333528406579345,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,2.302922992035117,True,ds002236/Phon/ses-11
ds002236,Phon,ses-11,babylm-gpt2-7,134601216.0,0.04910040395250073,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,2.548116579830549,True,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-160m-seed1,,0.013745767427626182,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-0.5849228470839992,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-160m-seed2,,0.027849509482984872,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.6649154844565454,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-160m-seed3,,0.014724969370295427,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-0.4981484210158486,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-410m-seed1,,0.03158558547582808,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.9959971907920403,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-410m-seed2,,0.014692709258529718,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-0.5010072314015112,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-410m-seed3,,0.034009490016983335,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,1.2107975463033627,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-70m-seed1,,0.02670002826833766,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.5630513353666934,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-70m-seed2,,0.007642307657334545,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-1.125796180273453,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,polypythia-70m-seed3,,0.0035993276046336455,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-1.4840749564794808,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-1.4b-full,1515311488.0,0.03048965876654046,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.898878907966786,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-160m-full,212654688.0,0.025492562069601075,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.4560487020728477,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-1b-full,1078891008.0,0.024909556192137403,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.404384179968895,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-2.8b-full,,0.04655482442735835,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,2.322533691684995,True,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-410m-full,505997504.0,0.027634676957477355,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,0.6458775635851168,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-6.9b-full,,0.0116065295407799,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-0.7744967559636224,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11,pythia-70m-full,95592496.0,0.01959707693363439,0.02034630187226137,0.011284453116407854,9,0.0003912895474507919,0.04385512007138558,-0.06639443940243689,False,ds002236/Phon/ses-11
ds002236,Phon,ses-11+,babylm-gpt2,134601216.0,0.054878670982843075,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,3.3782565054393867,True,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,babylm-gpt2-3,134601216.0,0.048352903322014716,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,2.8299408654483487,True,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,babylm-gpt2-5,134601216.0,0.045732898857072296,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,2.6097998031795266,True,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,babylm-gpt2-7,134601216.0,0.04972403156853293,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,2.9451473976257434,True,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-160m-seed1,,0.026105902767683965,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,0.9606775111841508,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-160m-seed2,,0.02719983522367517,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.0525931762658658,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-160m-seed3,,0.023614813963160928,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,0.7513683504664711,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-410m-seed1,,0.03542842157279074,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.743985028494957,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-410m-seed2,,0.013950501554226563,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,-0.06065774653765192,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-410m-seed3,,0.034695772524094726,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.6824255380405286,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-70m-seed1,,0.027020752405169827,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.037546071412658,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-70m-seed2,,0.030040745578717765,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.2912954501504705,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,polypythia-70m-seed3,,0.010138451891375227,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,-0.38095821679659886,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-1.4b-full,1515311488.0,0.031636566832406454,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.4253813994986186,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-160m-full,212654688.0,0.024683759098977808,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,0.8411845018717665,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-1b-full,1078891008.0,0.027095613672209962,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.0438361518569934,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-2.8b-full,,0.033846809153801755,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.6110929503810945,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-410m-full,505997504.0,0.020272365051623418,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,0.47052522068909264,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-6.9b-full,,0.0290262211285107,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.206051896883784,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-11+,pythia-70m-full,95592496.0,0.027518436398573754,0.014672418515669796,0.011901480068916177,9,-0.005756194363872311,0.03669539103891935,1.07936305472247,False,ds002236/Phon/ses-11+
ds002236,Phon,ses-9,babylm-gpt2,134601216.0,0.04613684781422871,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,2.386469671742021,True,ds002236/Phon/ses-9
ds002236,Phon,ses-9,babylm-gpt2-3,134601216.0,0.04946000096511365,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,2.6615322381475752,True,ds002236/Phon/ses-9
ds002236,Phon,ses-9,babylm-gpt2-5,134601216.0,0.04680205447918726,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,2.441529864319921,True,ds002236/Phon/ses-9
ds002236,Phon,ses-9,babylm-gpt2-7,134601216.0,0.0510851493120129,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,2.7960483000897733,True,ds002236/Phon/ses-9
ds002236,Phon,ses-9,polypythia-160m-seed1,,0.031250291341785426,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,1.1542861874626265,False,ds002236/Phon/ses-9
ds002236,Phon,ses-9,polypythia-160m-seed2,,0.019340834351367044,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,0.1685218679913139,False,ds002236/Phon/ses-9
ds002236,Phon,ses-9,polypythia-160m-seed3,,0.02459602099702197,0.017304846743432606,0.012081444575723424,9,0.003296030527535891,0.041993720608063285,0.6035018583986491,False,ds002236/Phon/ses-9
