contrast,dataset,task,session,j,s_ff,ratio,verdict
fp32 vs bf16,ds003604,Gram,ses-9,0.000488,0.006534,0.0747,stable
fp32 vs bf16,ds003604,Phon,ses-5,7.4e-05,0.00668,0.01101,stable
fp32 vs bf16,ds003604,Phon,ses-7,5.8e-05,0.006303,0.009211,stable
fp32 vs bf16,ds003604,Phon,ses-9,0.001155,0.006307,0.183128,stable
fp32 vs bf16,ds003604,Plaus,ses-5,0.0024,0.004394,0.546356,UNINTERPRETABLE
fp32 vs bf16,ds003604,Plaus,ses-7,0.000456,0.005246,0.086847,stable
fp32 vs bf16,ds003604,Plaus,ses-9,0.000852,0.004836,0.17611,stable
fp32 vs bf16,ds003604,Sem,ses-5,0.005702,0.005979,0.953609,UNINTERPRETABLE
fp32 vs bf16,ds003604,Sem,ses-7,0.004633,0.007054,0.656728,UNINTERPRETABLE
fp32 vs bf16,ds003604,Sem,ses-9,0.00449,0.00717,0.626287,UNINTERPRETABLE
fp32 vs bf16,ds006239,Orth,ses-11,0.002322,0.013237,0.175452,stable
fp32 vs bf16,ds006239,Orth,ses-11+,0.004307,0.015741,0.273614,matched-arm only
fp32 vs bf16,ds006239,Phon,ses-11,0.002322,0.013237,0.175452,stable
fp32 vs bf16,ds006239,Phon,ses-11+,0.004307,0.015741,0.273614,matched-arm only
fp32 vs bf16,ds006239,Sem,ses-11,0.003437,0.012401,0.277158,matched-arm only
fp32 vs bf16,ds006239,Sem,ses-11+,0.002942,0.008993,0.32712,matched-arm only
fp32 vs bf16,ds006239,SemLocal,ses-11,0.005362,0.015084,0.355499,matched-arm only
fp32 vs bf16,ds006239,SemLocal,ses-11+,0.006792,0.009137,0.74337,UNINTERPRETABLE
