file,task,variant,n_stim,effective_rank,rsa_vs_duration,p_perm,rsa_vs_amplitude
sub-5211_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06372130639531352,0.09995002498750624,0.48540215321751784
sub-5211_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06372130639531352,0.09995002498750624,0.48540215321751784
sub-5211_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.051017489248914145,0.08495752123938032,0.040274733673638013
sub-5211_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.03371389877453967,0.35782108945527236,0.33818790730324116
sub-5211_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.03371389877453967,0.35782108945527236,0.33818790730324116
sub-5211_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.025483510722247475,0.4142928535732134,0.4703478119811809
sub-5213_ses-7_run-01_patterns.npz,Gram,raw,40,4,-0.07368459988059553,0.08295852073963018,0.44894912713531754
sub-5213_ses-7_run-01_patterns.npz,Gram,mean_removed,40,4,-0.07368459988059553,0.08295852073963018,0.44894912713531754
sub-5213_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,-0.03859107121175395,0.22188905547226387,0.18683348870117752
sub-5213_ses-7_run-02_patterns.npz,Gram,raw,40,4,-0.025172555028293107,0.46976511744127936,0.6178127537002223
sub-5213_ses-7_run-02_patterns.npz,Gram,mean_removed,40,4,-0.025172555028293107,0.46976511744127936,0.6178127537002223
sub-5213_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.03672916004987628,0.18490754622688654,0.08812963962035542
sub-5217_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06079087687180914,0.09395302348825588,0.3880242305561874
sub-5217_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06079087687180914,0.09395302348825588,0.3880242305561874
sub-5217_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.00481843769972337,0.8900549725137431,0.2932141824437834
sub-5217_ses-7_run-02_patterns.npz,Gram,raw,40,3,-0.05952798799455618,0.11094452773613193,0.5105372271511598
sub-5217_ses-7_run-02_patterns.npz,Gram,mean_removed,40,3,-0.05952798799455618,0.11094452773613193,0.5105372271511598
sub-5217_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.04905621299236716,0.09745127436281859,0.07695612709624897
sub-5222_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06328673553006015,0.11044477761119441,0.41701810818229484
sub-5222_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06328673553006015,0.11044477761119441,0.41701810818229484
sub-5222_ses-7_run-01_patterns.npz,Gram,pc1_removed,40,3,0.033393517181559515,0.2843578210894553,0.1943477629243056
sub-5222_ses-7_run-02_patterns.npz,Gram,raw,40,4,-0.04233556705212283,0.2283858070964518,0.49129476898194474
sub-5222_ses-7_run-02_patterns.npz,Gram,mean_removed,40,4,-0.04233556705212283,0.2283858070964518,0.49129476898194474
sub-5222_ses-7_run-02_patterns.npz,Gram,pc1_removed,40,3,-0.02528801601053231,0.4407796101949025,0.060227808496625505
sub-5226_ses-7_run-01_patterns.npz,Gram,raw,40,3,-0.06899108028475928,0.07896051974012994,0.20318839344676007
sub-5226_ses-7_run-01_patterns.npz,Gram,mean_removed,40,3,-0.06899108028475928,0.07896051974012994,0.20318839344676007
