family,model_ref,step,layer,per,gini,hoyer,norm,condition_number
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,0,0.4456027778405167,0.0486013137127695,0.0039563376643739,15.793440805584533,12.888669906287603
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,1,0.4037943871074326,0.0511036595254146,0.0043273968396845,16.984155777601117,14.5630841220278
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,2,0.3693486127932827,0.0549052862548885,0.005069909679907,18.19137859189395,16.130410703878862
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,3,0.3364125292612225,0.0574428233857733,0.005556454470943,19.33125370801304,18.2322423028426
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,4,0.3147233369709028,0.0573350212751223,0.0054626523590753,20.469514926856437,19.811242060986945
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,5,0.2924188702097682,0.0624869180119048,0.0064492449418204,21.61193924149094,21.487467956607283
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,6,0.282926199450115,0.0622258365474124,0.006402235622083,22.56341387261306,22.441708628155983
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,7,0.2772784990525281,0.0621142233555566,0.0063745121771066,23.60097969612116,22.89115396717366
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,8,0.2687519069576227,0.0633282484439494,0.0065186372797002,24.54546079191725,23.818650114420464
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,9,0.2609723369498817,0.0658560932483716,0.007003630626001,25.53249723317142,24.55054043838871
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,10,0.2468693792770361,0.0662573332660142,0.007113861787309,26.601303608363093,26.25107004191343
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,11,0.2448025218349961,0.0671974909084416,0.0073231426881483,27.51587247460932,26.594895497806995
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,12,0.236359596037962,0.0691850147480942,0.0078347034146214,28.487651398600136,27.61482444990995
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,13,0.2319096721688628,0.0696203916677555,0.0079069614062463,29.410231267073424,28.78004124298733
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,0,0.4456027778405167,0.0486013137127695,0.0039563376643739,15.793440805584533,12.888669906287603
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,1,0.4037943871074326,0.0511036595254146,0.0043273968396845,16.984155777601117,14.5630841220278
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,2,0.3693486127932827,0.0549052862548885,0.005069909679907,18.19137859189395,16.130410703878862
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,3,0.3364125292612225,0.0574428233857733,0.005556454470943,19.33125370801304,18.2322423028426
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,4,0.3147233369709028,0.0573350212751223,0.0054626523590753,20.469514926856437,19.811242060986945
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,5,0.2924188702097682,0.0624869180119048,0.0064492449418204,21.61193924149094,21.487467956607283
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,6,0.282926199450115,0.0622258365474124,0.006402235622083,22.56341387261306,22.441708628155983
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,7,0.2772784990525281,0.0621142233555566,0.0063745121771066,23.60097969612116,22.89115396717366
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,8,0.2687519069576227,0.0633282484439494,0.0065186372797002,24.54546079191725,23.818650114420464
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,9,0.2609723369498817,0.0658560932483716,0.007003630626001,25.53249723317142,24.55054043838871
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,10,0.2468693792770361,0.0662573332660142,0.007113861787309,26.601303608363093,26.25107004191343
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,11,0.2448025218349961,0.0671974909084416,0.0073231426881483,27.51587247460932,26.594895497806995
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,12,0.236359596037962,0.0691850147480942,0.0078347034146214,28.487651398600136,27.61482444990995
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,13,0.2319096721688628,0.0696203916677555,0.0079069614062463,29.410231267073424,28.78004124298733
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,0,0.4456027778405167,0.0486013137127695,0.0039563376643739,15.793440805584533,12.888669906287603
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,1,0.4037943871074326,0.0511036595254146,0.0043273968396845,16.984155777601117,14.5630841220278
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,2,0.3693486127932827,0.0549052862548885,0.005069909679907,18.19137859189395,16.130410703878862
