family,model_ref,step,tokens,brain_rsa_mean,brain_rsa_std,brain_rsa_pearson_mean,brain_n_cells,brain_rsa_Sem,brain_rsa_Phon,brain_rsa_Gram,brain_rsa_Plaus,interp_norm,interp_gini,interp_hoyer,interp_per,interp_condition_number,interp_cka_to_prev,loc_selectivity,loc_overlap,loc_gini,loc_entropy,loc_layer_com,loc_n_active_layers,behav_mp_accuracy
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,0,,-0.015600470983100932,0.019411228035815582,-0.010194946814614908,12,-0.008506667886498601,0.0079314681408965,-0.036482023131071434,-0.0253446610557302,22.90279238527921,0.0612614038822477,0.00623569149693,0.300869330422295,21.86114295952769,,0.5662782192230225,0.00157232704402515,0.41784169174809027,0.9689251683702117,0.5458803204278195,14.0,0.5583333333333333
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,1,,-0.015600470983100932,0.019411228035815582,-0.010194946814614908,12,-0.008506667886498601,0.0079314681408965,-0.036482023131071434,-0.0253446610557302,22.90279238527921,0.0612614038822477,0.00623569149693,0.300869330422295,21.86114295952769,1.0,0.5662782192230225,0.00157232704402515,0.41784169174809027,0.9689251683702117,0.5458803204278195,14.0,0.5583333333333333
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,2,,-0.015600470983100932,0.019411228035815582,-0.010194946814614908,12,-0.008506667886498601,0.0079314681408965,-0.036482023131071434,-0.0253446610557302,22.90279238527921,0.0612614038822477,0.00623569149693,0.300869330422295,21.86114295952769,1.0,0.5662782192230225,0.00157232704402515,0.41784169174809027,0.9689251683702117,0.5458803204278195,14.0,0.5583333333333333
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,4,,-0.015600769960017252,0.019419354550493453,-0.01019812314587234,12,-0.008534302384500434,0.007960733664745834,-0.0364942851986354,-0.025335225921679,22.902769536368687,0.061261195524391,0.0062356585454635,0.3008686694198766,21.86135811049873,0.9999999868019254,0.566276803612709,0.00157232704402515,0.4178451010838149,0.9689244102822201,0.5458781822639958,14.0,0.5583333333333333
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,6,,-0.015591328792491919,0.019400126174603224,-0.010200601581790083,12,-0.0085874936131079,0.0079831708697806,-0.036423420705578,-0.025337571721062366,22.90275678826089,0.0612608652543606,0.0062355900430923,0.3008660199588485,21.86215057208246,0.9999999544808036,0.5662828683853149,0.00157232704402515,0.41785255588166964,0.9689228992585669,0.5458760190694089,14.0,0.5583333333333333
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,8,,-0.015609299372161557,0.01939184540048051,-0.010201887843678792,12,-0.008588681011422766,0.0079309011504161,-0.03646851025903923,-0.025310907368600335,22.90272272557647,0.0612591583382082,0.0062352323057502,0.3008648853197362,21.86307002184794,0.9999999113085934,0.5662779808044434,0.00157232704402515,0.4178618973445405,0.9689211424016276,0.5458711707629866,14.0,0.5479166666666666
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,16,,-0.01554351366937434,0.019409789171986734,-0.010198289081181184,12,-0.008600712851236732,0.008059200771967433,-0.03646532337660513,-0.025167219221622933,22.902690573407565,0.0612489596371277,0.0062331029049678,0.3008546385022752,21.87034171422139,0.9999960535304372,0.5669573992490768,0.00157232704402515,0.4178954612885957,0.9689129798062128,0.5459968787513024,14.0,0.5375
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,32,,-0.015469970351202645,0.019687378159484435,-0.010204058338036925,12,-0.009376278696627466,0.008955205024889466,-0.03674584116485973,-0.02471296656821283,22.907807650875576,0.0612282390308058,0.0062307648048781,0.3007511026358686,21.89678464167648,0.9999190111641542,0.5628464221954346,0.00157232704402515,0.41788181110877526,0.9689072593740864,0.5444569482719332,14.0,0.5375
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,64,,-0.010948106343692083,0.022346806692719618,-0.008890934157072499,12,-0.016904053208580832,0.01667183623291287,-0.03944751822368997,-0.0041126901754104,23.39549903490973,0.0644549501955761,0.0070442297476226,0.2731178919604211,24.731270054881183,0.949356669120086,0.572037860751152,0.001564945226917025,0.4177527667689791,0.9689273008153356,0.5495156063949193,14.0,0.5354166666666667
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,128,,-0.005405497344705974,0.018775135236124833,-0.0012895823500557243,12,-0.008821115728682001,0.006055124172693734,-0.031308654733952335,0.0124526569111167,30.282228507957488,0.1159107052750429,0.0277798697684351,0.1743588734048942,58.10135214193212,0.8241279264191899,0.5581375658512115,0.001564945226917025,0.4164867131140317,0.9690968046423154,0.49948381011545473,14.0,0.5791666666666666
