family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Gram,ses-5,0.0192873194216645,0.0222214015771529,0.0088222669120328
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Gram,ses-7,-0.0085634261278586,-0.0061072551522797,-0.0171690777266289
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,256,,Gram,ses-9,-0.0259821702692098,-0.0222281641445635,-0.0321898154641966
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Gram,ses-5,-0.0160101186619047,-0.0165748893396461,-0.0157737707179435
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Gram,ses-7,-0.0149827580769792,-0.0168583047527848,-0.0167999562391557
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,512,,Gram,ses-9,-0.0609975844055109,-0.0624282710028667,-0.0617372772749099
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Gram,ses-5,-0.022508526123265,-0.0246554475961861,-0.0265589750709097
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Gram,ses-7,-0.0260788803932347,-0.0282504479078323,-0.0293104570862052
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,1024,,Gram,ses-9,-0.047708420988605,-0.0499364586461077,-0.0455086151565225
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Gram,ses-5,-0.0178726465839369,-0.0199692956717334,-0.015034307234831
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Gram,ses-7,-0.0325846628401102,-0.0335955141044677,-0.0325276084113808
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,2048,,Gram,ses-9,-0.0397022964180341,-0.0390857623443053,-0.0397003293224257
