family,model_ref,dataset,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,rsa_lo,rsa_hi
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,ds003604,64,,Gram,ses-7,60,-0.0497218850871977,-0.0280156912807197,-0.0325882349183841,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,ds003604,128,,Gram,ses-7,60,-0.0373618378398983,-0.0121971751696171,-0.0245144724109187,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,ds003604,256,,Gram,ses-7,60,-0.0085634261278586,0.028479732356908,-0.0061926524928699,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,ds003604,512,,Gram,ses-7,60,-0.0149827580769792,-0.0175732830359503,-0.0096431639695573,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,ds003604,1024,,Gram,ses-7,60,-0.0260788803932347,-0.0355164772568874,-0.0174665376397658,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,ds003604,2048,,Gram,ses-7,60,-0.0325846628401102,-0.0342877154259076,-0.0219594842756448,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,ds003604,4096,,Gram,ses-7,60,-0.0206396641100933,-0.0160094088419213,-0.0143162372689731,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8192,ds003604,8192,,Gram,ses-7,60,-0.0210948335873092,-0.0114949846945545,-0.0139840888113875,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16384,ds003604,16384,,Gram,ses-7,60,-0.019696152868994,-0.0012646361518947,-0.012673379897992,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32768,ds003604,32768,,Gram,ses-7,60,-0.0221118739533608,-0.0230465270896869,-0.0146854330545202,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-65536,ds003604,65536,,Gram,ses-7,60,-0.0330576184106212,-0.0260072162513865,-0.0215583511384069,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-0,ds003604,0,,Gram,ses-9,60,-0.0415130219916906,-0.0298842438847478,-0.0276136730190059,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1,ds003604,1,,Gram,ses-9,60,-0.0415130219916906,-0.0298842438847478,-0.0276136730190059,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2,ds003604,2,,Gram,ses-9,60,-0.0415130219916906,-0.0298842438847478,-0.0276136730190059,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4,ds003604,4,,Gram,ses-9,60,-0.0415203450406882,-0.029887547227266,-0.0276213379834117,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-6,ds003604,6,,Gram,ses-9,60,-0.0414339681196666,-0.0298885942755316,-0.0275715157147739,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-8,ds003604,8,,Gram,ses-9,60,-0.041437101622902,-0.0298912487355116,-0.027595788102059,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-16,ds003604,16,,Gram,ses-9,60,-0.0413167257589725,-0.0299040879457535,-0.0274897560944451,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-32,ds003604,32,,Gram,ses-9,60,-0.0411734069383433,-0.0299755965372495,-0.0273045194546377,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-64,ds003604,64,,Gram,ses-9,60,-0.0358302320965612,-0.0283591229972168,-0.0240239146889461,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-128,ds003604,128,,Gram,ses-9,60,-0.0403830954403681,-0.0120563677438395,-0.0269595960563758,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-256,ds003604,256,,Gram,ses-9,60,-0.0259821702692098,0.0240781804107137,-0.0169108277203437,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-512,ds003604,512,,Gram,ses-9,60,-0.0609975844055109,-0.0197704700568129,-0.0405431904775592,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-1024,ds003604,1024,,Gram,ses-9,60,-0.047708420988605,-0.0406427658328765,-0.0318638957820339,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-2048,ds003604,2048,,Gram,ses-9,60,-0.0397022964180341,-0.0403318240910546,-0.0267373120886069,,
beetle-fineweb3-eng,Beetle-FineWeb3-24B/beetle-monolingual-fineweb3-eng@step-4096,ds003604,4096,,Gram,ses-9,60,-0.0238287891918981,-0.0213541880827589,-0.0162299233822932,,
