variant,task,session,control,n_stim,ceiling,frac_of_ceiling,within_run_normalized,rsa,p_perm,null_mean,null_sd,z,kind,p_holm,significant
corrected,Sem,ses-5,duration,72,0.8186413062162637,-0.007748687303440162,True,-0.0063433954955496325,0.7186562687462508,-3.334698408151199e-06,0.017903590785820336,-0.35412230276223106,stimulus,1.0,False
corrected,Sem,ses-5,intensity,72,0.8186413062162637,-0.012326537468933555,True,-0.010091012734691483,0.012997400519896021,3.440849816316241e-05,0.005858139493678596,-1.728436347760642,stimulus,0.1299740051989602,False
corrected,Sem,ses-5,word_length,72,0.8186413062162637,-0.0010691673992327874,True,-0.0008752645962717746,0.9566086782643471,0.00036546185427308074,0.015698339183804293,-0.07903552318106721,stimulus,1.0,False
corrected,Sem,ses-5,n_syllables,72,0.8186413062162637,-0.01541828682315739,True,-0.012622046464526573,0.45810837832433515,0.000313101232534382,0.017925981499354527,-0.7215865807294922,stimulus,1.0,False
corrected,Sem,ses-5,n_phonemes,72,0.8186413062162637,-0.005773039636708609,True,-0.004726048709033401,0.7732453509298141,-0.0003068411024821002,0.016883681759563268,-0.2617443084525344,stimulus,1.0,False
corrected,Sem,ses-5,log_frequency,72,0.8186413062162637,-0.01123043788091222,True,-0.009193700336210588,0.591881623675265,1.9551634060635837e-05,0.017993717079578073,-0.5120260549286816,stimulus,1.0,False
corrected,Sem,ses-5,run_identity,72,0.8186413062162637,-0.04328504304644041,True,-0.03543492417916518,0.0609878024395121,7.840863881806903e-05,0.019877267206345275,-1.7866305487335785,acquisition,0.1219756048790242,False
corrected,Sem,ses-5,presentation_order,72,0.8186413062162637,-0.03534249569215816,True,-0.028932826838371027,0.09338132373525294,-6.228598309015025e-05,0.018180797945975245,-1.5879688526038593,acquisition,0.1219756048790242,False
corrected,Sem,ses-5,condition,72,0.8186413062162637,0.022875438056938535,True,0.01872677849120139,0.3245350929814037,-0.00043944479575601766,0.019850831930680903,0.9655123449193637,stimulus,1.0,False
corrected,Sem,ses-5,text_edit_distance,72,0.8186413062162637,0.010216710580068273,True,0.008363821294500614,0.6570685862827434,-0.00018664256600211263,0.018984410821029314,0.4503939543164993,stimulus,1.0,False
corrected,Sem,ses-5,acoustic_spectrum,72,0.8186413062162637,0.02527778638557594,True,0.020693440064943575,0.1949610077984403,-0.0003202534997909582,0.01712050443136533,1.2273992070589552,stimulus,1.0,False
corrected,Sem,ses-5,acoustic_envelope,72,0.8186413062162637,-0.0007703171325448563,True,-0.000630613423587288,0.9698060387922416,-5.566401748089831e-05,0.015958340480035412,-0.03602814508122876,stimulus,1.0,False
