variant,task,session,control,n_stim,ceiling,frac_of_ceiling,within_run_normalized,rsa,p_perm,null_mean,null_sd,z,kind,p_holm,significant
corrected,Orth,ses-11,condition,96,0.2136862869244167,0.03238418920412305,True,0.006920057146086837,0.6374725054989002,8.876985864257332e-05,0.014846219120912107,0.4601364988181875,stimulus,1.0,False
corrected,Orth,ses-11,text_edit_distance,96,0.2136862869244167,0.008780416828516217,True,0.0018762546697342931,0.8992201559688062,-6.84241626681611e-05,0.014809988500211903,0.13130859839920342,stimulus,1.0,False
corrected,Orth,ses-11,visual_pixels,96,0.2136862869244167,-0.04261772737103912,True,-0.009106823919074433,0.5070985802839432,-8.833206849149234e-05,0.013832238675306616,-0.6519907631460125,stimulus,1.0,False
corrected,Orth,ses-11,visual_luminance,96,0.2136862869244167,-0.0816994010247479,True,-0.017458041648927267,0.21335732853429315,0.00015890856072682172,0.014062833012707047,-1.2527312379008442,stimulus,1.0,False
corrected,Orth,ses-11+,condition,96,0.1742622826215844,0.041494578200714574,True,0.007230939913676359,0.6154769046190762,-0.00018843987355482065,0.015013712833839427,0.49417355112950184,stimulus,1.0,False
corrected,Orth,ses-11+,text_edit_distance,96,0.1742622826215844,-0.0827935899461137,True,-0.014427799970445236,0.3151369726054789,-6.0113634634508186e-05,0.01441966198274588,-0.9963955016425668,stimulus,1.0,False
corrected,Orth,ses-11+,visual_pixels,96,0.1742622826215844,-0.016030833212316263,True,-0.0027935695879041387,0.8414317136572685,0.00010885502309983388,0.013811196951784026,-0.2101501137755413,stimulus,1.0,False
corrected,Orth,ses-11+,visual_luminance,96,0.1742622826215844,-0.04089776358212597,True,-0.007126937635939179,0.6102779444111178,-0.00015842272278564437,0.013925786857667525,-0.5004036744118536,stimulus,1.0,False
corrected,Orth,ses-7,condition,96,,,True,-0.010447393670955648,0.47530493901219756,0.00022021389172395284,0.015053520392964172,-0.7086453722118622,stimulus,1.0,False
corrected,Orth,ses-7,text_edit_distance,96,,,True,0.01960732419159607,0.1767646470705859,2.034154587438758e-05,0.0143660450643223,1.3634220522530605,stimulus,1.0,False
corrected,Orth,ses-7,visual_pixels,96,,,True,-0.009001895246705463,0.4377124575084983,-0.00017210569836267474,0.011859362987459742,-0.7445416382764394,stimulus,1.0,False
corrected,Orth,ses-7,visual_luminance,96,,,True,-0.019393110538148847,0.11597680463907219,-0.0001860039705470322,0.012480859586745918,-1.538924978088843,stimulus,1.0,False
corrected,Orth,ses-9,condition,96,0.165075425290524,0.06924525271594467,True,0.011430689541434377,0.4285142971405719,-5.113365107713237e-05,0.014780528725247988,0.7768208705634139,stimulus,1.0,False
corrected,Orth,ses-9,text_edit_distance,96,0.165075425290524,0.012077889519909159,True,0.001993762749110967,0.8964207158568286,-3.3993694751962453e-05,0.014716877330794843,0.13778442247949538,stimulus,1.0,False
corrected,Orth,ses-9,visual_pixels,96,0.165075425290524,-0.020936526969156117,True,-0.0034561060935399714,0.8130373925214956,4.2729385792436026e-05,0.01449909321569748,-0.2413140895806553,stimulus,1.0,False
corrected,Orth,ses-9,visual_luminance,96,0.165075425290524,-0.00889033305860605,True,-0.0014675755106237987,0.9194161167766447,-3.898852845319267e-05,0.014445170979910833,-0.09889720129020772,stimulus,1.0,False
corrected,Phon,ses-11,condition,96,0.2136862869244167,-0.017790409024934548,True,-0.0038015664474048963,0.7968406318736253,5.9118373409715995e-05,0.015039700860868779,-0.2566995750961298,stimulus,1.0,False
corrected,Phon,ses-11,text_edit_distance,96,0.2136862869244167,0.008780416828516217,True,0.0018762546697342931,0.8992201559688062,-6.84241626681611e-05,0.014809988500211903,0.13130859839920342,stimulus,1.0,False
corrected,Phon,ses-11,visual_pixels,96,0.2136862869244167,-0.04261772737103912,True,-0.009106823919074433,0.5070985802839432,-8.833206849149234e-05,0.013832238675306616,-0.6519907631460125,stimulus,1.0,False
corrected,Phon,ses-11,visual_luminance,96,0.2136862869244167,-0.0816994010247479,True,-0.017458041648927267,0.21335732853429315,0.00015890856072682172,0.014062833012707047,-1.2527312379008442,stimulus,1.0,False
corrected,Phon,ses-11+,condition,96,0.1742622826215844,-0.00874214144664615,True,-0.0015234255234933183,0.9176164767046591,-4.3710317047695545e-05,0.01496912217822136,-0.09885116767231786,stimulus,1.0,False
corrected,Phon,ses-11+,text_edit_distance,96,0.1742622826215844,-0.0827935899461137,True,-0.014427799970445236,0.3151369726054789,-6.0113634634508186e-05,0.01441966198274588,-0.9963955016425668,stimulus,1.0,False
corrected,Phon,ses-11+,visual_pixels,96,0.1742622826215844,-0.016030833212316263,True,-0.0027935695879041387,0.8414317136572685,0.00010885502309983388,0.013811196951784026,-0.2101501137755413,stimulus,1.0,False
corrected,Phon,ses-11+,visual_luminance,96,0.1742622826215844,-0.04089776358212597,True,-0.007126937635939179,0.6102779444111178,-0.00015842272278564437,0.013925786857667525,-0.5004036744118536,stimulus,1.0,False
corrected,Phon,ses-7,condition,96,,,True,0.0030271917937306843,0.8204359128174366,0.0002079935666169948,0.014623324011910526,0.1927877837230918,stimulus,1.0,False
corrected,Phon,ses-7,text_edit_distance,96,,,True,0.01960732419159607,0.1767646470705859,2.034154587438758e-05,0.0143660450643223,1.3634220522530605,stimulus,1.0,False
corrected,Phon,ses-7,visual_pixels,96,,,True,-0.009001895246705463,0.4377124575084983,-0.00017210569836267474,0.011859362987459742,-0.7445416382764394,stimulus,1.0,False
corrected,Phon,ses-7,visual_luminance,96,,,True,-0.019393110538148847,0.11597680463907219,-0.0001860039705470322,0.012480859586745918,-1.538924978088843,stimulus,1.0,False
corrected,Phon,ses-9,condition,96,0.165075425290524,0.051007944501732266,True,0.008420158131818898,0.5660867826434713,-4.163623250842501e-05,0.014611413576434055,0.5791222265719563,stimulus,1.0,False
corrected,Phon,ses-9,text_edit_distance,96,0.165075425290524,0.012077889519909159,True,0.001993762749110967,0.8964207158568286,-3.3993694751962453e-05,0.014716877330794843,0.13778442247949538,stimulus,1.0,False
corrected,Phon,ses-9,visual_pixels,96,0.165075425290524,-0.020936526969156117,True,-0.0034561060935399714,0.8130373925214956,4.2729385792436026e-05,0.01449909321569748,-0.2413140895806553,stimulus,1.0,False
