family,model_ref,step,tokens,brain_rsa_mean,brain_rsa_std,brain_rsa_pearson_mean,brain_n_cells,brain_rsa_Sem,brain_rsa_Phon,brain_rsa_Gram,brain_rsa_Plaus,interp_norm,interp_gini,interp_hoyer,interp_per,interp_condition_number,interp_cka_to_prev,loc_selectivity,loc_overlap,loc_gini,loc_entropy,loc_layer_com,loc_n_active_layers,behav_mp_accuracy
pico-decoder-large,pico-lm/pico-decoder-large@daa12d1eb44fa1ea4cc31aa35a8cb029917302e9,0,,-0.012294699892286922,0.023096742993355523,-0.006458152361817858,12,-0.005136483657242533,0.0149334335989046,-0.018530837351574198,-0.04044491215923557,31.51614004179943,0.0567555698975875,0.0052287249308477,0.3912958578599277,17.07634624798068,,0.5406897515058517,0.0045813185520888495,0.4174284050651509,0.970631227753755,0.4722167783237293,12.0,0.5270833333333333
pico-decoder-large,pico-lm/pico-decoder-large@70ace66cdec9f20ba70c65109b42b9c263e0139b,1000,,-0.012077823832064273,0.033118897826137556,-0.005985792980047674,12,-0.006976256619690233,0.0305609821179622,-0.017502196387218966,-0.054393824439310096,36.69386199134558,0.0795606192973125,0.0118752991100623,0.3562492250397215,20.16418158282387,0.9323971616461978,0.5360496044158936,0.006851878702530725,0.41588917143472764,0.970874939553007,0.5010765058895142,12.0,0.5958333333333333
pico-decoder-large,pico-lm/pico-decoder-large@b7e416710019991ae8f34506fbea7a6ac31a8252,2000,,-0.004093171995881391,0.02413522115994885,-0.0009869341659150424,12,0.0031892450390366,0.019312093877124004,-0.0358094964418643,-0.0030645304578218666,293.6266435696888,0.2851786414017176,0.1284415421870184,0.028009789575499,227.77461557039388,0.2924214932105327,0.46261802315711975,0.0022731446325496,0.38360666388866826,0.9749408826428575,0.46155911849801323,11.5,0.5770833333333333
pico-decoder-large,pico-lm/pico-decoder-large@d43df3f024539a5db7dfcab339e807d4842bcffd,3000,,-0.008208752140132078,0.028858568902044256,-0.005579443417380366,12,-0.013620398385836266,0.031273411764836605,-0.00836110814444788,-0.04212691379508077,67.73485868528991,0.1702370905785399,0.0611365849961148,0.1480665477519423,37.56439996831142,0.327175507830092,0.5426554977893829,0.0027297588382146,0.4187815491266218,0.9704879364723012,0.5284124562065502,12.0,0.6604166666666667
pico-decoder-large,pico-lm/pico-decoder-large@23e4297bb64e81b073da327cba679d797ca4fe1d,4000,,-0.017892671344892093,0.01834426181030214,-0.0067473314977726665,12,-0.0202005442454668,-0.022574690524912202,-0.018502575229852002,-0.010292875379337367,78.15689012996887,0.1873034910240694,0.079659857450144,0.1843282271434383,36.63879781966305,0.8123182795268583,0.5502016842365265,0.006422994472199725,0.41836537011305835,0.970514776487392,0.5210627615936426,12.0,0.6958333333333334
pico-decoder-large,pico-lm/pico-decoder-large@cab5aa27e02bdec8e8bf68239ae1e6758956e134,5000,,-0.03156952054986247,0.02119696399380259,-0.025950766336169665,12,-0.0396655279320404,-0.037931196754388365,-0.010610511908265367,-0.03807084560475573,125.58682244481524,0.199152359253168,0.119350626893206,0.1113923884352057,49.98383314204005,0.7349788516085001,0.543920025229454,0.0036430076462482,0.4144953572125014,0.9710367783445544,0.49408038717933034,12.0,0.6708333333333334
pico-decoder-large,pico-lm/pico-decoder-large@e556a1a2b5a081ce269a811dfdfa329e230c674f,7000,,-0.0172347112262719,0.01813367197276643,-0.010625055490604385,12,-0.021187064564201233,0.003047314650144233,-0.0210463652748345,-0.029752729716196098,145.14589689819812,0.2104384550671872,0.235560593562357,0.1484236537374769,49.07611743817475,0.817836111819597,0.5394911840558052,0.006387737889080025,0.4151023584234751,0.9709342145458689,0.5155390488634308,12.0,0.6854166666666667
pico-decoder-large,pico-lm/pico-decoder-large@1eb202826693ab699be3043f3579cbde8211a5ef,8000,,-0.01372738701939995,0.03465957684267242,-0.005354982117280876,12,-0.0433054338684874,0.02534694436739343,-0.014382364718810799,-0.022568693857695037,169.14095223644236,0.2168580531465753,0.3240570329459531,0.1312397314370058,58.175337298509625,0.853810218142876,0.5361893400549889,0.00547446846020315,0.4172937828842979,0.9706547195262426,0.54176754650227,12.0,0.6854166666666667
pico-decoder-large,pico-lm/pico-decoder-large@94cc0caf8c3cb477f0dc32aa92a7b8e182f710bf,10000,,-0.0018728711781221235,0.03426900811643206,0.0001747093077371986,12,-0.028581093040343553,0.04939801486476323,-0.014833730567444635,-0.013474675969463534,216.43840961490864,0.212719972451452,0.4762753190819762,0.1226496766123476,58.37817145403756,0.8332732183265966,0.5483131110668182,0.00547699107669385,0.4167930394739163,0.9707218913533363,0.5585069613393907,12.0,0.7374999999999999
pico-decoder-large,pico-lm/pico-decoder-large@10d61c2f23ed2b432c011ff4735614817452abfc,13000,,-0.019089466462049776,0.016940756004483682,-0.01825753903465423,12,-0.025519156647101065,-0.014942469036555833,-0.0186903134785959,-0.0172059266859463,270.5171806793705,0.2192312104707646,0.5890014871105363,0.0931577641044599,58.85025645875572,0.805081075441315,0.5466934144496918,0.0050253604656202,0.41812727202620875,0.9705402323793327,0.5806096786093486,12.0,0.7625
