family,model_ref,step,task,session,layer,rsa_raw,rsa_normalised,ceiling_lower_raw,ceiling_lower_norm,n_stim,n_subjects,frac_of_ceiling_raw,frac_of_ceiling_norm
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,0,-0.018891316516000446,-0.006267967656146618,0.7736930677008351,0.848992996375139,72,43,-0.02441706835003616,-0.0073828261044653325
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,1,-0.018009516967551233,-0.0028889307580338267,0.7736930677008351,0.848992996375139,72,43,-0.023277340484734697,-0.003402773368412233
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,2,0.034089380645217986,0.02172670727561717,0.7736930677008351,0.848992996375139,72,43,0.044060599827423254,0.025591150184255382
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,3,0.03285508117483776,0.0061908253315723855,0.7736930677008351,0.848992996375139,72,43,0.042465265033939624,0.007291962781795299
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,4,0.017601435450302242,-0.004087749128314118,0.7736930677008351,0.848992996375139,72,43,0.022749894221759024,-0.004814820788589746
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,5,0.010676232406897117,-0.007024173423545758,0.7736930677008351,0.848992996375139,72,43,0.013799053982250892,-0.008273535180544684
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,6,0.010805606124483133,-0.002399776069660867,0.7736930677008351,0.848992996375139,72,43,0.013966269798169305,-0.0028266146834036937
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,7,0.0076115029807009345,-0.007959025028034139,0.7736930677008351,0.848992996375139,72,43,0.00983788442530557,-0.009374665117399079
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,8,-0.0069457914810010886,-0.008360904143716262,0.7736930677008351,0.848992996375139,72,43,-0.008977450840604955,-0.00984802487112848
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,9,-0.015595576196548161,-0.013332997450759778,0.7736930677008351,0.848992996375139,72,43,-0.020157316702982948,-0.0157044846161115
