family,model_ref,step,task,session,layer,rsa_raw,rsa_normalised,ceiling_lower_raw,ceiling_lower_norm,n_stim,n_subjects,frac_of_ceiling_raw,frac_of_ceiling_norm
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,10,-0.018700711419627713,-0.01602710769270227,0.7736930677008351,0.848992996375139,72,43,-0.024170710841703885,-0.018877785518999116
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,11,-0.016374934434539513,-0.014790824114950226,0.7736930677008351,0.848992996375139,72,43,-0.021164638948104456,-0.017421609104081113
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,12,-0.010285726875921152,-0.017112816133168687,0.7736930677008351,0.848992996375139,72,43,-0.013294324720379098,-0.02015660459654388
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,Phon,ses-5,13,-0.008174196118794939,-0.019162257480286906,0.7736930677008351,0.848992996375139,72,43,-0.010565166549942084,-0.022570571915318607
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,0,0.021302972796842342,0.004397223168074687,0.7736930677008351,0.848992996375139,72,43,0.02753413942320547,0.0051793397434950275
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,1,0.005044884392886732,0.005495447079018291,0.7736930677008351,0.848992996375139,72,43,0.006520524227880822,0.00647290036841488
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,2,0.002571707848374572,0.006918589591705448,0.7736930677008351,0.848992996375139,72,43,0.0033239380779471806,0.008149171572963573
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,3,-0.0008806885633000551,0.008957636831968933,0.7736930677008351,0.848992996375139,72,43,-0.0011382919145407051,0.010550896026486041
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,4,-0.0017783128232431863,0.012194559614236062,0.7736930677008351,0.848992996375139,72,43,-0.0022984732544234308,0.014363557374798096
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,5,-0.0029693241154766154,0.012789424611413271,0.7736930677008351,0.848992996375139,72,43,-0.003837857981977897,0.015064228640305639
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,6,-0.004415917325688002,0.012492813853780722,0.7736930677008351,0.848992996375139,72,43,-0.005707582903399505,0.014714860908299652
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,7,-0.0006418131024680323,0.010115458700454728,0.7736930677008351,0.848992996375139,72,43,-0.0008295448534588693,0.01191465506034054
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,8,0.0030072485205617644,0.006852325004649195,0.7736930677008351,0.848992996375139,72,43,0.003886875359370004,0.008071120767669328
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,9,0.0002560885444528316,0.005087923928820331,0.7736930677008351,0.848992996375139,72,43,0.0003309950097056494,0.005992892698224525
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,10,0.002338444084198287,-0.0025348484368153297,0.7736930677008351,0.848992996375139,72,43,0.003022444147195715,-0.0029857118346536663
babylm-gpt2-3,BrainAlign/gpt2-babylm-3@checkpoint-09,1908,Phon,ses-5,11,-0.0038568604003072797,-0.00665180727622764,0.7736930677008351,0.848992996375139,72,43,-0.004985000591731574,-0.00783493774934328
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,0,-0.033621661646375575,-0.0005797186621262441,0.7736930677008351,0.848992996375139,72,43,-0.04345607198767885,-0.0006828309121528814
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,1,-0.03606035956445085,-0.0033902875989505732,0.7736930677008351,0.848992996375139,72,43,-0.04660809443673903,-0.003993304554249266
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,2,-0.037660807689580945,-0.0017566888555049587,0.7736930677008351,0.848992996375139,72,43,-0.04867667717573928,-0.0020691441072014944
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,3,-0.038689787618624565,-0.002615248980449252,0.7736930677008351,0.848992996375139,72,43,-0.05000663600825333,-0.0030804129028334983
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,4,-0.029788140557629964,-0.0035703203709284773,0.7736930677008351,0.848992996375139,72,43,-0.03850123750772468,-0.004205359038498927
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,5,-0.036900615023341236,-0.0033210615825284232,0.7736930677008351,0.848992996375139,72,43,-0.047694126474466025,-0.003911765581940051
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,6,-0.02481811687363274,-0.00438549386690745,0.7736930677008351,0.848992996375139,72,43,-0.03207747091153878,-0.005165524198234564
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,7,-0.007447510505950937,-0.011856759764886652,0.7736930677008351,0.848992996375139,72,43,-0.009625923789239217,-0.013965674411344121
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,8,0.005310286241047897,-0.018615427859118933,0.7736930677008351,0.848992996375139,72,43,0.006863556703213518,-0.02192647988687701
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,9,0.0032800039981092984,-0.018276921607181154,0.7736930677008351,0.848992996375139,72,43,0.004239412416937386,-0.021527764875819127
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,10,-0.0009842006162367296,-0.017814692858364328,0.7736930677008351,0.848992996375139,72,43,-0.0012720814717410544,-0.020983321340018058
pico-decoder-large,pico-lm/pico-decoder-large@dc35be996509151e2b2a2066a545a54a6e4900cb,125000,Phon,ses-5,11,-0.06000635094013758,-0.0030273899770692594,0.7736930677008351,0.848992996375139,72,43,-0.07755834121463308,-0.003565859777400998
