task,session,n_stim,group_rdm_effective_rank,subject_rdm_rank_median,subject_rdm_rank_min,subject_rdm_rank_max,ceiling
Orth,ses-11,96,58,51,37,55,0.39570130848710416
Orth,ses-11+,96,59,55,43,55,0.527508409316547
Phon,ses-11,96,58,51,37,55,0.39570130848710416
Phon,ses-11+,96,59,55,43,55,0.527508409316547
Sem,ses-11,72,48,41,38,44,0.18547822688106827
Sem,ses-11+,72,49,46,40,47,0.313564737622646
SemLocal,ses-11,48,36,34,30,34,0.21646061921350537
SemLocal,ses-11+,48,36,35,30,35,0.20851870268800318
