family,model_ref,step,tokens,task,session,rsa_intact,rsa_circuit_ablated,rsa_random_ablated
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-5,-0.0148826699152814,-0.0184580966518144,-0.0144631245611736
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-7,-0.019347847105016,-0.0239891085659921,-0.0189107385518349
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2000,2000,,Gram,ses-9,-0.0423606908814152,-0.0462876715783049,-0.0360941431832771
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-5,-0.0074259125169068,-0.0103345760750178,-0.0077627987390527
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-7,-0.0209270072223841,-0.0232629473234788,-0.0192098128250641
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2500,2500,,Gram,ses-9,-0.0423685051633094,-0.0428426531097063,-0.0417008395878921
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-5,-0.0143623482406161,-0.0150762546289706,-0.0152411162843429
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-7,-0.0201510193831899,-0.0199160585770559,-0.0193170271097964
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4000,4000,,Gram,ses-9,-0.0381606452865627,-0.0365437273208172,-0.0390760155911478
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-5,-0.0200590138420611,-0.0203027973641416,-0.0170786908736355
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-7,-0.0299964151359653,-0.0312907575542165,-0.0266398943295282
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-5500,5500,,Gram,ses-9,-0.0378349319077898,-0.0386741113408899,-0.0378523306412237
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-5,-0.0250325023867399,-0.026648377294088,-0.0251203270381927
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-7,-0.0288870402975062,-0.0297801882645748,-0.0290698546758346
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-7500,7500,,Gram,ses-9,-0.0384419832389929,-0.0355505972291078,-0.0387666925117566
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-5,-0.0198300257354642,-0.0193226600579467,-0.0193959814368282
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-7,-0.0318491313841929,-0.0325905944232374,-0.0341688045351356
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-9500,9500,,Gram,ses-9,-0.0417210061049158,-0.0408906169274387,-0.0420848733480136
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-0,0,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-1,1,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-2,2,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-4,4,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-6,6,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-5,-0.0274917586873711,-0.0164036224281614,-0.0259593824763672
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-7,-0.034770538144139,-0.0208257852725631,-0.0299288519289664
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-8,8,,Phon,ses-9,-0.0154356949417453,-0.0051863567818642,-0.011791577418215
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-5,-0.0275100590417104,-0.0163788077915601,-0.0259460183167172
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-7,-0.0347965622167079,-0.0208101984239957,-0.0299214975809609
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-16,16,,Phon,ses-9,-0.0154573203467217,-0.0051562516713508,-0.0117686779015506
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-5,-0.0274656728135585,-0.016338428583584,-0.025887751960392
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-7,-0.0347339410285561,-0.0207296591868729,-0.0298530555779914
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-32,32,,Phon,ses-9,-0.0154091354979369,-0.0051228351639634,-0.0117331651822097
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-5,-0.0273878219305385,-0.0154631821228289,-0.0304938597392244
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-7,-0.0346333551926488,-0.0196381845466414,-0.0299851011214406
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-64,64,,Phon,ses-9,-0.015264406327138,-0.0045765516933215,-0.0172329836212942
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-5,-0.0249341077474718,-0.0262854587735023,-0.0218982452510567
beetle-humanscale-eng,Beetle-HumanScale/beetle-monolingual-humanscale-eng@step-256,256,,Phon,ses-7,-0.0301939979487233,-0.0295862164916036,-0.0257984728776133
