family,n_cells,trend_rho_mean,trend_rho_sd,t,p
pythia-160m-full,8,0.46833389933514935,0.4960181816327169,2.67056401028973,0.0319735350290149
pythia-70m-full,8,0.39330953682029535,0.41684346012585866,2.668741311253869,0.032058137488414136
babylm-gpt2,8,0.37083333333333335,0.3303137037077676,3.1753906876597457,0.015590361281778566
pico-decoder-large,8,0.3084415584415584,0.3387430970031624,2.5754162313954003,0.036716805427714945
pythia-1b-full,8,0.24585905811144806,0.42600756553548846,1.6323522986096823,0.14662448671193193
beetle-fineweb3-eng,8,0.20694232310637,0.35346320918662616,1.6559609733611667,0.14170079752048684
pico-decoder-medium,8,0.19350649350649352,0.24365005044806243,2.246332451160144,0.059519253241325565
pico-decoder-small,8,0.10811688311688313,0.2734619929370269,1.118256769675579,0.3003598481398205
babylm-gpt2-3,8,0.06250000000000003,0.6494655922799571,0.2721879301966716,0.7933312195746842
pythia-410m-full,8,0.01883728582624039,0.42461146131121796,0.1254791616387479,0.9036719753071756
pico-decoder-tiny,8,-0.07045454545454546,0.18323954101955153,-1.0875138974728014,0.312831060504868
babylm-gpt2-7,8,-0.11666666666666661,0.6303186395003619,-0.5235180175145885,0.6167732657512897
beetle-humanscale-eng,8,-0.23703431338373854,0.3136400152560922,-2.1375916619655,0.06988239040970234
babylm-gpt2-5,8,-0.29583333333333334,0.4665603620417957,-1.7934293019284044,0.11599437407155852
pythia-1.4b-full,8,-0.3910360712895422,0.378461388296108,-2.9224038831781143,0.022263685942036586
