family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
pythia-160m-full,212654688.0,21,84,4,0.006463692508217912,0.0029720213169386516,0.008695885946825094,0.0276561143951837,0.0276561143951837,Orth/ses-7,1000,0.02356403967610427,0.15024756677911869,0.00843671506123945,,,,False,4.366497841256704e-05,True,0.7661385339317507
beetle-humanscale-eng,193811712.0,18,72,4,0.004394655694775772,0.0025967690597514014,0.011017561289078819,0.0210635211902419,-0.0210635211902419,Orth/ses-7,500,0.012998823060876146,0.08046867159322056,0.00843671506123945,,,,False,2.537100856201353e-05,True,0.5208965412339227
pythia-1b-full,1078891008.0,21,84,4,0.0029892262906011215,0.002507139621999821,0.007739255374680935,0.0179988610918196,-0.0179988610918196,Orth/ses-9,256,0.03126128153114812,0.1090340895843221,0.00843671506123945,,,,False,2.0853720114767704e-05,True,0.3543116330115776
pythia-1.4b-full,1515311488.0,21,84,4,0.0029331667666749575,0.0002936182591285544,0.00959571951478672,0.021313802918515,0.021313802918515,Orth/ses-9,4,0.0162282426204249,0.12911545263584298,0.00843671506123945,,,,False,3.346106762970751e-08,True,0.3476669231311033
beetle-fineweb3-eng,193804032.0,19,76,4,0.0010827379939177552,0.009709068672485967,0.010434628834546506,0.0214229229110868,0.0214229229110868,Orth/ses-9,4096,0.05749512118600467,0.12977648329688418,0.00843671506123945,,,,False,0.0010406621205993794,True,0.1283364420936943
pythia-70m-full,95592496.0,21,84,4,0.0006818123973612941,0.00038688936133071086,0.011657563577967676,0.0326735745887345,0.0326735745887345,Orth/ses-9,64,0.006160018739141384,0.19793104911328327,0.00843671506123945,,,,False,6.653738798312368e-08,True,0.0808149134363592
babylm-gpt2,134601216.0,9,36,4,9.10065756181057e-05,0.010022004786448345,0.009876794483475723,0.0152151786559032,-0.0152151786559032,Orth/ses-7,598,0.05312911518147616,0.0872292777156052,0.00843671506123945,,,,False,0.001076806672513704,True,0.010786968026953347
pythia-410m-full,505997504.0,21,84,4,-0.0016246162302664547,0.006697265668727623,0.009827217660208717,0.0238146031331438,-0.0238146031331438,Orth/ses-9,114000,-0.04497709646581119,0.14426488199380705,0.00843671506123945,,,,False,0.00035952475737163433,True,-0.1925650230538638
babylm-gpt2-7,134601216.0,9,36,4,-0.021488982812473557,0.016699811277485162,0.01730648165952451,0.0484106010852565,-0.0484106010852565,Orth/ses-9,573,-0.2177878313546779,0.29326332308657854,0.00843671506123945,,,,False,0.021005438661984267,True,-2.5470793616344536
babylm-gpt2-3,134601216.0,9,36,4,-0.021597606637678485,0.015319832312002379,0.016070636436146125,0.0492696205009506,-0.0492696205009506,Orth/ses-9,573,-0.21120615957507988,0.2984671190072011,0.00843671506123945,,,,False,0.017045208665061956,True,-2.5599544942442978
babylm-gpt2-5,134601216.0,9,36,4,-0.022349010277082738,0.01687215047563608,0.01770941805910935,0.0485576090026551,-0.0485576090026551,Orth/ses-9,573,-0.22390186614910823,0.2941538724582012,0.00843671506123945,,,,False,0.023253025080073302,True,-2.6490180259565874
