variant,task,session,control,n_stim,ceiling,frac_of_ceiling,within_run_normalized,rsa,p_perm,null_mean,null_sd,z,kind,p_holm,significant
corrected,Phon,ses-11,condition,96,0.33554943070904203,-0.010885497870453198,True,-0.00365262261341506,0.7968406318736253,-6.68623198710687e-05,0.014827726900346798,-0.24182805074581576,stimulus,1.0,False
corrected,Phon,ses-11,text_edit_distance,96,0.33554943070904203,0.032970684959890244,True,0.011063294568378346,0.46450709858028394,-2.6287489010218435e-06,0.014915608675818166,0.7419022285344629,stimulus,1.0,False
corrected,Phon,ses-11,visual_pixels,96,0.33554943070904203,-0.0056663112798397385,True,-0.0019013275241704475,0.9004199160167966,8.502047015323778e-05,0.015021692721171112,-0.13223196819836125,stimulus,1.0,False
corrected,Phon,ses-11,visual_luminance,96,0.33554943070904203,-0.08422783428655055,True,-0.028262601844707566,0.060387922415516895,-8.020909152950859e-05,0.015056731987269464,-1.871746988332837,stimulus,0.9058188362327534,False
corrected,Phon,ses-11+,condition,96,0.26161316543918917,0.1215268006625387,True,0.0317930110070241,0.03579284143171366,-0.00013840194262017532,0.014992577379619527,2.129814783608927,stimulus,0.5726854629074185,False
corrected,Phon,ses-11+,text_edit_distance,96,0.26161316543918917,0.048872527506209226,True,0.012785696623913238,0.3807238552289542,4.885313202079039e-05,0.014650709682086281,0.8693669977364084,stimulus,1.0,False
corrected,Phon,ses-11+,visual_pixels,96,0.26161316543918917,0.020006254811817666,True,0.005233899649902629,0.7278544291141772,1.1766200464408527e-05,0.014776374874040182,0.35341100192708935,stimulus,1.0,False
corrected,Phon,ses-11+,visual_luminance,96,0.26161316543918917,-0.018413201574545287,True,-0.004817135949786655,0.7428514297140572,1.7343870809182538e-05,0.014678313034388385,-0.3293620873829469,stimulus,1.0,False
corrected,Phon,ses-7,condition,96,,,True,-0.0007067334941665281,0.9676064787042592,0.0004027639196448309,0.014901273808126916,-0.07445654834768557,stimulus,1.0,False
corrected,Phon,ses-7,text_edit_distance,96,,,True,0.00934278515339691,0.5150969806038792,0.00022159012703972336,0.014303859541338728,0.6376736991410531,stimulus,1.0,False
corrected,Phon,ses-7,visual_pixels,96,,,True,-0.0006632700309663249,0.9604079184163168,3.7708137641679804e-05,0.012897248192484358,-0.05435098697737213,stimulus,1.0,False
corrected,Phon,ses-7,visual_luminance,96,,,True,-0.014191638190661044,0.26974605078984204,0.00017522434680839112,0.012972405219477965,-1.107494122584932,stimulus,1.0,False
corrected,Phon,ses-9,condition,96,0.1839706649248419,0.06063897854634163,True,0.011155793203533692,0.4437112577484503,-6.955950277624662e-05,0.014712299875989458,0.7629910211296587,stimulus,1.0,False
corrected,Phon,ses-9,text_edit_distance,96,0.1839706649248419,-0.05701714173581949,True,-0.010489481477252666,0.48370325934813035,-9.910319551109474e-05,0.014925186964099056,-0.6961640283661674,stimulus,1.0,False
corrected,Phon,ses-9,visual_pixels,96,0.1839706649248419,-0.05048393859064588,True,-0.009287563750546008,0.5422915416916617,-0.00017555692881610714,0.015100543058622518,-0.603422458765379,stimulus,1.0,False
corrected,Phon,ses-9,visual_luminance,96,0.1839706649248419,-0.03850705232798912,True,-0.00708416802107584,0.6234753049390122,7.18205202918369e-05,0.014724554142123819,-0.4859901679745891,stimulus,1.0,False
