dataset,family,model_ref,step,tokens,task,session,n_stim,rsa,rsa_pearson,rsa_kendall,repo,ceiling_lower,ceiling_upper,ceiling_n_stim,ceiling_n_subjects,frac_of_ceiling,seed_null_sd,params
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Phon,ses-9,96,0.023597409142972,0.0260417184492327,0.0158114083189988,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-09,1908,,Phon,ses-9,96,0.0225176737777509,0.0257744177073918,0.0150969934157613,BrainAlign/gpt2-babylm-5,,,96,,,0.008728626502912,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-01,191,,Sem,ses-9,72,0.0339139729058532,0.003863033153509,0.0228947505428308,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-02,382,,Sem,ses-9,72,0.0053813634203059,-0.0082715225968122,0.0034594170808718,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-03,573,,Sem,ses-9,72,0.0219724175228357,0.0040864020396246,0.0143870835362249,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-04,764,,Sem,ses-9,72,0.0364095100026947,0.0100764133988697,0.0242790073775989,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-05,1146,,Sem,ses-9,72,0.0432130034013572,0.0158087775831538,0.0285671410502589,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-06,1337,,Sem,ses-9,72,0.0469883529915005,0.0164189193396474,0.0310698284072777,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-07,1528,,Sem,ses-9,72,0.047836677105795,0.0146199090266325,0.0316896814678022,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
ds002236,babylm-gpt2-5,BrainAlign/gpt2-babylm-5@checkpoint-08,1719,,Sem,ses-9,72,0.0489715642452799,0.0161581153386725,0.0322880969224785,BrainAlign/gpt2-babylm-5,,,72,,,0.0084082983710845,134601216
