family,rsa_mean,rsa_sd,mean_in_seed_sd,rsa_abs_max,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,frac_of_ceiling_abs_max,p_equivalence_tost,equivalent_to_zero
pythia-1b-full,0.020063661824553495,0.007782211580960891,2.341570844486576,0.0488794669076058,,,,False,,,False
pythia-1.4b-full,0.017744882062133826,0.010141234922783175,2.0709528917944713,0.0700096389227635,,,,False,,,False
babylm-gpt2-3,0.014732877575624977,0.021543159963537693,1.7194307244680271,0.0461591930117194,,,,False,0.1699572324643214,0.005111142201431678,True
babylm-gpt2-7,0.01427465851656322,0.02203744985988593,1.6659533284438366,0.0480260239001003,,,,False,0.1607129597786645,0.005313234849882137,True
babylm-gpt2-5,0.013400667424923721,0.02210565252186922,1.5639524037661903,0.0489715642452799,,,,False,0.15775905393842063,0.004886103879693492,True
pythia-410m-full,0.013390975174145517,0.021833946682208134,1.5628212497406615,0.0398330538569705,,,,False,0.09981710153515784,0.004645228052984366,True
babylm-gpt2,0.01129487159527132,0.02093708651955171,1.318191178209588,0.0409570799825668,,,,False,0.167881846442846,0.0031178184429697365,True
pico-decoder-medium,0.010434270257683724,0.01903017298128271,1.2177529322681042,0.065950652207416,,,,False,0.27032975181345126,0.0018966628801052627,True
beetle-humanscale-eng,0.009111340880770844,0.009990662411294558,1.0633577433249248,0.0485944186604328,,,,False,0.20047812407625246,8.445648191194711e-05,True
pico-decoder-large,0.008652539934057034,0.01989221358402799,1.00981243690767,0.0633954746817695,,,,False,0.25985615552247093,0.0018987448336657197,True
pythia-160m-full,0.007326817476610339,0.010790918041028894,0.8550912757665201,0.059200278539159,,,,False,0.24266017194866302,9.955377473608983e-05,True
pico-decoder-small,0.006899961610182405,0.0189588928012962,0.8052741855281609,0.0573008863271615,,,,False,0.22430387202536536,0.0012856288073083096,True
pythia-70m-full,0.006834566722583173,0.012807099948197212,0.7976421409133815,0.044619430846559,,,,False,0.1797736529842538,0.00021257562719457235,True
beetle-fineweb3-eng,0.0028761316449102173,0.00694338692203132,0.3356648483969779,0.0399457820497649,,,,False,0.11520643474521554,7.192120149375248e-06,True
pico-decoder-tiny,0.0016294664356052836,0.016220456585612237,0.1901702257069271,0.0581302198613596,,,,False,0.23827403341760517,0.00037655308856484373,True
