task,session,file,within_run_normalized,n_stim,n_subjects_rdm,ceiling_lower,ceiling_upper,ceiling_lower_sem,ceiling_n
Phon,ses-11+,data/processed/fmri_wrn/ds002236/roi-auditory/Phon/session_rdm_ses-11+.npz,True,96,3,0.24396372121455254,0.6526720804025842,0.019723733983198908,3.0
Phon,ses-11,data/processed/fmri_wrn/ds002236/roi-auditory/Phon/session_rdm_ses-11.npz,True,96,1,,,,
Phon,ses-9,data/processed/fmri_wrn/ds002236/roi-auditory/Phon/session_rdm_ses-9.npz,True,96,2,,,,
Sem,ses-11+,data/processed/fmri_wrn/ds002236/roi-auditory/Sem/session_rdm_ses-11+.npz,True,72,3,0.23977898103222114,0.6551660748106343,0.010923627747040256,3.0
Sem,ses-11,data/processed/fmri_wrn/ds002236/roi-auditory/Sem/session_rdm_ses-11.npz,True,72,1,,,,
Sem,ses-9,data/processed/fmri_wrn/ds002236/roi-auditory/Sem/session_rdm_ses-9.npz,True,72,2,,,,
