family,task,session,n_checkpoints,rsa_mean,rsa_sd,rsa_min,rsa_max,ceiling,seed_null_sd,frac_of_ceiling_max,mean_in_seed_sd
babylm-gpt2,Phon,ses-9,9,0.027875034807896024,0.005898447097147111,0.0152496815562277,0.0354055795576422,,0.008728626502912,,3.193519025999852
babylm-gpt2,Sem,ses-9,9,0.02218973249395118,0.005995409587170815,0.0139387444971696,0.0312984867810966,,0.0084082983710845,,2.63902772173975
babylm-gpt2-3,Phon,ses-9,9,0.027137249113219453,0.004846120329273735,0.0197537415999484,0.03438758282752,,0.008728626502912,,3.1089941933208003
babylm-gpt2-3,Sem,ses-9,9,0.03539097743816679,0.014467544805508577,0.0051954437205518,0.0461591930117194,,0.0084082983710845,,4.209053470304251
babylm-gpt2-5,Phon,ses-9,9,0.023203690349907168,0.003095414468334035,0.0199547576611133,0.0298343800036985,,0.008728626502912,,2.6583438232998136
babylm-gpt2-5,Sem,ses-9,9,0.036955365894964204,0.014805406911443572,0.0053813634203059,0.0489715642452799,,0.0084082983710845,,4.395106389427248
babylm-gpt2-7,Phon,ses-9,9,0.026203294637430954,0.005405499464697791,0.0159373506696637,0.0309715471371236,,0.008728626502912,,3.001995174004655
babylm-gpt2-7,Sem,ses-9,9,0.03711668566553869,0.014637560865668559,0.0061482054692009,0.0480260239001003,,0.0084082983710845,,4.414292170361146
beetle-fineweb3-eng,Phon,ses-9,19,-0.006501340879361772,0.021506862304811268,-0.0280756725334459,0.0399457820497649,,0.008728626502912,,-0.7448297710061059
beetle-fineweb3-eng,Sem,ses-9,19,0.013573428192463243,0.014292314543658558,-0.0192987455270945,0.0375168819349506,,0.0084082983710845,,1.6142895498500902
beetle-humanscale-eng,Phon,ses-9,18,0.010198911565967039,0.016343073394303215,-0.0228481531364785,0.0485944186604328,,0.008728626502912,,1.1684440344153264
beetle-humanscale-eng,Sem,ses-9,18,0.014484932790702239,0.014313653602541415,-0.0213823392475722,0.0450909405481341,,0.0084082983710845,,1.7226949082248109
pythia-1.4b-full,Phon,ses-9,21,0.024915818045639644,0.02499105815794893,-0.018002852325144,0.0700096389227635,,0.008728626502912,,2.854494694821385
pythia-1.4b-full,Sem,ses-9,21,0.01057394607862801,0.016337756148697938,-0.0135340670786603,0.0393560776067106,,0.0084082983710845,,1.2575607586656306
pythia-160m-full,Phon,ses-9,21,0.015304009998099949,0.017732428409754836,-0.0151823040400684,0.0394692472428654,,0.008728626502912,,1.7533125048934448
pythia-160m-full,Sem,ses-9,21,0.01623610885663608,0.006733892556979978,0.0066050273278093,0.0306876497555072,,0.0084082983710845,,1.930962501577112
pythia-1b-full,Phon,ses-9,21,0.025566516406079424,0.01644357641972568,-0.0216634378432364,0.0488794669076058,,0.008728626502912,,2.929042318118441
pythia-1b-full,Sem,ses-9,21,0.014560807243027567,0.008767345895439453,0.0037443993835527,0.0351971190732216,,0.0084082983710845,,1.731718666537938
pythia-410m-full,Phon,ses-9,21,0.012464340365677366,0.02271475589812374,-0.0281070670632316,0.0479244205974409,,0.008728626502912,,1.4279841578189967
pythia-410m-full,Sem,ses-9,21,0.01826031315599424,0.013764642053082123,-0.0061081747914947,0.0398330538569705,,0.0084082983710845,,2.1717013776283287
pythia-70m-full,Phon,ses-9,21,0.012323332101631949,0.019864135375005507,-0.0293362690984602,0.044619430846559,,0.008728626502912,,1.4118294668148192
pythia-70m-full,Sem,ses-9,21,0.010741510193030962,0.013348197337762855,-0.0100004968891858,0.0281632744736491,,0.0084082983710845,,1.2774891802091848
