task,session,n_stim,group_rdm_effective_rank,subject_rdm_rank_median,subject_rdm_rank_min,subject_rdm_rank_max,ceiling
Phon,ses-11,96,60,52,48,57,
Phon,ses-11+,96,71,65,61,68,0.3035481176455464
Phon,ses-9,96,68,60,56,63,0.20227695336738766
Sem,ses-11,72,52,49,48,51,
Sem,ses-11+,72,53,47,45,51,0.39139426283768275
Sem,ses-9,72,51,45,45,47,0.276255122686829
