file,n_stimuli,n_voxels,frac_voxels_nonzero,pattern_effective_rank,pc1_vs_global_signal,pc1_vs_mean_map,rdm_vs_amplitude_rsa,top2_variance_share
sub-5211_ses-7_run-01_patterns.npz,40,917504,1.0,7,0.9174484052532835,0.8128729745530661,0.48540215321751784,0.6105594467353956
sub-5211_ses-7_run-02_patterns.npz,40,917504,1.0,7,0.4604127579737336,0.2598902030592953,0.33818790730324116,0.5986395347388305
sub-5213_ses-7_run-01_patterns.npz,40,917504,1.0,6,0.7530956848030019,0.9582474041663698,0.44894912713531754,0.631616390670101
sub-5213_ses-7_run-02_patterns.npz,40,917504,1.0,7,0.9709193245778612,0.41414486509727066,0.6178127537002223,0.6540727246384828
sub-5217_ses-7_run-01_patterns.npz,40,917504,1.0,6,0.7757973733583491,0.48267979640108594,0.3880242305561874,0.6052151939625399
sub-5217_ses-7_run-02_patterns.npz,40,917503,1.0,4,0.9924953095684804,0.9744790522052066,0.5105372271511598,0.6947966415549387
sub-5222_ses-7_run-01_patterns.npz,40,917504,1.0,5,0.5906191369606004,0.7543881058045885,0.41701810818229484,0.5892873153212445
sub-5222_ses-7_run-02_patterns.npz,40,917504,1.0,7,0.9795497185741089,0.07573999654808938,0.49129476898194474,0.5714065715089572
sub-5226_ses-7_run-01_patterns.npz,40,917504,1.0,7,0.2630393996247655,0.7071562733594703,0.20318839344676007,0.5882417771660193
sub-5226_ses-7_run-02_patterns.npz,40,917504,1.0,6,0.7439024390243902,0.8757361442369384,0.1252528736518684,0.618247098583382
sub-5227_ses-7_run-01_patterns.npz,40,917504,1.0,4,0.9686679174484055,0.9714668309988265,0.4110069720187423,0.7528416677600852
sub-5227_ses-7_run-02_patterns.npz,40,917504,1.0,4,0.9898686679174485,0.35882129942122276,0.6728042465047293,0.6816109820417943
