task,session,n_stim,group_rdm_effective_rank,subject_rdm_rank_median,subject_rdm_rank_min,subject_rdm_rank_max,ceiling
Orth,ses-11,96,66,48,35,57,0.5225246741467346
Orth,ses-11+,96,66,52,36,57,0.5621949434762923
Phon,ses-11,96,66,48,35,57,0.5225246741467346
Phon,ses-11+,96,66,52,36,57,0.5621949434762923
Sem,ses-11,48,38,32,28,33,0.2893434414975141
Sem,ses-11+,48,38,33,30,35,0.3566334720137542
SemLocal,ses-11,48,37,31,26,34,0.2305687870433188
SemLocal,ses-11+,48,38,32,27,35,0.30557093733368557
