family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd,scale_trend_rho,scale_trend_p,scale_trend_n
pythia-70m-full,95592496.0,18,216,12,-0.0001434747243183898,0.012751585132345132,0.015749986861696857,0.0555070937952573,0.0555070937952573,Gram/ses-5,7000,-6.805964377166645e-05,0.06609442737590147,0.007889540085218,0.0478219044438296,0.0654010891444828,0.7025,False,1.6608958504885433e-08,True,-0.018185435750203857,0.011568641763872423,0.9300927317765558,60
pythia-160m-full,212654688.0,18,216,12,-0.0003603444702001328,0.012026018980941541,0.013836748865957276,0.0422797478185594,0.0422797478185594,Gram/ses-5,512,-0.000379745436073679,0.05034411875305153,0.007889540085218,0.0478219044438296,0.0654010891444828,0.345,False,9.422524300719685e-09,True,-0.04567369787185459,0.011568641763872423,0.9300927317765558,60
pythia-410m-full,505997504.0,18,216,12,0.001419924377637676,0.010916751284111677,0.015157371423586832,0.0434761401284252,0.0434761401284252,Gram/ses-5,512,0.0017025639579893643,0.051768709003248856,0.007889540085218,0.0478219044438296,0.0654010891444828,0.3925,False,4.272805303726385e-09,True,0.17997555780191482,0.011568641763872423,0.9300927317765558,60
pythia-1b-full,1078891008.0,18,216,12,0.0012476925592993337,0.013871235376862115,0.01644723776608403,0.0465856292164033,0.0465856292164033,Gram/ses-5,512,0.0015116993035470126,0.05547129702667528,0.007889540085218,0.0478219044438296,0.0654010891444828,0.49,False,5.0112640232327735e-08,True,0.15814515748985616,0.011568641763872423,0.9300927317765558,60
pythia-1.4b-full,1515311488.0,18,216,12,-0.0025037049466600293,0.01415178745820354,0.017432653981961595,0.0481423704904005,-0.0481423704904005,Phon/ses-5,4,-0.002864493568744797,0.05625935718447602,0.007889540085218,0.0478219044438296,0.0654010891444828,0.5425,False,8.046606470459214e-08,True,-0.31734485402400336,0.011568641763872423,0.9300927317765558,60
