family,params,n_checkpoints,n_rows,n_cells,rsa_mean,rsa_sd,rsa_sd_all_rows,rsa_abs_max,best_rsa,best_cell,best_step,frac_of_ceiling_mean,frac_of_ceiling_abs_max,seed_null_sd,null_max_p50,null_max_p95,best_percentile_vs_null,beats_null_max,p_equivalence_tost,equivalent_to_zero,mean_in_seed_sd
beetle-fineweb3-eng,193804032.0,19,228,12,0.008110585016271791,0.008880516730951969,0.017830077388209502,0.0524168255468762,0.0524168255468762,Gram/ses-5,8192,0.009547557651592762,0.06241472634402849,0.007889540085218,0.0462256269158319,0.0654010891444828,0.605,False,2.3075897790324987e-09,True,1.0280174672625018
babylm-gpt2,134601216.0,9,108,12,0.005858651343931895,0.0175210762209799,0.017435753830397586,0.0521599626784183,0.0521599626784183,Gram/ses-5,2093,0.006983084325746249,0.06210886986616139,0.007889540085218,0.0462256269158319,0.0664527430355686,0.5825,False,1.4149263269441199e-06,True,0.742584647603069
beetle-humanscale-eng,193811712.0,18,216,12,0.004461436362421697,0.012235340268170653,0.015739489661215137,0.0510191987070663,0.0510191987070663,Gram/ses-5,4000,0.005282917567583528,0.06075051841408065,0.007889540085218,0.0478219044438296,0.0654010891444828,0.565,False,2.7720214934766457e-08,True,0.5654875080463477
pythia-410m-full,505997504.0,18,216,12,0.001419924377637676,0.010916751284111677,0.015157371423586832,0.0434761401284252,0.0434761401284252,Gram/ses-5,512,0.0017025639579893643,0.051768709003248856,0.007889540085218,0.0478219044438296,0.0654010891444828,0.3925,False,4.272805303726385e-09,True,0.17997555780191482
babylm-gpt2-7,134601216.0,9,108,12,0.0012517807064178262,0.014652102128356262,0.014907428133896486,0.0420292536655861,0.0420292536655861,Gram/ses-5,382,0.0015959304329637809,0.05004584574919277,0.007889540085218,0.0462256269158319,0.0664527430355686,0.36,False,8.797857195142325e-08,True,0.15866333054865742
pythia-1b-full,1078891008.0,18,216,12,0.0012476925592993337,0.013871235376862115,0.01644723776608403,0.0465856292164033,0.0465856292164033,Gram/ses-5,512,0.0015116993035470126,0.05547129702667528,0.007889540085218,0.0478219044438296,0.0654010891444828,0.49,False,5.0112640232327735e-08,True,0.15814515748985616
pico-decoder-tiny,11282784.0,21,252,12,0.001065562312907402,0.01409490791123471,0.016133414829883667,0.0513703847837559,0.0513703847837559,Gram/ses-5,7000,0.0013555777620211954,0.061168689156847436,0.007889540085218,0.04953162863868525,0.0654010891444828,0.505,False,5.685501867663794e-08,True,0.1350601304255822
pico-decoder-medium,181095168.0,21,252,12,0.0007921286769012123,0.011666014208146554,0.015672436273846128,0.0563117827617582,0.0563117827617582,Phon/ses-7,0,0.0009861158357903491,0.06656034374413933,0.007889540085218,0.04953162863868525,0.0654010891444828,0.7025,False,7.507396763296603e-09,True,0.10040238953666772
babylm-gpt2-3,134601216.0,9,108,12,0.0006355754331340543,0.015854826800066297,0.015826941724395308,0.0410207070842021,0.0410207070842021,Gram/ses-5,382,0.0008871253393426072,0.04884493061887848,0.007889540085218,0.0462256269158319,0.0664527430355686,0.32,False,1.727555875884071e-07,True,0.08055925012978656
babylm-gpt2-5,134601216.0,9,108,12,0.00040375615840704547,0.015350825950395356,0.015428010011431905,0.0445559068237448,0.0445559068237448,Gram/ses-5,382,0.0006142354270448501,0.053054428657208046,0.007889540085218,0.0462256269158319,0.0664527430355686,0.455,False,1.1867535510536284e-07,True,0.05117613372210772
pythia-70m-full,95592496.0,18,216,12,-0.0001434747243183898,0.012751585132345132,0.015749986861696857,0.0555070937952573,0.0555070937952573,Gram/ses-5,7000,-6.805964377166645e-05,0.06609442737590147,0.007889540085218,0.0478219044438296,0.0654010891444828,0.7025,False,1.6608958504885433e-08,True,-0.018185435750203857
pico-decoder-large,569808384.0,21,252,12,-0.0002950642175889716,0.012195481286188473,0.015319611161398692,0.0521799214493712,0.0521799214493712,Gram/ses-7,3000,-0.0002778521147039817,0.061579610166297684,0.007889540085218,0.04953162863868525,0.0654010891444828,0.5175,False,1.0760832916235943e-08,True,-0.037399419281969284
pythia-160m-full,212654688.0,18,216,12,-0.0003603444702001328,0.012026018980941541,0.013836748865957276,0.0422797478185594,0.0422797478185594,Gram/ses-5,512,-0.000379745436073679,0.05034411875305153,0.007889540085218,0.0478219044438296,0.0654010891444828,0.345,False,9.422524300719685e-09,True,-0.04567369787185459
pico-decoder-small,64595328.0,21,252,12,-0.001881227819631971,0.014074238460828338,0.01715677498946256,0.0490557343268803,0.0490557343268803,Gram/ses-5,2000,-0.0021141541847729812,0.05841254600356217,0.007889540085218,0.04953162863868525,0.0654010891444828,0.4975,False,6.65587041881006e-08,True,-0.2384458155116896
pythia-1.4b-full,1515311488.0,18,216,12,-0.0025037049466600293,0.01415178745820354,0.017432653981961595,0.0481423704904005,-0.0481423704904005,Phon/ses-5,4,-0.002864493568744797,0.05625935718447602,0.007889540085218,0.0478219044438296,0.0654010891444828,0.5425,False,8.046606470459214e-08,True,-0.31734485402400336
