arch,rsa_mean,seed_sd,frac_of_ceiling,n_cells
mamba,-0.003642925950997357,0.00684952431775292,-0.004207460703393986,204
pythia,0.0027639655321336208,0.008201152747255993,0.0033466135526304653,204
rwkv,-0.00039827871109262604,0.007578133301047637,-0.00040096433502235065,204
