family,step,layer,per,gini,hoyer,norm,condition_number
pythia-70m-full,0,0,0.34017139142027014,0.09625761571785074,0.017579212532731283,4.704371946492056,25.205912609671287
pythia-70m-full,0,1,0.2910656142487529,0.10910962757483533,0.02464839581517086,7.190864640944269,29.93776257054984
pythia-70m-full,0,2,0.25850550334245126,0.11499924009054818,0.025008680752110837,9.182068725957047,35.11676077959789
pythia-70m-full,0,3,0.23365728914677453,0.11914222283243137,0.025468440552864728,10.940070850922716,39.77923270501022
pythia-70m-full,0,4,0.21695289818883792,0.11915786879976686,0.0260787005761454,12.415003201645169,43.41555724797085
pythia-70m-full,0,5,0.2079113226706579,0.12178105857489085,0.02727284577601292,13.693829138076152,45.07737996539256
pythia-70m-full,1,0,0.34017139142027014,0.09625761571785074,0.017579212532731283,4.704371946492056,25.205912609671287
pythia-70m-full,1,1,0.2910656142487529,0.10910962757483533,0.02464839581517086,7.190864640944269,29.93776257054984
pythia-70m-full,1,2,0.25850550334245126,0.11499924009054818,0.025008680752110837,9.182068725957047,35.11676077959789
pythia-70m-full,1,3,0.23365728914677453,0.11914222283243137,0.025468440552864728,10.940070850922716,39.77923270501022
pythia-70m-full,1,4,0.21695289818883792,0.11915786879976686,0.0260787005761454,12.415003201645169,43.41555724797085
pythia-70m-full,1,5,0.2079113226706579,0.12178105857489085,0.02727284577601292,13.693829138076152,45.07737996539256
pythia-70m-full,4,0,0.3401693858904754,0.09622659442771131,0.017563614676204025,4.704012910274218,25.20653027398959
pythia-70m-full,4,1,0.29105982557007704,0.10907582728168064,0.024607231552978937,7.190344997745276,29.94009244579635
pythia-70m-full,4,2,0.2585024698521823,0.11500684982037979,0.024997872402925315,9.181424575852756,35.121594243456464
pythia-70m-full,4,3,0.2336543120290608,0.11913561123843097,0.025439347423494095,10.938846338718294,39.78481481498878
pythia-70m-full,4,4,0.21692596225871394,0.11903637732115413,0.026019360636024016,12.413562368922458,43.41937554431551
pythia-70m-full,4,5,0.20787714920108433,0.12167659832187683,0.02725018587757323,13.693135552908881,45.09102499309644
pythia-70m-full,16,0,0.34008296649558023,0.09715927029393556,0.017643581383333426,4.711808934144999,25.197819082157398
pythia-70m-full,16,1,0.29083370732266156,0.11516427467722123,0.025678400064814148,7.304551661453829,30.071586423157104
pythia-70m-full,16,2,0.25880308578693906,0.13096029041045054,0.0319760801047826,9.485193022980276,35.39075573458654
pythia-70m-full,16,3,0.23416051921229683,0.14011061770354039,0.03552395907673633,11.47698328710783,40.35251263011165
pythia-70m-full,16,4,0.21661248707245548,0.14878597296684248,0.04194808019177053,13.239968005205732,44.06807990348087
pythia-70m-full,16,5,0.20720900859578942,0.15983708063800306,0.048486059021267604,14.916348124140717,46.344632403716126
pythia-70m-full,256,0,0.30431777969172746,0.11035840565827593,0.022770369872517144,4.8987708964786245,30.368457690757353
pythia-70m-full,256,1,0.2156916344314508,0.12257911930725462,0.025603439847313857,7.539831657532991,44.325675412568565
pythia-70m-full,256,2,0.14513491143069,0.12380539968764437,0.025895588039796854,9.863649424955565,64.70410135279175
pythia-70m-full,256,3,0.10997350372068956,0.12642516459005004,0.026469837177151654,12.370133517712402,82.88501724939273
pythia-70m-full,256,4,0.08629797390132103,0.1379592143655194,0.030231417750405665,15.777375704116377,104.92446520580097
pythia-70m-full,256,5,0.058144504497864145,0.15398902602699593,0.03770806563279077,21.218698514129247,140.0201602505894
pythia-70m-full,5000,0,0.15193378096315122,0.1892265745734345,0.15642797526331056,11.761298329521708,58.821920985530525
pythia-70m-full,5000,1,0.1469389776204426,0.19928373105053843,0.14752899444391832,15.15363579186005,62.16956592342784
pythia-70m-full,5000,2,0.06693135961192223,0.3507323397604194,0.39850792152522824,33.65731714033231,105.70437650289946
pythia-70m-full,5000,3,0.06729204996891092,0.35746507055966736,0.4388126107764502,38.584886291542716,104.69233051365575
pythia-70m-full,5000,4,0.11751623939614914,0.2329070391109369,0.3275494645841131,31.186216752109193,89.47387909073605
pythia-70m-full,5000,5,0.09467769843623426,0.25824724366757357,0.48746539290450364,49.9850702083045,109.81606555315328
pythia-70m-full,14000,0,0.12049663809300504,0.2109932487842533,0.3757591794296782,17.01745823425063,61.27278431191071
pythia-70m-full,14000,1,0.12761070577193515,0.22504471848840168,0.3439295986069986,20.59206857441548,64.0830184823611
pythia-70m-full,14000,2,0.01644059832883181,0.39611651295414685,0.585995489433647,55.00066852738471,199.08397914277703
pythia-70m-full,14000,3,0.01511804128494486,0.4098629695248712,0.6390731235164542,63.84664359508532,200.39739498650061
pythia-70m-full,14000,4,0.0758373842367218,0.2641003054848091,0.5614588061548754,46.98119009168078,96.42552010835436
pythia-70m-full,14000,5,0.09633458836489908,0.24804880266426277,0.5911275629143814,60.79560987910802,96.15586292213683
pythia-70m-full,28000,0,0.10346438987318152,0.2041583128038511,0.4148902253241516,17.723331860090106,68.85634657489948
pythia-70m-full,28000,1,0.07439036713332234,0.23793695081403665,0.40012935012698886,23.12274426252914,72.7203165861035
pythia-70m-full,28000,2,0.006606423709694017,0.46361834529957746,0.7064154317780361,85.28338399500917,561.2593081115881
pythia-70m-full,28000,3,0.006578224776072583,0.46224387347217166,0.7346290576485633,94.08292563101213,473.02867991675384
pythia-70m-full,28000,4,0.010030845005222576,0.33931923475603054,0.675160402965436,70.19233502891274,261.66455226002495
pythia-70m-full,28000,5,0.04991882459560742,0.2547396976011248,0.6097517079632029,59.506933847346005,88.0991948397577
pythia-70m-full,51000,0,0.08730726224330101,0.2045604783305084,0.4035897039046555,15.6808172326523,80.24448105869715
pythia-70m-full,51000,1,0.03930044989447216,0.26916904723931867,0.3765965559711045,22.87452567870817,90.86268337866576
pythia-70m-full,51000,2,0.006289960400385756,0.5025544798688883,0.7659669797008533,99.7598886752347,591.6306166040997
pythia-70m-full,51000,3,0.006191834302539803,0.5132467122596327,0.7881288351680098,107.77330772826066,618.6231829531355
pythia-70m-full,51000,4,0.0074028005391902066,0.43317778544115915,0.7514316784457086,83.05102347192498,387.1933247392138
pythia-70m-full,51000,5,0.052056305810861896,0.3071677699757185,0.6597946770720939,48.93194127034815,93.55208873800765
pythia-70m-full,86000,0,0.07586791446311882,0.20003671528667077,0.39490380846571776,13.32509490632789,82.47566612256423
pythia-70m-full,86000,1,0.026645419088644564,0.2765807116692496,0.38228290307981955,22.175437683973467,125.76801291424326
pythia-70m-full,86000,2,0.006161287724561981,0.4874400402149911,0.7838433959384319,94.95647519123965,809.3918706918076
pythia-70m-full,86000,3,0.006092008160433564,0.4865488621144266,0.7907593802767688,102.52170602445668,885.425455910012
pythia-70m-full,86000,4,0.006824518312106226,0.45436218971862885,0.718132035796421,71.28777326916973,550.7031533193132
pythia-70m-full,86000,5,0.06293209807842376,0.46887705826774284,0.300213584442023,56.97070654466768,86.01705223056595
pythia-70m-full,143000,0,0.08201544972363527,0.19935848771761067,0.3407117146308794,7.653120966331949,76.5681578178902
pythia-70m-full,143000,1,0.018435886031108677,0.2905660527702578,0.3591593273879311,14.205662433497283,154.68508904436592
pythia-70m-full,143000,2,0.006092438056277893,0.486369960760595,0.7672594446862215,55.93104477294062,927.3584386859822
pythia-70m-full,143000,3,0.006054637513579394,0.4826862095275096,0.7519564652565008,55.23192042831459,941.0861882315434
pythia-70m-full,143000,4,0.007444036897840656,0.438284399701656,0.5931033377735923,31.383460290411985,428.917643932295
pythia-70m-full,143000,5,0.018530699166732913,0.16853501694731066,0.045460687616188336,74.39671226921679,169.96188377994386
